OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
FH50	0	1	FH50_L1205 (1).MP4	27085	7.53113	FH50_L1205 (6).MP4	80508	67.53135	1
FHC	0	1	FHC_L1203 (1).MP4	24888	6.92025	FHC_L1203 (3).MP4	78429	66.92046	1
IO72	0	1	IO72_L367.avi	7495	4.99667	IO72_L367.avi	97495	64.99667	1
FHA	0	1	FHA_L372.avi	6459	4.30600	FHA_L372.avi	96459	64.30600	1
IO65	0	1	IO65_L378.avi	10116	6.74400	IO65_L378.avi	100116	66.74400	1
FH5	0	1	FH5_L369.avi	6072	4.04800	FH5_L369.avi	96072	64.04800	1
IO64	0	1	IO64_L369.avi	7489	4.99267	IO64_L369.avi	97489	64.99267	1
IO73	0	1	IO73_R371.avi	10630	7.08667	IO73_R371.avi	100630	67.08667	1
IO227	0	1	IO227_L375.avi	8994	5.99600	IO227_L375.avi	98994	65.99600	1
FH7	0	1	FH7_L369.avi	7175	4.78333	FH7_L369.avi	97175	64.78333	1
FH20	0	1	FH20_L375.avi	13210	8.80667	FH20_L375.avi	103211	68.80733	1
IO229	0	1	IO229_L369.avi	7718	5.14533	IO229_L369.avi	97718	65.14533	1
IO46	0	1	IO46_L369.avi	9205	6.13667	IO46_L369.avi	99205	66.13667	1
IO47	0	1	IO47_L375.avi	15792	10.52800	IO47_L375.avi	105792	70.52800	1
IO101	0	1	IO101_L367.avi	9573	6.38200	IO101_L367.avi	99573	66.38200	1
IO102	0	1	IO102_L372.avi	11595	7.73000	IO102_L372.avi	101595	67.73000	1
IO105	0	1	IO105_L372.avi	9763	6.50867	IO105_L372.avi	99763	66.50867	1
IO107	0	1	IO107_L373.avi	14889	9.92600	IO107_L373.avi	104889	69.92600	1
IO108	0	1	IO108_L375.avi	21244	14.16267	IO108_L375.avi	111244	74.16267	1
IO241	0	1	IO241_L378.avi	9014	6.00933	IO241_L378.avi	99014	66.00933	1
IO113	0	1	IO113_L367.avi	14718	9.81200	IO113_L367.avi	104718	69.81200	1
IO115	0	1	IO115_L378.avi	18945	12.63000	IO115_L378.avi	108945	72.63000	1
IO192	0	1	IO192_L378.avi	16064	10.70933	IO192_L378.avi	106064	70.70933	1
IO211	0	1	IO211_L369.avi	42061	28.04067	IO211_L369.avi	132061	88.04067	1
FHB	0	1	FHB_L373.avi	8599	5.73267	FHB_L373.avi	98599	65.73267	1
FH108	0	1	FH108_L378.avi	6062	4.04133	FH108_L378.avi	96063	64.04200	1
FH102	0	1	FH102_L378.avi	8070	5.38000	FH102_L378.avi	98070	65.38000	1
IO216	0	1	IO216_L373.avi	7938	5.29200	IO216_L373.avi	97938	65.29200	1
FH95	0	1	FH95_L367.avi	10782	7.18800	FH95_L367.avi	100782	67.18800	1
IO280	0	1	IO280_L378.avi	10710	7.14000	IO280_L378.avi	100710	67.14000	1
FH34	0	1	FH34_L378.avi	3451	2.30067	FH34_L378.avi	93451	62.30067	1
FH44	0	1	FH44_L373.avi	15080	10.05333	FH44_L373.avi	105105	70.07000	1
FH82	0	1	FH82_L1201 (1).MP4	21746	6.04660	FH82_L1201 (3).MP4	75347	66.04681	1
IO37	0	1	IO37_L373.avi	8775	5.85000	IO37_L373.avi	98775	65.85000	1
FH28	0	1	FH28_L1205 (1).MP4	17685	4.91741	FH28_L1205 (3).MP4	71286	64.91763	1
IO290	0	1	IO290_L373.avi	10012	6.67467	IO290_L373.avi	100012	66.67467	1
FH30	0	1	FH30_L1201 (1).MP4	20520	5.70570	FH30_L1201 (3).MP4	74121	65.70592	1
IO291	0	1	IO291_L375.avi	17378	11.58533	IO291_L375.avi	107378	71.58533	1
FH46	0	1	FH46_L1201 (1).MP4	18115	5.03698	FH46_L1201 (3).MP4	71716	65.03719	1
IO295	0	1	IO295_L367.avi	14474	9.64933	IO295_L367.avi	104474	69.64933	1
IO297	0	1	IO297_L378.avi	9550	6.36667	IO297_L378.avi	99551	66.36733	1
IO302	0	1	IO302_L372.avi	7228	4.81867	IO302_L372.avi	97229	64.81933	1
IO40	0	1	IO40_L372.avi	14526	9.68400	IO40_L372.avi	104526	69.68400	1
IO58	0	1	IO58_L367.avi	7727	5.15133	IO58_L367.avi	97727	65.15133	1
IO330	0	1	IO330_L373.avi	19396	12.93067	IO330_L373.avi	109396	72.93067	1
IO110	0	1	IO110_L373.avi	7281	4.85400	IO110_L373.avi	97281	64.85400	1
IO245	0	1	IO245_L375.avi	5749	3.83267	IO245_L375.avi	95749	63.83267	1
IO258	0	1	IO258_L367.avi	5981	3.98733	IO258_L367.avi	95981	63.98733	1
IO355	0	1	IO355_L375.avi	8729	5.81933	IO355_L375.avi	98729	65.81933	1
IO370	0	1	IO370_L372.avi	14086	9.39067	IO370_L372.avi	104087	69.39133	1
IO180	0	1	IO180_L369.avi	8095	5.39667	IO180_L369.avi	98095	65.39667	1
FH64	0	1	FH64_L1203 (1).MP4	17803	4.95022	FH64_L1203 (3).MP4	71404	64.95044	1
