OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
npz6.10	0	0	0.00000	0	L027 (07).MP4	81062	59.94006
npz6.10	0	0	0.00000	0	L027 (08).MP4	81061	59.94006
npz6.10	0	0	0.00000	0	L027 (09).MP4	81061	59.94006
npz6.10	0	0	0.00000	0	L027 (10).MP4	81062	59.94006
npz6.10	0	0	0.00000	0	L027 (11).MP4	81121	59.94006
npz6.10	0	0	0.00000	0	L027 (12).MP4	81062	59.94006
npz6.10	0	0	0.00000	0	L027 (13).MP4	33481	59.94006
npz6.10	1	0	0.00000	0	R028 (07).MP4	81002	59.94006
npz6.10	1	0	0.00000	0	R028 (08).MP4	81001	59.94006
npz6.10	1	0	0.00000	0	R028 (09).MP4	81062	59.94006
npz6.10	1	0	0.00000	0	R028 (10).MP4	81061	59.94006
npz6.10	1	0	0.00000	0	R028 (11).MP4	81061	59.94006
npz6.10	1	0	0.00000	0	R028 (12).MP4	81061	59.94006
npz6.10	1	0	0.00000	0	R028 (13).MP4	34891	59.94006
npz6.12	0	0	0.00000	0	L027 (14).MP4	81062	59.94006
npz6.12	0	0	0.00000	0	L027 (15).MP4	81061	59.94006
npz6.12	0	0	0.00000	0	L027 (16).MP4	81061	59.94006
npz6.12	0	0	0.00000	0	L027 (17).MP4	81122	59.94006
npz6.12	0	0	0.00000	0	L027 (18).MP4	81061	59.94006
npz6.12	0	0	0.00000	0	L027 (19).MP4	81062	59.94006
npz6.12	0	0	0.00000	0	L027 (20).MP4	81061	59.94006
npz6.12	0	0	0.00000	0	L027 (21).MP4	81062	59.94006
npz6.12	0	0	0.00000	0	L027 (22).MP4	81061	59.94006
npz6.12	0	0	0.00000	0	L027 (23).MP4	63452	59.94006
npz6.13	0	0	0.00000	0	L039 (07).MP4	81062	59.94006
npz6.13	0	0	0.00000	0	L039 (08).MP4	81061	59.94006
npz6.13	0	0	0.00000	0	L039 (09).MP4	81061	59.94006
npz6.13	0	0	0.00000	0	L039 (10).MP4	81062	59.94006
npz6.13	0	0	0.00000	0	L039 (11).MP4	81061	59.94006
