OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
npz6.10	1.09	2022 01 21 10:09:27	E:\20210512\L027_R028\npz6.10\	npz6.10.EMObs
npz6.12	1.09	2022 01 21 10:09:27	E:\20210512\L027_R028\npz6.12\	npz6.12.EMObs
npz6.13	1.09	2022 01 21 10:09:27	E:\20210512\L039_R040\npz6.13\	npz6.13.EMObs
npz6.14	1.09	2022 01 21 10:09:27	E:\20210512\L029_R030\npz6.14\	npz6.14.EMObs
npz6.15	1.09	2022 01 21 10:09:27	E:\20210512\L043_R044\npz6.15\	npz6.15.EMObs
npz6.17	1.09	2022 01 21 10:09:27	F:\20210512\L031_R032\npz6.17\	npz6.17.EMObs
npz6.18	1.09	2022 01 21 10:09:27	E:\20210512\L035_R036\npz6.18\	npz6.18.EMObs
npz6.2	1.09	2022 01 21 10:09:27	F:\20210512\L033_R034\npz6.2\	npz6.2.EMObs
npz6.20	1.09	2022 01 21 10:09:27	E:\20210512\L039_R040\npz6.20\	npz6.20.EMObs
npz6.21	1.09	2022 01 21 10:09:27	E:\20210512\L035_R036\npz6.21\	npz6.21.EMObs
npz6.22	1.09	2022 01 21 10:09:27	E:\20210512\L037_R038\npz6.22\	npz6.22.EMObs
npz6.24	1.09	2022 01 21 10:09:27	E:\20210512\L027_R028\npz6.24\	npz6.24.EMObs
npz6.26	1.09	2022 01 21 10:09:27	E:\20210512\L041_R042\npz6.26\	npz6.26.EMObs
npz6.27	1.09	2022 01 21 10:09:27	F:\20210512\L043_R044\npz6.27\	npz6.27.EMObs
npz6.28	1.09	2022 01 21 10:09:27	E:\20210512\L037_R038\npz6.28\	npz6.28.EMObs
npz6.36	1.09	2022 01 21 10:09:27	E:\20210512\L027_R028\npz6.36\	npz6.36.EMObs
npz6.4	1.09	2022 01 21 10:09:27	E:\20210512\L029_R030\npz6.4\	npz6.4.EMObs
npz6.5	1.09	2022 01 21 10:09:27	E:\20210512\L041_R042\npz6.5\	npz6.5.EMObs
npz6.6	1.09	2022 01 21 10:09:27	E:\20210512\L031_R032\npz6.6\	npz6.6.EMObs
npz6.8	1.09	2022 01 21 10:09:27	F:\20210512\L033_R034\npz6.8\	npz6.8.EMObs
npz6.9	1.09	2022 01 21 10:09:27	E:\20210512\L037_R038\npz6.9\	npz6.9.EMObs
npz6.BOSS41	1.09	2022 01 21 10:09:27	F:\20210512\L033_R034\npz6.BOSS41\	npz6.BOSS41.EMObs
npz6.C01	1.09	2022 01 21 10:09:27	E:\20210512\L039_R040\npz6.C01\	npz6.C01.EMObs
npz6.C02	1.09	2022 01 21 10:09:27	F:\20210512\L043_R044\npz6.C02\	npz6.C02.EMObs
npz9.1	1.09	2022 01 21 10:09:27	E:\20210516\L027_R028\npz9.1\	npz9.1.EMObs
npz9.10	1.09	2022 01 21 10:09:27	E:\20210516\L033_R034\npz9.10\	npz9.10.EMObs
npz9.11	1.09	2022 01 21 10:09:27	E:\20210516\L039_R040\npz9.11\	npz9.11.EMObs
npz9.12	1.09	2022 01 21 10:09:27	E:\20210516\L031_R032\npz9.12\	npz9.12.EMObs
npz9.13	1.09	2022 01 21 10:09:27	E:\20210516\L031_R032\npz9.13\	npz9.13.EMObs
npz9.14	1.09	2022 01 21 10:09:27	E:\20210516\L029_R030\npz9.14\	npz9.14.EMObs
npz9.16	1.09	2022 01 21 10:09:27	E:\20210516\L033_R034\npz9.16\	npz9.16.EMObs
npz9.17	1.09	2022 01 21 10:09:27	E:\20210516\L029_R030\npz9.17\	npz9.17.EMObs
npz9.18	1.09	2022 01 21 10:09:27	E:\20210516\L039_R040\npz9.18\	npz9.18.EMObs
npz9.19	1.09	2022 01 21 10:09:27	E:\20210516\L041_R042\npz9.19\	npz9.19.EMObs
npz9.2	1.09	2022 01 21 10:09:27	E:\20210516\L031_R032\npz9.2\	npz9.2.EMObs
npz9.21	1.09	2022 01 21 10:09:27	E:\20210516\L035_R036\npz9.21\	npz9.21.EMObs
npz9.22	1.09	2022 01 21 10:09:27	E:\20210516\L037_R038\npz9.22\	npz9.22.EMObs
npz9.24	1.09	2022 01 21 10:09:27	E:\20210516\L039_R040\npz9.24\	npz9.24.EMObs
npz9.25	1.09	2022 01 21 10:09:27	E:\20210516\L035_R036\npz9.25\	npz9.25.EMObs
npz9.26	1.09	2022 01 21 10:09:27	E:\20210516\L037_R038\npz9.26\	npz9.26.EMObs
npz9.27	1.09	2022 01 21 10:09:27	E:\20210516\L037_R038\npz9.27\	npz9.27.EMObs
npz9.28	1.09	2022 01 21 10:09:27	E:\20210516\L043_R044\npz9.28\	npz9.28.EMObs
npz9.29	1.09	2022 01 21 10:09:27	E:\20210516\L029_R030\npz9.29\	npz9.29.EMObs
npz9.3	1.09	2022 01 21 10:09:27	E:\20210516\L027_R028\npz9.3\	npz9.3.EMObs
npz9.30	1.09	2022 01 21 10:09:27	E:\20210516\L043_R044\npz9.30\	npz9.30.EMObs
npz9.4	1.09	2022 01 21 10:09:27	E:\20210516\L041_R042\npz9.4\	npz9.4.EMObs
npz9.5	1.09	2022 01 21 10:09:27	E:\20210516\L033_R034\npz9.5\	npz9.5.EMObs
npz9.7	1.09	2022 01 21 10:09:27	E:\20210516\L027_R028\npz9.7\	npz9.7.EMObs
npz9.8	1.09	2022 01 21 10:09:27	E:\20210516\L043_R044\npz9.8\	npz9.8.EMObs
npz9.9	1.09	2022 01 21 10:09:27	E:\20210516\L035_R036\npz9.9\	npz9.9.EMObs
