Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer.count,Successful.count,Successful.length,Observer.length
NCB606,-20.408,115.48192,20150117,8:45:00,Montebello,Fished,NA,25.7,Emma,Yes,Yes,Todd
NCB607,-20.407,115.47612,20150117,8:48:00,Montebello,Fished,NA,29,Emma,Yes,Yes,Becca
NCB608,-20.405,115.46842,20150117,8:56:00,Montebello,Fished,NA,30.4,Emma,Yes,Yes,Todd
NCB609,-20.404,115.45887,20150117,9:01:00,Montebello,Fished,NA,29.4,Emma,Yes,Yes,Todd
NCB610,-20.402,115.45061,20150117,9:07:00,Montebello,Fished,NA,23.3,Emma,Yes,Yes,Becca
NCB611,-20.4,115.44188,20150117,9:12:00,Montebello,Fished,NA,22.6,Emma,Yes,Yes,Becca
NCB612,-20.398,115.43266,20150117,9:18:00,Montebello,Fished,NA,24.5,Emma,Yes,Yes,Becca
NCB613,-20.396,115.42453,20150117,9:23:00,Montebello,Fished,NA,26.3,Emma,Yes,Yes,Becca
NCB614,-20.394,115.41624,20150117,9:27:00,Montebello,Fished,NA,28.3,Matt/Todd,Yes,Yes,Todd
NCB615,-20.392,115.407,20150117,9:33:00,Montebello,Fished,NA,31.9,Katrina,Yes,Yes,Becca
NCB616,-20.39,115.39678,20150117,11:26:00,Montebello,Fished,NA,33.1,Katrina,Yes,Yes,Becca
NCB617,-20.386,115.38707,20150117,11:32:00,Montebello,Fished,NA,36.9,Katrina,Yes,Yes,Becca
NCB618,-20.383,115.37587,20150117,11:40:00,Montebello,Fished,NA,40.4,Katrina,Yes,Yes,Becca
NCB619,-20.38,115.36088,20150117,11:46:00,Montebello,Fished,NA,37.3,Katrina,Yes,Yes,Becca
NCB620,-20.376,115.34493,20150117,11:54:00,Montebello,Fished,NA,41.6,Katrina,Yes,Yes,Becca
NCB621,-20.373,115.33427,20150117,11:58:00,Montebello,Fished,NA,28.4,Matt,Yes,Yes,Todd
NCB622,-20.372,115.33246,20150117,12:01:00,Montebello,Fished,NA,41.2,Matt,Yes,Yes,Todd
NCB623,-20.363,115.31109,20150117,12:09:00,Montebello,Fished,NA,31.5,Katrina,Yes,Yes,Becca
NCB624,-20.359,115.30805,20150117,12:12:00,Montebello,Fished,NA,21.6,Todd,Yes,Yes,Derek
NCB625,-20.352,115.30709,20150117,12:16:00,Montebello,Fished,NA,23.5,Katrina,Yes,Yes,Becca
NCB626,-20.346,115.30979,20150117,14:12:00,Montebello,Fished,NA,29.2,Katrina,Yes,Yes,Becca
NCB627,-20.34,115.30847,20150117,14:15:00,Montebello,Fished,NA,28.9,Derek,Yes,No,NA
NCB628,-20.331,115.30622,20150117,14:19:00,Montebello,Fished,NA,25.4,Katrina,Yes,Yes,Becca
NCB629,-20.322,115.30126,20150117,14:24:00,Montebello,Fished,NA,26.3,Emma,Yes,Yes,Becca
NCB630,-20.318,115.29277,20150117,14:29:00,Montebello,Fished,NA,49.2,Emma,Yes,Yes,Becca
NCB631,-20.314,115.28227,20150117,14:34:00,Montebello,Fished,NA,53,Emma,Yes,Yes,Becca
NCB632,-20.31,115.26797,20150117,14:40:00,Montebello,Fished,NA,57.4,Emma,Yes,Yes,Becca
NCB633,-20.305,115.24854,20150117,14:47:00,Montebello,Fished,NA,57,Emma,Yes,Yes,Becca
NCB634,-20.298,115.2249,20150117,14:56:00,Montebello,Fished,NA,37,Emma,Yes,Yes,Becca
NCB635,-20.295,115.22048,20150117,15:00:00,Montebello,Fished,NA,40.1,Emma,Yes,Yes,Becca
NCB636,-20.359,115.46138,20150118,8:54:00,N.Montebello.Sanctuary,No-take,NA,23.6,Katrina,Yes,Yes,Becca
NCB637,-20.352,115.46682,20150118,8:58:00,N.Montebello.Sanctuary,No-take,NA,29.4,Katrina,Yes,Yes,Becca
NCB638,-20.347,115.47483,20150118,9:01:00,N.Montebello.Sanctuary,No-take,NA,32.5,Katrina,Yes,Yes,Becca
NCB639,-20.335,115.47058,20150118,9:07:00,N.Montebello.Sanctuary,Fished,NA,36.3,Todd,Yes,Yes,Becca
NCB640,-20.327,115.4639,20150118,9:11:00,N.Montebello.Sanctuary,Fished,NA,42.1,Todd,Yes,Yes,Becca
NCB641,-20.323,115.45317,20150118,9:16:00,Montebello,Fished,NA,40.2,Todd,Yes,Yes,Matt
NCB642,-20.313,115.45093,20150118,9:21:00,Montebello,Fished,NA,37,Todd,Yes,Yes,Becca
NCB643,-20.304,115.44852,20150118,9:25:00,Montebello,Fished,NA,41.7,Todd,Yes,Yes,Becca
NCB644,-20.297,115.44248,20150118,9:28:00,Montebello,Fished,NA,37.5,Todd,Yes,Yes,Becca
NCB645,-20.287,115.43472,20150118,9:36:00,Montebello,Fished,NA,41.5,Todd,Yes,Yes,Becca
NCB646,-20.293,115.46864,20150118,11:40:00,Montebello,Fished,NA,37.9,Todd,Yes,Yes,Derek
NCB647,-20.286,115.47399,20150118,11:45:00,Montebello,Fished,NA,35.1,Todd,Yes,Yes,Derek
NCB648,-20.275,115.47544,20150118,11:48:00,Montebello,Fished,NA,36.9,Todd,Yes,Yes,Derek
NCB649,-20.264,115.47558,20150118,11:54:00,Montebello,Fished,NA,42.4,Katrina,Yes,Yes,Becca
