Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Observer.length
npz6.24,113.4414,-28.0787,20210512,9:07,npz6.27,NPZ6,No-take,53.7,Molly,Y,Y,Molly
npz6.14,113.4213,-28.0937,20210512,8:56,npz6.14,NPZ6,No-take,42.1,Molly,Y,Y,Molly
npz6.6,113.4439,-28.0837,20210512,9:04,npz6.6,NPZ6,No-take,55.1,Molly,Y,Y,Molly
npz6.2,113.4339,-28.0612,20210512,9:26,npz6.2,NPZ6,No-take,43.6,Molly,Y,Y,Molly
npz6.18,113.4438,-28.0962,20210512,8:48,npz6.19,NPZ6,No-take,42.7,Molly,Y,Y,Molly
npz6.22,113.4512,-28.0687,20210512,9:16,npz6.23,NPZ6,No-take,45,Molly,Y,Y,Molly
npz6.20,113.4593,-28.0736,20210512,9:13,npz6.21,NPZ6,No-take,50.4,Molly,Y,Y,Molly
npz6.26,113.4563,-28.0937,20210512,8:43,npz6.29,NPZ6,No-take,33.7,Molly,Y,Y,Molly
npz6.27,113.4464,-28.0562,20210512,9:21,npz6.30,NPZ6,No-take,39,Molly,Y,Y,Molly
npz6.8,113.3413,-28.0688,20210512,11:45,npz6.8,NPZ6,No-take,154,Molly,Y,Y,Molly
npz6.15,113.3488,-28.0588,20210512,11:41,npz6.15,NPZ6,No-take,145,Molly,Y,Y,Claude
npz6.9,113.3814,-28.0386,20210512,11:28,npz6.9,NPZ6,No-take,77.2,Molly,Y,Y,Claude
npz6.13,113.3714,-28.0611,20210512,11:19,npz6.13,NPZ6,No-take,109,Molly,Y,Y,Molly
npz6.10,113.3764,-28.0787,20210512,11:07,npz6.10,NPZ6,No-take,112,Molly,Y,Y,Molly
npz6.17,113.3839,-28.0837,20210512,11:03,npz6.18,NPZ6,No-take,94,Molly,Y,Y,Molly
npz6.4,113.3988,-28.0814,20210512,10:57,npz6.4,NPZ6,No-take,67.5, Molly,Y,Y,Molly
npz6.21,113.3992,-28.0714,20210512,10:54,npz6.22,NPZ6,No-take,59.3,Molly,Y,Y,Molly
npz6.5,113.3935,-28.0636,20210512,10:50,npz6.5,NPZ6,No-take,65.8,Molly,Y,Y,Molly
npz6.12,113.2763,-28.0512,20210512,13:48,npz6.12,NPZ6,No-take,185,-,N,N,N/A
npz6.C01,113.3706,-28.1078,20210512,14:39,,NPZ6,Fished,138,Molly,Y,Y,Molly
npz6.28,113.3663,-28.1237,20210512,14:45,out6.1,NPZ6,Fished,149,Molly,Y,Y,Molly
npz6.C02,113.385,-28.118,20210512,14:52,,NPZ6,Fished,125,Molly,Y,Y,Molly
npz6.BOSS41,113.3939,-28.1137,20210512,14:57,,NPZ6,Fished,104,Molly,Y,Y,Molly
npz6.36,113.4089,-28.1062,20210512,15:02,out6.9,NPZ6,Fished,66.5,Molly,Y,Y,Molly
npz9.7,113.1964,-27.1162,20210515,8:37,npz9.7,NPZ9,No-take,97.2,Molly,Y,Y,Molly
npz9.29,113.2089,-27.1313,20210515,8:27,npz9.29,NPZ9,No-take,96.7,Molly,Y,Y,Molly
npz9.12,113.2039,-27.1462,20210515,8:19,npz9.12,NPZ9,No-take,92.2,Molly,Y,Y,Claude
