Sample,Family,Genus,Species,Count,Others,Comment,Cams,Filename,Time_MaxN(mins),sp_Code,TapeReader,Has_Fed,CampaignID
APO_001,Aulopidae,Latropiscis,purpurissatus,1,NA,NA,1,20210614_APO_001_Rig9_9L (3).MP4,40.5689,37117001,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Berycidae,Centroberyx,gerrardi,3,NA,NA,1,20210614_APO_001_Rig9_9L (1).MP4,5.2408,37258004,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Carangidae,Trachurus,spp.,1,NA,NA,1,20210614_APO_001_Rig9_9L (4).MP4,53.9472,37337907,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Cheilodactylidae,Cheilodactylus,nigripes,1,NA,NA,1,20210614_APO_001_Rig9_9L (1).MP4,0.3398,37377001,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Cheilodactylidae,Nemadactylus,macropterus,1,NA,NA,1,20210614_APO_001_Rig9_9L (2).MP4,23.1998,37377003,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Cheilodactylidae,Nemadactylus,valenciennesi,2,NA,NA,1,20210614_APO_001_Rig9_9L (1).MP4,2.9963,37377004,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Hexanchidae,Notorynchus,cepedianus,1,NA,NA,1,20210614_APO_001_Rig9_9L (4).MP4,53.9344,37005002,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Labridae,Notolabrus,tetricus,2,NA,NA,1,20210614_APO_001_Rig9_9L (1).MP4,6.967,37384003,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Labridae,Pseudolabrus,rubicundus,4,NA,NA,1,20210614_APO_001_Rig9_9L (1).MP4,1.3992,37384023,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_001,Monacanthidae,Meuschenia,freycineti,2,NA,NA,1,20210614_APO_001_Rig9_9L (1).MP4,9.3827,37465036,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Monacanthidae,Meuschenia,scaber,6,NA,NA,1,20210614_APO_001_Rig9_9L (2).MP4,23.8972,37465005,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Moridae,Pseudophycis,spp.,5,NA,NA,1,20210614_APO_001_Rig9_9L (2).MP4,23.6319,37224916,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_001,Mullidae,Upeneichthys,spp.,1,NA,NA,1,20210614_APO_001_Rig9_9L (2).MP4,30.8169,37355902,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Palinuridae,Jasus,edwardsii,1,NA,NA,1,20210614_APO_001_Rig9_9L (1).MP4,5.7213,28820001,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_001,Serranidae,Caesioperca,spp.,6,NA,NA,1,20210614_APO_001_Rig9_9L (1).MP4,6.363,37311919,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_001,Sparidae,Chrysophrys,auratus,3,NA,NA,1,20210614_APO_001_Rig9_9L (4).MP4,53.6597,37353001,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_001,Triakidae,Mustelus,antarcticus,1,NA,NA,1,20210614_APO_001_Rig9_9L (4).MP4,54.8492,37017001,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_002,Aulopidae,Latropiscis,purpurissatus,1,NA,NA,2,20210614_APO_002_Rig4_4L (1).MP4,11.6244,37117001,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_002,Berycidae,Centroberyx,gerrardi,2,NA,NA,2,20210614_APO_002_Rig4_4L (2).MP4,28.9261,37258004,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_002,Labridae,Notolabrus,tetricus,2,NA,NA,2,20210614_APO_002_Rig4_4L (1).MP4,11.5721,37384003,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_002,Labridae,Pseudolabrus,rubicundus,1,NA,NA,2,20210614_APO_002_Rig4_4L (1).MP4,11.383,37384023,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_002,Loliginidae,Sepioteuthis,australis,1,NA,NA,2,20210614_APO_002_Rig4_4L (1).MP4,1.378,23617005,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_002,Monacanthidae,Meuschenia,freycineti,2,NA,NA,2,20210614_APO_002_Rig4_4L (2).MP4,29.7742,37465036,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_002,Monacanthidae,Meuschenia,scaber,10,NA,NA,2,20210614_APO_002_Rig4_4L (3).MP4,43.4618,37465005,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_002,Moridae,Pseudophycis,spp.,1,NA,NA,2,20210614_APO_002_Rig4_4L (2).MP4,17.4686,37224916,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_002,Mullidae,Upeneichthys,spp.,1,NA,NA,2,20210614_APO_002_Rig4_4L (1).MP4,3.5374,37355902,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_002,Neosebastidae,Neosebastes,scorpaenoides,1,NA,NA,2,20210614_APO_002_Rig4_4L (1).MP4,7.2372,37287005,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_002,Serranidae,Caesioperca,spp.,3,NA,NA,2,20210614_APO_002_Rig4_4L (2).MP4,15.9526,37311919,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_002,Sparidae,Chrysophrys,auratus,2,NA,NA,2,20210614_APO_002_Rig4_4L (1).MP4,11.9303,37353001,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_002,Triakidae,Mustelus,antarcticus,1,NA,NA,2,20210614_APO_002_Rig4_4L (4).MP4,55.8992,37017001,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_003,Cheilodactylidae,Nemadactylus,macropterus,2,NA,Lights,3,20210614_APO_003_Rig8_8L (3).MP4,49.0735,37377003,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_003,Labridae,Notolabrus,tetricus,2,NA,Lights,3,20210614_APO_003_Rig8_8L (2).MP4,30.7735,37384003,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_003,Labridae,Pseudolabrus,rubicundus,8,NA,Lights,3,20210614_APO_003_Rig8_8L (1).MP4,7.5765,37384023,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_003,Monacanthidae,Eubalichthys,mosaicus,1,NA,Lights,3,20210614_APO_003_Rig8_8L (1).MP4,11.8463,37465003,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_003,Monacanthidae,Meuschenia,freycineti,4,NA,Lights,3,20210614_APO_003_Rig8_8L (3).MP4,34.4511,37465036,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_003,Monacanthidae,Meuschenia,scaber,7,NA,Lights,3,20210614_APO_003_Rig8_8L (1).MP4,12.9568,37465005,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_003,Mullidae,Upeneichthys,spp.,1,NA,Lights,3,20210614_APO_003_Rig8_8L (1).MP4,4.0496,37355902,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_003,Neosebastidae,Neosebastes,scorpaenoides,4,NA,Lights,3,20210614_APO_003_Rig8_8L (2).MP4,23.4912,37287005,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_003,Serranidae,Caesioperca,spp.,16,NA,Lights,3,20210614_APO_003_Rig8_8L (1).MP4,5.4727,37311919,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_003,Sparidae,Chrysophrys,auratus,5,NA,Lights,3,20210614_APO_003_Rig8_8L (3).MP4,47.5953,37353001,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_004,Aulopidae,Latropiscis,purpurissatus,2,NA,NA,4,20210614_APO_004_Rig2_2L (4).MP4,51.3202,37117001,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_004,Dasyatidae,Bathytoshia,brevicaudata,1,NA,NA,4,20210614_APO_004_Rig2_2L (1).MP4,11.5838,37035001,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_004,Labridae,Notolabrus,tetricus,4,NA,NA,4,20210614_APO_004_Rig2_2L (2).MP4,20.3325,37384003,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_004,Labridae,Pseudolabrus,rubicundus,10,NA,NA,4,20210614_APO_004_Rig2_2L (1).MP4,4.7687,37384023,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_004,Monacanthidae,Acanthaluteres,vittiger,2,NA,NA,4,20210614_APO_004_Rig2_2L (1).MP4,12.8729,37465002,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_004,Monacanthidae,Eubalichthys,gunnii,1,NA,NA,4,20210614_APO_004_Rig2_2L (4).MP4,59.1079,37465034,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_004,Monacanthidae,Meuschenia,freycineti,3,NA,NA,4,20210614_APO_004_Rig2_2L (2).MP4,32.3929,37465036,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_004,Monacanthidae,Meuschenia,scaber,15,NA,NA,4,20210614_APO_004_Rig2_2L (2).MP4,19.4695,37465005,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
APO_004,Mullidae,Upeneichthys,spp.,1,NA,NA,4,20210614_APO_004_Rig2_2L (3).MP4,39.7942,37355902,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_004,Neosebastidae,Neosebastes,scorpaenoides,2,NA,NA,4,20210614_APO_004_Rig2_2L (3).MP4,33.7398,37287005,Scott Gray,No,2021-06-ApolloMP-BRUVS
APO_004,Scyliorhinidae,Cephaloscyllium,laticeps,1,NA,NA,4,20210614_APO_004_Rig2_2L (3).MP4,40.5205,37015001,Scott Gray,Yes,2021-06-ApolloMP-BRUVS
