Sample,Family,Genus,Species,Count,Length,Others,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),TapeReader,Code,Stage,Comment,Filename,Cameras,CampaignID
APO_001,Labridae,Pseudolabrus,rubicundus,1,197.567,NA,7828,1.3992,197.567,2.176,1.098,1489.856,21.405,18.67,2.785,530.238,-120.362,-1387.095,Scott Gray,37384023,AD,NA,20210614_APO_001_Rig9_9L (1).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Labridae,Pseudolabrus,rubicundus,1,208.342,NA,7828,1.3992,208.342,2.529,2.19,1824.956,3.123,15.835,15.374,24.956,-96.244,-1822.246,Scott Gray,37384023,AD,NA,20210614_APO_001_Rig9_9L (1).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Labridae,Pseudolabrus,rubicundus,1,179.633,NA,7828,1.3992,179.633,1.784,2.292,1979.998,2.242,6.109,18.059,-23.4,73.846,-1978.482,Scott Gray,37384023,AD,NA,20210614_APO_001_Rig9_9L (1).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Labridae,Pseudolabrus,rubicundus,1,160.333,NA,7856,1.4147,160.333,1.726,1.575,1625.573,16.459,0.774,6.469,367.888,-277.104,-1558.961,Scott Gray,37384023,AD,NA,20210614_APO_001_Rig9_9L (1).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Serranidae,Caesioperca,spp.,1,181.28,NA,16693,6.3291,181.28,1.235,1.662,1009.26,15.942,27.669,7.579,-219.642,169.132,-970.442,Scott Gray,37311919,AD,NA,20210614_APO_001_Rig9_9L (1).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Serranidae,Caesioperca,spp.,1,224.134,NA,16717,6.3424,224.134,2.509,2.455,1420.416,10.32,29.972,14.113,182.909,176.903,-1397.437,Scott Gray,37311919,AD,NA,20210614_APO_001_Rig9_9L (1).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Serranidae,Caesioperca,spp.,1,194.779,NA,16802,6.3897,194.779,0.987,0.392,1065.421,1.681,12.925,15.208,30.179,8.135,-1064.962,Scott Gray,37311919,AD,NA,20210614_APO_001_Rig9_9L (1).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Serranidae,Caesioperca,spp.,1,218.673,NA,16820,6.3997,218.673,1.399,2.931,1412.279,22.308,5.926,16.51,-369.856,388.056,-1306.58,Scott Gray,37311919,AD,NA,20210614_APO_001_Rig9_9L (1).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Labridae,Notolabrus,tetricus,1,284.354,NA,17821,6.9564,284.354,2.565,6.243,2174.374,9.251,9.994,27.78,-197.13,288.663,-2146.093,Scott Gray,37384003,AD,NA,20210614_APO_001_Rig9_9L (1).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Labridae,Notolabrus,tetricus,1,415.731,NA,17840,6.967,415.731,1.719,1.744,1838.826,9.938,1.372,3.973,165.108,271.015,-1811.234,Scott Gray,37384003,AD,NA,20210614_APO_001_Rig9_9L (1).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Moridae,Pseudophycis,spp.,1,411.065,NA,16112,23.6403,411.065,1.483,7.059,1496.162,5.318,12.468,43.838,135.392,29.996,-1489.721,Scott Gray,37224916,AD,NA,20210614_APO_001_Rig9_9L (2).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Moridae,Pseudophycis,spp.,1,489.009,NA,16112,23.6403,489.009,2.344,3.021,1998.28,7.109,11.072,33.633,-183.482,165.823,-1982.917,Scott Gray,37224916,AD,NA,20210614_APO_001_Rig9_9L (2).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Moridae,Pseudophycis,spp.,1,497.816,NA,16155,23.6642,497.816,4.634,6.9,2076.999,8.033,25.938,19.024,286.698,45.349,-2056.617,Scott Gray,37224916,AD,NA,20210614_APO_001_Rig9_9L (2).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Cheilodactylidae,Nemadactylus,macropterus,1,363.03,NA,31357,32.1182,363.03,2.101,2.145,1786.845,21.818,1.204,4.833,483.98,454.743,-1658.851,Scott Gray,37377003,AD,NA,20210614_APO_001_Rig9_9L (2).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Sparidae,Chrysophrys,auratus,1,362.248,NA,30564,49.3115,362.248,1.085,2.032,1244.179,7.226,5.349,33.473,152.925,33.256,-1234.297,Scott Gray,37353001,AD,NA,20210614_APO_001_Rig9_9L (3).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Sparidae,Chrysophrys,auratus,1,352.868,NA,30564,49.3115,352.868,1.212,1.905,1162.247,15.661,10.589,16.66,303.405,-79.871,-1119.1,Scott Gray,37353001,AD,NA,20210614_APO_001_Rig9_9L (3).MP4,1,2021-06-ApolloMP-BRUVS
APO_001,Berycidae,Centroberyx,gerrardi,1,394.629,NA,1164,50.5961,394.629,1.495,3.738,1394.58,16.528,2.2,19.853,386.128,-91.101,-1336.959,Scott Gray,37258004,AD,NA,20210614_APO_001_Rig9_9L (4).MP4,1,2021-06-ApolloMP-BRUVS
