CampaignID,Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comments
2021-06-ApolloMP-BRUVS,APO_001,-38.92799828,143.5194884,20210614,10:11:00,Apollo CMR,Fished,Apollo CMR,64.82,Scott Gray,Yes,Yes,"Lights, queen snapper, beautiful habitat , lobster"
2021-06-ApolloMP-BRUVS,APO_002,-38.9138801,143.5098785,20210614,9:50:00,Apollo CMR,Fished,Apollo CMR,54.78,Scott Gray,Yes,Yes,
2021-06-ApolloMP-BRUVS,APO_003,-38.92494358,143.5159757,20210614,10:07:00,Apollo CMR,Fished,Apollo CMR,59.78,Scott Gray,Yes,Yes,"Lights, brownstriped leatherjacket"
2021-06-ApolloMP-BRUVS,APO_004,-38.91826939,143.5171301,20210614,9:44:00,Apollo CMR,Fished,Apollo CMR,54.34,Scott Gray,Yes,Yes,Good drop
2021-06-ApolloMP-BRUVS,APO_005,-38.9289975,143.524945,20210614,10:15:00,Apollo CMR,Fished,Apollo CMR,69.54,Scott Gray,Yes,Yes,Lights
2021-06-ApolloMP-BRUVS,APO_006,-38.91451806,143.5048102,20210614,9:54:00,Apollo CMR,Fished,Apollo CMR,53.85,Scott Gray,Yes,Yes,Fail
2021-06-ApolloMP-BRUVS,APO_007,-38.91446896,143.5174201,20210614,9:47:00,Apollo CMR,Fished,Apollo CMR,54.08,Scott Gray,Yes,Yes,
2021-06-ApolloMP-BRUVS,APO_008,-38.91964739,143.5218293,20210614,9:42:00,Apollo CMR,Fished,Apollo CMR,63.26,Scott Gray,Yes,Yes,Snapper
2021-06-ApolloMP-BRUVS,APO_009,-38.92049873,143.5104578,20210614,9:59:00,Apollo CMR,Fished,Apollo CMR,52.99,Scott Gray,Yes,Yes,
2021-06-ApolloMP-BRUVS,APO_010,-38.92656863,143.5080651,20210614,10:03:00,Apollo CMR,Fished,Apollo CMR,58.74,Scott Gray,Yes,Yes,"Lights, good drop diverse, close to 003 but at least 250m apart"
2021-06-ApolloMP-BRUVS,APO_011,-38.93760736,143.5217666,20210614,12:00:00,Apollo CMR,Fished,Apollo CMR,70.95,Scott Gray,Yes,Yes,Cameras in wrong side of rig
2021-06-ApolloMP-BRUVS,APO_012,-38.94150569,143.508107,20210614,12:48:00,Apollo CMR,Fished,Apollo CMR,66.48,Scott Gray,Yes,Yes,Lights
