Sample,Family,Genus,Species,Count,Others,Comment,Cams,Filename,Time_MaxN(mins),sp_Code,TapeReader,Has_Fed,CampaignID
NF_012,Apogonidae,Ostorhinchus,doederleini,3,NA,NA,12,20210722_NF_012_Rig5_5L (1).MP4,7.2395,37327053,Scott Gray,Yes,2021-07-NorfolkIsland-BRUVS
NF_012,Apogonidae,Ostorhinchus,flavus,11,NA,NA,12,20210722_NF_012_Rig5_5L (3).MP4,37.8055,37327126,Scott Gray,Yes,2021-07-NorfolkIsland-BRUVS
NF_012,Apogonidae,Taeniamia,leai,9,NA,NA,12,20210722_NF_012_Rig5_5L (1).MP4,14.6863,37327083,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_012,Blenniidae,Plagiotremus,tapeinosoma,1,NA,NA,12,20210722_NF_012_Rig5_5L (1).MP4,4.9816,37408076,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_012,Caesionidae,Caesionidae,sp.,13,NA,NA,12,20210722_NF_012_Rig5_5L (1).MP4,1.4704,37346000,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_012,Labridae,Pseudolabrus,luculentus,9,NA,NA,12,20210722_NF_012_Rig5_5L (1).MP4,3.4629,37384151,Scott Gray,Yes,2021-07-NorfolkIsland-BRUVS
NF_012,Muraenidae,Gymnothorax,annasona,1,NA,NA,12,20210722_NF_012_Rig5_5L (1).MP4,15.7363,37060064,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_012,Muraenidae,Gymnothorax,eurostus,2,NA,NA,12,20210722_NF_012_Rig5_5L (1).MP4,10.7819,37060034,Scott Gray,Yes,2021-07-NorfolkIsland-BRUVS
NF_012,Muraenidae,Gymnothorax,porphyreus,2,NA,NA,12,20210722_NF_012_Rig5_5L (4).MP4,57.3228,37060066,Scott Gray,Yes,2021-07-NorfolkIsland-BRUVS
NF_012,Pomacentridae,Amphiprion,latezonatus,3,NA,NA,12,20210722_NF_012_Rig5_5L (2).MP4,17.4647,37372022,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_012,Pomacentridae,Chromis,hypsilepis,8,NA,NA,12,20210722_NF_012_Rig5_5L (1).MP4,1.1523,37372002,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_012,Pomacentridae,Chromis,norfolkensis,99,NA,NA,12,20210722_NF_012_Rig5_5L (1).MP4,2.1221,NA,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_012,Pomacentridae,Chrysiptera,notialis,91,NA,NA,12,20210722_NF_012_Rig5_5L (1).MP4,2.1216,37372065,Scott Gray,Yes,2021-07-NorfolkIsland-BRUVS
NF_012,Pomacentridae,Parma,polylepis,1,NA,NA,12,20210722_NF_012_Rig5_5L (3).MP4,34.5028,37372096,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_012,Pomacentridae,Stegastes,gascoynei,1,NA,NA,12,20210722_NF_012_Rig5_5L (1).MP4,1.4014,37372133,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_021,Acanthuridae,Prionurus,maculatus,27,NA,NA,21,20210722_NF_021_Rig8_8L (1).MP4,6.8936,37437034,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_021,Carangidae,Pseudocaranx,spp.,1,NA,NA,21,20210722_NF_021_Rig8_8L (3).MP4,45.4782,37337924,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_021,Carangidae,Seriola,lalandi,2,NA,NA,21,20210722_NF_021_Rig8_8L (3).MP4,33.0308,37337006,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_021,Carangidae,Trachurus,spp.,2,NA,NA,21,20210722_NF_021_Rig8_8L (1).MP4,11.3675,37337907,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_021,Carcharhinidae,Carcharhinus,spp.,2,NA,NA,21,20210722_NF_021_Rig8_8L (4).MP4,55.5294,37018904,Scott Gray,Yes,2021-07-NorfolkIsland-BRUVS
NF_021,Labracoglossidae,Labracoglossa,nitida,4,NA,NA,21,20210722_NF_021_Rig8_8L (2).MP4,26.3041,37332002,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
NF_021,Labridae,Anampses,elegans,5,NA,NA,21,20210722_NF_021_Rig8_8L (1).MP4,0.9977,37384046,Scott Gray,No,2021-07-NorfolkIsland-BRUVS
