Sample,Family,Genus,Species,Count,Length,Others,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),TapeReader,Code,Stage,Comment,Filename,Cameras,CampaignID
NF_012,Pomacentridae,Chromis,hypsilepis,1,46.466,NA,5153,1.2006,46.466,2.377,4.624,1801.084,18.189,6.922,18.493,-560.632,-42.14,-1711.087,Scott Gray,37372002,AD,NA,20210722_NF_012_Rig5_5L (1).MP4,12,2021-07-NorfolkIsland-BRUVS
NF_012,Pomacentridae,Chromis,hypsilepis,1,50.275,NA,5153,1.2006,50.275,2.953,4.171,1744.85,14.488,29.027,37.763,-436.412,10.22,-1689.361,Scott Gray,37372002,AD,NA,20210722_NF_012_Rig5_5L (1).MP4,12,2021-07-NorfolkIsland-BRUVS
NF_012,Pomacentridae,Stegastes,gascoynei,1,145.213,NA,5514,1.4014,145.213,4.032,8.492,2485.492,27.907,2.83,22.451,-1058.383,-482.763,-2196.46,Scott Gray,37372133,AD,NA,20210722_NF_012_Rig5_5L (1).MP4,12,2021-07-NorfolkIsland-BRUVS
NF_012,Caesionidae,Caesionidae,spp.,1,72.98,NA,5713,1.5121,72.98,2.111,4.483,1890.505,18.19,0.938,37.89,481.602,341.089,-1796.031,Scott Gray,37346000,AD,NA,20210722_NF_012_Rig5_5L (1).MP4,12,2021-07-NorfolkIsland-BRUVS
NF_012,Caesionidae,Caesionidae,spp.,1,64.239,NA,5713,1.5121,64.239,1.321,2.184,1342.23,17.878,9.857,38.431,301.335,281.036,-1277.419,Scott Gray,37346000,AD,NA,20210722_NF_012_Rig5_5L (1).MP4,12,2021-07-NorfolkIsland-BRUVS
NF_012,Caesionidae,Caesionidae,spp.,1,82.02,NA,5713,1.5121,82.02,5.553,2.759,1908.771,12.235,41.511,6.572,317.418,250.773,-1865.413,Scott Gray,37346000,AD,NA,20210722_NF_012_Rig5_5L (1).MP4,12,2021-07-NorfolkIsland-BRUVS
NF_012,Caesionidae,Caesionidae,spp.,1,62.939,NA,5713,1.5121,62.939,1.936,4.435,1499.465,18.983,17.741,25.454,436.738,217.188,-1417.915,Scott Gray,37346000,AD,NA,20210722_NF_012_Rig5_5L (1).MP4,12,2021-07-NorfolkIsland-BRUVS
NF_012,Caesionidae,Caesionidae,spp.,1,64.798,NA,5713,1.5121,64.798,2.975,1.085,1910.876,9.679,18.408,18.408,-171.334,271.767,-1883.676,Scott Gray,37346000,AD,NA,20210722_NF_012_Rig5_5L (1).MP4,12,2021-07-NorfolkIsland-BRUVS
NF_012,Pomacentridae,Amphiprion,latezonatus,1,108.922,NA,6425,1.908,108.922,3.174,4.053,2105.284,12.426,11.954,12.034,-452.576,19.774,-2055.968,Scott Gray,37372022,AD,NA,20210722_NF_012_Rig5_5L (1).MP4,12,2021-07-NorfolkIsland-BRUVS
NF_012,Pomacentridae,Amphiprion,latezonatus,1,95.376,NA,6425,1.908,95.376,2.182,2.2,2395.439,2.594,4.932,10.155,90.406,-59.809,-2392.985,Scott Gray,37372022,AD,NA,20210722_NF_012_Rig5_5L (1).MP4,12,2021-07-NorfolkIsland-BRUVS
