OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
100	0	0	1553.32634	789.85075	336.45331	814.02985
100	0	1	1633.91396	781.79104	419.05561	824.10448
100	1	0	1267.63799	125.44030	796.10808	140.01866
100	1	1	1298.36201	278.07090	843.45331	297.18284
100	2	0	1593.62015	644.77612	543.96642	672.98507
100	2	1	1307.53410	586.34328	48.35257	612.53731
100	3	0	922.72823	48.35821	44.32319	84.62687
100	3	1	1311.56348	159.17910	302.20357	181.34328
100	4	0	1591.60546	945.00000	1204.78489	985.29851
100	4	1	1448.56243	995.37313	987.19832	1025.59701
100	5	0	1768.39454	450.19776	1681.31794	465.19403
100	5	1	1839.91605	578.64925	1773.78699	600.62313
100	6	0	1289.40189	797.91045	658.80378	826.11940
100	6	1	1434.45960	971.19403	785.72928	1001.41791
100	7	0	1593.62015	997.38806	1206.79958	1051.79104
100	7	1	1768.89822	1031.64179	1458.63589	1065.89552
100	8	0	1339.84648	84.41687	785.15003	37.51861
100	8	1	1838.26936	285.40943	1303.67062	257.27047
100	9	0	1558.24145	211.71216	1051.77948	170.17370
100	9	1	1862.38660	223.77171	1278.21354	238.51117
101	0	0	568.54780	696.91067	308.52756	690.29280
101	0	1	718.61061	721.02978	479.35799	720.44169
101	1	0	613.83182	669.38213	320.04536	663.21836
101	1	1	502.17795	574.24566	193.87648	568.52854
101	2	0	432.57083	188.62531	442.59805	231.86600
101	2	1	276.25541	87.01241	311.29309	157.94541
101	3	0	761.41382	631.89578	645.64689	637.56576
101	3	1	641.49756	616.93300	488.21493	618.58313
101	4	0	1029.94487	248.02730	821.59525	270.88089
101	4	1	1135.34613	293.13896	935.39567	314.15136
101	5	0	877.72296	560.23325	673.58688	568.12655
101	5	1	944.26867	563.35980	716.90858	576.38958
101	6	0	962.11026	385.82630	831.13050	404.88337
101	6	1	1022.62666	385.60298	875.79204	403.99007
101	7	0	1563.31472	467.46650	1449.25680	501.43672
101	7	1	1654.87090	465.67990	1520.93859	500.54342
101	8	0	665.50105	740.81886	417.43475	736.63772
101	8	1	506.50593	642.10918	241.02163	635.69479
101	9	0	826.48011	561.30025	616.23726	570.64020
101	9	1	890.56943	569.56328	668.49128	580.91315
101	10	0	1042.71389	555.01241	842.69505	573.32010
101	10	1	836.23796	524.57320	652.35520	538.62531
101	11	0	1061.78297	406.04715	889.97767	424.40199
101	11	1	896.98186	340.83623	764.25541	359.86104
101	12	0	667.37474	305.93300	724.45290	332.46650
101	12	1	608.64480	289.85360	667.50942	318.17370
101	13	0	647.96790	653.93300	401.57920	652.36973
101	13	1	589.68458	650.58313	334.81019	647.00993
101	14	0	540.53943	770.41935	171.58688	759.22084
101	14	1	486.49895	779.79901	94.32240	769.49380
101	15	0	959.42289	990.89330	652.02442	999.60298
101	15	1	982.42359	1020.37221	678.37474	1031.09181
101	16	0	852.19958	859.51365	487.96581	863.67990
101	16	1	780.29449	928.74442	351.74808	930.45409
101	17	0	1048.51012	974.36725	756.88835	991.56328
101	17	1	1040.24773	1040.69479	732.54780	1057.44417
101	18	0	769.70342	212.72953	702.07258	241.96278
101	18	1	1120.61828	485.69975	1025.02442	512.60050
101	19	0	532.73133	237.34491	505.53873	275.58065
101	19	1	687.48360	322.20844	667.21354	353.07444
101	20	0	959.59735	932.23573	621.65527	942.62283
101	20	1	1198.21912	685.66005	934.89742	709.25310
101	21	0	723.05583	611.85360	383.63852	612.05707
101	21	1	507.99721	417.25558	93.34264	420.27295
101	22	0	530.65597	513.67246	103.85694	514.02233
101	22	1	684.73412	476.28288	424.71319	486.08933
101	23	0	490.62596	731.81638	98.25541	723.03970
101	23	1	676.02442	708.76923	444.50942	706.97270
101	24	0	675.90789	525.06700	599.81996	533.96030
101	24	1	826.76134	623.81886	709.88904	632.89330
101	25	0	1063.96511	751.34739	679.64480	764.95037
101	25	1	1306.35450	960.34243	937.48988	990.87593
101	26	0	1191.69365	476.69727	1159.79065	501.90074
101	26	1	1250.42359	529.62531	1221.20028	559.07196
101	27	0	1186.33426	793.25062	866.99581	818.47643
101	27	1	1077.88835	530.37965	904.68248	549.78908
101	28	0	1502.73203	647.65757	1237.25611	685.15136
101	28	1	1617.90789	760.54342	1326.18981	811.19355
101	29	0	1034.25680	304.18362	1171.72296	317.54342
101	29	1	1074.22889	331.65261	1209.90858	347.69231
101	30	0	1376.12073	493.31017	1566.74180	529.24318
101	30	1	1426.58828	509.61290	1643.78297	547.77916
101	31	0	876.04327	236.33002	991.55827	260.77667
101	31	1	926.06420	269.38213	1039.12282	290.92556
101	32	0	920.26727	78.68734	1067.28611	103.00000
101	32	1	968.94836	112.85608	1109.26797	132.25558
107	0	0	262.21773	671.68238	400.07886	650.64020
107	0	1	144.47872	718.59057	301.87369	686.51117
107	1	0	1025.18632	712.57568	750.00419	717.71216
107	1	1	862.11584	828.84864	539.94068	825.15385
107	2	0	919.96371	573.90074	737.85834	578.17370
107	2	1	788.26936	621.08437	564.33566	614.42184
107	3	0	977.64759	752.88089	681.47383	753.42432
107	3	1	768.74878	974.44169	471.63643	959.59305
107	4	0	993.64969	710.96774	704.69853	706.52109
107	4	1	797.22191	997.71960	431.25611	980.65012
107	5	0	1546.16469	875.39950	267.37334	900.01737
107	5	1	1633.08723	880.12407	355.63573	901.70471
107	6	0	600.36985	799.20099	360.08863	778.03722
107	6	1	628.67411	865.68238	371.30984	845.74442
