OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
100	0	TF_100_406_407_406.avi	9233	TF_100_406_407_407.avi	12776	6.15533	bottom time	0.00000	30.96525	0.37991	1.80879	764.76459	7.60550	2.30327	2.33813	1.04158	-101.21237	-758.03684					1	AD	Passing	fake		
100	1	TF_100_406_407_406.avi	14417	TF_100_406_407_407.avi	17960	9.61133	bottom time	3.45600	100.96689	0.99173	0.97145	1335.01604	9.11750	48.56593	69.19332	55.03706	204.26133	-1318.14873	Scorpaenidae	Scorpaena	papillosa	37287008	1		Attracted	TL		
100	2	TF_100_406_407_406.avi	27612	TF_100_406_407_407.avi	31155	18.40800	bottom time	12.25267	182.03934	0.63054	1.63795	786.79147	3.81999	34.61317	9.75061	-36.20122	-37.90883	-785.04344	Cheilodactylidae	Nemadactylus	macropterus	37377003	1		Passing	FL		
100	3	TF_100_406_407_406.avi	27727	TF_100_406_407_407.avi	31270	18.48467	bottom time	12.32933	177.27758	0.65405	2.02477	913.74747	14.61397	25.72521	20.20069	-142.48613	181.23998	-884.18562	Cheilodactylidae	Nemadactylus	macropterus	37377003	1		Passing	FL		
100	4	TF_100_406_407_406.avi	49732	TF_100_406_407_407.avi	53275	33.15467	bottom time	26.99933	163.84733	1.74501	2.33327	1449.75870	15.07261	33.85479	3.11031	219.65374	-306.39997	-1399.88271	Moridae	Pseudophycis	bachus	37224006	1		Passing	TL		
100	5	TF_100_406_407_406.avi	49865	TF_100_406_407_407.avi	53408	33.24333	bottom time	27.08800	149.41820	1.76250	8.82994	2088.54967	20.50472	22.20300	54.87088	731.56178	-6.04739	-1956.22609	Moridae	Pseudophycis	bachus	37224006	1		Passing	TL		
100	6	TF_100_406_407_406.avi	53883	TF_100_406_407_407.avi	57426	35.92200	bottom time	29.76667	120.83334	0.65341	2.10746	1162.34044	10.11652	8.14890	52.08853	32.21131	-201.60885	-1144.26903	Sebastidae	Helicolenus	percoides	37287001	1		Attracted	TL		
100	7	TF_100_406_407_406.avi	57062	TF_100_406_407_407.avi	60605	38.04133	bottom time	31.88600	202.61877	1.82866	11.02845	1587.95851	19.16881	30.17043	11.36792	374.16193	-363.14104	-1499.91455	Sebastidae	Helicolenus	percoides	37287001	1		Attracted	TL		
100	8	TF_100_406_407_406.avi	86749	TF_100_406_407_407.avi	90292	57.83267	bottom time	51.67733	322.20276	0.71182	18.75344	1243.11116	13.63554	0.95223	23.92235	206.54049	207.90281	-1208.07400	Scyliorhinidae	Cephaloscyllium	laticeps	37015001	1	AD	Passing	tl	1/2	
100	9	TF_100_406_407_406.avi	86754	TF_100_406_407_407.avi	90297	57.83600	bottom time	51.68067	168.76216	1.38280	18.03565	1250.58514	15.18201	36.74928	15.08322	273.61474	179.99546	-1206.93820	Scyliorhinidae	Cephaloscyllium	laticeps	37015001	1	AD	Passing	tl	2/2	
101	0	TF_101_1260_1261_1260_1.MP4	19265	TF_101_1260_1261_1261_1.MP4	17838	10.71348	Bottom time	5.93760	149.74792	2.04521	0.31932	1379.27714	20.74932	23.86609	15.55557	-456.81492	-173.49110	-1289.81642	Sebastidae	Helicolenus	percoides	37287001	1	AD	Attracted	TL		
101	1	TF_101_1260_1261_1260_1.MP4	19390	TF_101_1260_1261_1261_1.MP4	17963	10.78299	Bottom time	6.00711	128.47821	1.44857	1.89149	1297.18981	23.82527	23.55537	45.16478	-518.33366	-76.83983	-1186.64539	Sebastidae	Helicolenus	percoides	37287001	2	AD	Attracted	TL		
101	2	TF_101_1260_1261_1260_1.MP4	19924	TF_101_1260_1261_1261_1.MP4	18497	11.07996	Bottom time	6.30408	167.30345	3.65867	2.11778	2099.48462	27.58777	24.71854	28.21386	-828.96640	508.08867	-1860.77841	Sebastidae	Helicolenus	percoides	37287001	1	AD	Attracted	TL		
101	3	TF_101_1260_1261_1260_1.MP4	20326	TF_101_1260_1261_1261_1.MP4	18899	11.30351	Bottom time	6.52763	201.95508	4.64550	0.27368	1633.07028	15.42510	49.02057	9.63409	-419.54353	-112.48572	-1574.24545	Sebastidae	Helicolenus	percoides	37287001	2	AD	Attracted	TL		
101	4	TF_101_1260_1261_1260_1.MP4	20432	TF_101_1260_1261_1261_1.MP4	19005	11.36246	Bottom time	6.58658	136.94316	1.47671	0.45542	1421.50660	11.90007	10.53233	18.60898	18.93873	292.50979	-1390.95664	Serranidae	Lepidoperca	pulchella	37311001	1	AD	Passing	TL	CHECK	
101	5	TF_101_1260_1261_1260_1.MP4	20457	TF_101_1260_1261_1261_1.MP4	19030	11.37636	Bottom time	6.60048	86.94271	3.06262	2.24832	1383.75731	7.83222	36.77063	3.57767	-185.65284	-33.03146	-1370.84873	Macroramphosidae	Notopogon	lilliei	37279003	1	AD	Attracted	TL		
101	6	TF_101_1260_1261_1260_1.MP4	20457	TF_101_1260_1261_1261_1.MP4	19030	11.37636	Bottom time	6.60048	86.11163	3.77749	0.71344	1591.19426	7.06277	34.03152	3.10744	-55.15061	187.71378	-1579.12037	Macroramphosidae	Notopogon	lilliei	37279003	1	AD	Attracted	TL		
101	7	TF_101_1260_1261_1260_1.MP4	20457	TF_101_1260_1261_1261_1.MP4	19030	11.37636	Bottom time	6.60048	91.46273	4.22597	0.58814	1666.57908	24.47627	58.09595	1.85168	687.30004	66.30631	-1516.80848	Macroramphosidae	Notopogon	lilliei	37279003	2	AD	Attracted	TL		
101	8	TF_101_1260_1261_1260_1.MP4	20499	TF_101_1260_1261_1261_1.MP4	19072	11.39972	Bottom time	6.62384	180.36948	1.75660	0.54307	1374.12625	22.58741	24.18288	37.46558	-505.43352	-151.98966	-1268.72339	Sebastidae	Helicolenus	percoides	37287001	1	AD	Attracted	TL		
101	9	TF_101_1260_1261_1260_1.MP4	20502	TF_101_1260_1261_1261_1.MP4	19075	11.40139	Bottom time	6.62551	73.29880	1.94888	0.34630	1388.28369	10.23972	18.00073	7.86652	-244.01444	-36.91588	-1366.17194	Macroramphosidae	Notopogon	lilliei	37279003	1	AD	Attracted	TL		
101	10	TF_101_1260_1261_1260_2.MP4	8540	TF_101_1260_1261_1261_2.MP4	6993	16.91134	Bottom time	12.13546	244.10178	1.45302	1.31157	1436.44121	5.80250	6.23355	8.98645	-144.77365	-11.42513	-1429.08131	Cheilodactylidae	Nemadactylus	macropterus	37377003	1	AD	Attracted	FL		
101	11	TF_101_1260_1261_1260_2.MP4	8667	TF_101_1260_1261_1261_2.MP4	7120	16.98196	Bottom time	12.20608	237.13010	2.94692	0.77786	1549.33255	7.95286	28.57316	23.16638	-81.01259	198.46533	-1534.43143	Cheilodactylidae	Nemadactylus	macropterus	37377003	1	AD	Attracted	FL		
101	12	TF_101_1260_1261_1260_2.MP4	21189	TF_101_1260_1261_1261_2.MP4	19642	23.94559	Bottom time	19.16971	110.07651	7.94891	2.71680	2504.78620	16.63219	32.90095	7.03411	-570.15401	434.65225	-2399.99077	Pinguipedidae	Parapercis	allporti	37390001	1	AD	Passing	TL		
101	13	TF_101_1260_1261_1260_3.MP4	1186	TF_101_1260_1261_1261_2.MP4	20879	24.63350	Bottom time	19.85762	54.93918	2.08102	0.54178	1371.09414	21.15188	24.28464	8.07482	-481.23871	-114.82367	-1278.71966	Palinuridae	Jasus	edwardsii	28820001	1	AD	Passing	C		
101	14	TF_101_1260_1261_1260_3.MP4	1186	TF_101_1260_1261_1261_2.MP4	20879	24.63350	Bottom time	19.85762	42.26820	1.83457	1.14608	1230.46267	27.46402	39.88687	0.32765	-533.96565	-192.12771	-1091.79028	Palinuridae	Jasus	edwardsii	28820001	1	AD	Passing	C		
101	15	TF_101_1260_1261_1260_3.MP4	1793	TF_101_1260_1261_1261_3.MP4	246	24.97106	Bottom time	20.19517	41.66159	1.78847	0.48750	1333.59016	21.27110	26.89574	49.85739	-142.82621	-462.23866	-1242.73843	Palinuridae	Jasus	edwardsii	28820001	1	AD	Passing	C		
101	16	TF_101_1260_1261_1260_3.MP4	4058	TF_101_1260_1261_1261_3.MP4	2511	26.23065	Bottom time	21.45477	101.04412	2.17612	0.21838	1162.84767	21.42033	50.93200	16.81558	-295.61809	-304.89890	-1082.52543	Palinuridae	Jasus	edwardsii	28820001	1	AD	Passing	C		
101	17	TF_101_1260_1261_1260_3.MP4	4761	TF_101_1260_1261_1261_3.MP4	3214	26.62160	Bottom time	21.84571	56.55920	2.04567	0.11088	1343.74202	20.82696	53.18391	65.35138	-67.51914	-472.96815	-1255.93985	Palinuridae	Jasus	edwardsii	28820001	1	AD	Passing	C		
101	18	TF_101_1260_1261_1260_4.MP4	11636	TF_101_1260_1261_1261_4.MP4	10089	42.25666	Bottom time	37.48078	625.20822	1.90862	3.82470	1782.10656	8.55901	4.99315	38.10800	-85.51071	251.06448	-1762.25944	Scyliorhinidae	Cephaloscyllium	laticeps	37015001	1	AD	Attracted	TL		
101	19	TF_101_1260_1261_1260_4.MP4	19038	TF_101_1260_1261_1261_4.MP4	17491	46.37299	Bottom time	41.59711	244.83545	5.46605	4.77180	2010.48416	19.04009	39.49231	19.02641	-548.88911	359.02464	-1900.49167	Moridae	Pseudophycis	bachus	37224006	1	AD	Attracted	TL		
101	20	TF_101_1260_1261_1260_4.MP4	19089	TF_101_1260_1261_1261_4.MP4	17542	46.40135	Bottom time	41.62547	359.17583	1.59954	0.17838	1256.17392	12.53236	21.48006	34.88201	-25.66808	-271.36714	-1226.24384	Moridae	Pseudophycis	bachus	37224006	1	AD	Attracted	TL		
