Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Analysis.notes
40,20210318,10:38:00,11:40:00,-124.75,Tas Fracture,40,No-take,-43.76401699,146.4819881,,,,,286,287,,,,ashlee b,,,Yes,,,Yes,,
41,20210318,11:05:00,12:07:00,-133.66,Tas Fracture,41,No-take,-43.76747292,146.4761853,,,,,282,283,,,,ashlee b,,,Yes,,,Yes,,
42,20210318,11:12:00,12:14:00,-120.46,Tas Fracture,42,No-take,-43.76657636,146.4775562,,,,,1258,1259,,,,ashlee b,,,Yes,,,Yes,,
43,20210318,10:55:00,11:56:00,-135.82,Tas Fracture,43,No-take,-43.76717862,146.4823617,,,,,406,407,,,,ashlee b,,,Yes,,,Yes,,
44,20210318,11:25:00,12:35:00,-122.738998,Tas Fracture,44,No-take,-43.76253272,146.4817604,,,,,1262,1263,,,,ashlee b,,,Yes,,,Yes,,
47,20210318,11:32:00,12:40:00,-118.526001,Tas Fracture,47,No-take,-43.76386281,146.4764574,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
49,20210318,13:47:00,14:52:00,-69.33,Tas Fracture (Ref),49,Fished,-43.75026646,146.3666278,,,,,1258,1259,,,,ashlee b,,,Yes,,,Yes,,
50,20210318,14:03:00,15:04:00,-94.97,Tas Fracture (Ref),50,Fished,-43.75846164,146.3766604,,,,,286,287,,,,Shenae,,,Yes,,,No,,
51,20210318,14:07:00,15:08:00,-88.61,Tas Fracture (Ref),51,Fished,-43.76391279,146.3687609,,,,,282,283,,,,Shenae,,,Yes,,,Yes,,
52,20210318,15:52:00,19:00:00,-83.18,Tas Fracture (Ref),52,Fished,-43.77308649,146.3717008,stuck,,,,286,287,,,,ashlee b,,,Yes,,,Yes,,
53,20210318,13:31:00,14:35:00,-63.8,Tas Fracture (Ref),53,Fished,-43.75114293,146.3780011,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
54,20210318,16:08:00,17:10:00,-138.22,Tas Fracture (Ref),54,Fished,-43.77549479,146.3656025,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
55,20210318,14:05:00,15:05:00,-95.73,Tas Fracture (Ref),55,Fished,-43.76086884,146.3703108,,,,,406,407,,,,Shenae,,,Yes,,,Yes,,
56,20210318,13:40:00,14:50:00,-56.02,Tas Fracture (Ref),56,Fished,-43.74623432,146.3734993,,,,,1262,1263,,,,Shenae,,,Yes,,,Yes,,
57,20210318,16:15:00,17:20:00,-85.37,Tas Fracture (Ref),57,Fished,-43.76817765,146.3671979,,,,,1262,1263,,,,Shenae,,,Yes,,,Yes,,
62,20210318,16:02:00,17:15:00,-138.669006,Tas Fracture (Ref),62,Fished,-43.77887725,146.3707545,,,,,1258,1259,,,,Shenae,,,Yes,,,Yes,,
63,20210318,15:32:00,15:40:00,-79.768997,Tas Fracture (Ref),63,Fished,-43.76424278,146.3739439,,,,,282,283,,,,ashlee b,,,Yes,,,No,,
61,20210318,15:41:00,16:50:00,-109.057999,Tas Fracture (Ref),61,Fished,-43.77158495,146.3769037,,,,,406,407,,,,Shenae,,,Yes,,,Yes,,
67,20210318,18:12:00,19:30:00,-93.68,Tas Fracture (Ref),67,Fished,-43.75312194,146.3063949,,,,,282,283,No clapper,,,Shenae,,,Yes,,,No,,
68,20210318,18:05:00,19:40:00,-81.77,Tas Fracture (Ref),68,Fished,-43.75496863,146.3089032,,,,,1258,1259,,,,Shenae,,,Yes,,,Yes,,
69,20210318,17:58:00,19:55:00,-121.89,Tas Fracture (Ref),69,Fished,-43.763134,146.3131101,,,,,1262,1263,,,,Shenae,,,Yes,,,No,,
70,20210318,18:03:00,19:59:00,-120.79,Tas Fracture (Ref),70,Fished,-43.76070128,146.3146558,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
