OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
100	0	bottom time	TF_100_406_407_406.avi	9233	6.15533	TF_100_406_407_406.avi	99275	66.18333	1
100	1	extra	TF_100_406_407_406.avi	99277	66.18467	TF_100_406_407_406.avi	149322	99.54800	1
101	0	Bottom time	TF_101_1260_1261_1260_1.MP4	8588	4.77588	TF_101_1260_1261_1260_6.MP4	9650	64.77582	1
107	0	Bottom time	TF_107_286_287_286.avi	8192	5.46133	TF_107_286_287_286.avi	98192	65.46133	1
129	0	Bottom time	TF_129_1258_1259_1259_1.MP4	12591	7.00199	TF_129_1258_1259_1259_6.MP4	13923	67.00194	1
130	0	Bottom time	TF_130_282_283_282.avi	11359	7.57267	TF_130_282_283_282.avi	101359	67.57267	1
131	0	bottom time	TF_131_1260_1261_1260_1.MP4	5730	3.18652	TF_131_1260_1261_1260_5.MP4	24649	63.22372	1
131	1	extra	TF_131_1260_1261_1260_5.MP4	24699	63.25152	TF_131_1260_1261_1260_6.MP4	5013	69.18745	1
132	0	Bottom time	TF_132_1262_1263_1262_1.MP4	9693	5.39039	TF_132_1262_1263_1262_5.MP4	24285	65.39033	1
135	0	bottom time	TF_135_286_287_287.avi	6661	4.44067				0
136	0	bottom time	TF_136_282_283_283.avi	11493	7.66200	TF_136_282_283_283.avi	97767	65.17800	1
137	0	Bottom time	TF_137_406_407_406.avi	5452	3.63467	TF_137_406_407_406.avi	90000	60.00000	1
138	0	bottom time	TF_138_1258_1259_1258_1.MP4	4486	2.49471	TF_138_1258_1259_1258_6.MP4	5792	62.51356	1
138	1	extra	TF_138_1258_1259_1258_6.MP4	5823	62.53080	TF_138_1258_1259_1258_7.MP4	260	71.24896	1
142	0	Bottom time	TF_142_1260_1261_1260_1.MP4	4562	2.53698	TF_142_1260_1261_1260_6.MP4	5774	62.53692	1
