OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
100	0	TF_100_406_407_406.avi	13897	9.26467	bottom time	3.10933	499.64323	82.61194	0.00000	0.00000	Scorpaenidae	Scorpaena	papillosa	37287008	1		Passing			
100	1	TF_100_406_407_406.avi	15295	10.19667	bottom time	4.04133	1750.76600	241.79104	0.00000	0.00000	Serranidae	Caesioperca	spp		2	J	Passing			
100	2	TF_100_406_407_406.avi	23455	15.63667	bottom time	9.48133	1243.06401	1051.79104	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	1		Attracted			
100	3	TF_100_406_407_406.avi	27455	18.30333	bottom time	12.14800	1035.55089	840.22388	0.00000	0.00000	Cheilodactylidae	Nemadactylus	macropterus	37377003	1		Passing			
100	4	TF_100_406_407_406.avi	27612	18.40800	bottom time	12.25267	1448.56243	562.16418	0.00000	0.00000	Cheilodactylidae	Nemadactylus	macropterus	37377003	2		Attracted			
100	5	TF_100_406_407_406.avi	36034	24.02267	bottom time	17.86733	1835.38300	1045.74627	0.00000	0.00000	Pinguipedidae	Parapercis	allporti	37390001	1		Passing			
100	6	TF_100_406_407_406.avi	47178	31.45200	bottom time	25.29667	1843.44176	741.49254	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	1		Passing			
100	7	TF_100_406_407_406.avi	49744	33.16267	bottom time	27.00733	1603.69360	934.92537	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	2		Passing			
100	8	TF_100_406_407_406.avi	53983	35.98867	bottom time	29.83333	1565.41448	407.01493	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	2		Passing			
100	9	TF_100_406_407_406.avi	71906	47.93733	bottom time	41.78200	1716.51626	1001.41791	0.00000	0.00000	Pinguipedidae	Parapercis	allporti	37390001	2		Passing			
100	10	TF_100_406_407_406.avi	86752	57.83467	bottom time	51.67933	1450.57712	110.82090	0.00000	0.00000	Scyliorhinidae	Cephaloscyllium	laticeps	37015001	1	F	Attracted			
101	0	TF_101_1260_1261_1260_1.MP4	9037	5.02558	Bottom time	0.24969	1022.30286	497.12159	0.00000	0.00000	Serranidae	Caesioperca	spp		8	AD	Passing			
101	1	TF_101_1260_1261_1260_1.MP4	9119	5.07118	Bottom time	0.29530	317.54361	355.08685	0.00000	0.00000	Serranidae	Caesioperca	lepidoptera	37311002	1	AD	Passing			
101	2	TF_101_1260_1261_1260_1.MP4	11208	6.23289	Bottom time	1.45701	1428.27634	887.04715	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	1	AD	Attracted			
101	3	TF_101_1260_1261_1260_1.MP4	12007	6.67723	Bottom time	1.90134	1343.86602	916.52605	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	2	AD	Attracted			
101	4	TF_101_1260_1261_1260_1.MP4	14198	7.89567	Bottom time	3.11978	1011.58409	360.44665	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	1	AD	Attracted			
101	5	TF_101_1260_1261_1260_1.MP4	14797	8.22878	Bottom time	3.45289	397.93440	676.67494	0.00000	0.00000	Serranidae	Caesioperca	lepidoptera	37311002	5	AD	Passing			
101	6	TF_101_1260_1261_1260_1.MP4	16397	9.11855	Bottom time	4.34267	1322.42847	427.44417	0.00000	0.00000	Serranidae	Lepidoperca	pulchella	37311001	1		Attracted			
101	7	TF_101_1260_1261_1260_1.MP4	17198	9.56400	Bottom time	4.78812	718.15771	703.47395	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	4	AD	Attracted			
101	8	TF_101_1260_1261_1260_1.MP4	18658	10.37592	Bottom time	5.60004	714.13817	113.89578	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	2	AD	Attracted			
101	9	TF_101_1260_1261_1260_1.MP4	18848	10.48158	Bottom time	5.70570	663.22401	309.52854	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	5	AD	Attracted			
101	10	TF_101_1260_1261_1260_1.MP4	18915	10.51884	Bottom time	5.74296	657.86462	317.56824	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	7	AD	Attracted			
101	11	TF_101_1260_1261_1260_1.MP4	20061	11.15615	Bottom time	6.38026	1114.75227	119.25558	0.00000	0.00000	Macroramphosidae	Notopogon	lilliei	37279003	3	AD	Attracted			
101	12	TF_101_1260_1261_1260_1.MP4	20511	11.40639	Bottom time	6.63051	834.72435	326.94789	0.00000	0.00000	Macroramphosidae	Notopogon	lilliei	37279003	4	AD	Attracted			
101	13	TF_101_1260_1261_1260_2.MP4	933	12.68100	Bottom time	7.90512	1666.76902	176.87345	0.00000	0.00000	Macroramphosidae	Notopogon	lilliei	37279003	4	AD	Attracted			
101	14	TF_101_1260_1261_1260_2.MP4	933	12.68100	Bottom time	7.90512	333.62177	381.88586	0.00000	0.00000	Macroramphosidae	Notopogon	lilliei	37279003	1	AD	Attracted			
101	15	TF_101_1260_1261_1260_2.MP4	1214	12.83727	Bottom time	8.06139	1093.31472	180.89330	0.00000	0.00000	Cheilodactylidae	Nemadactylus	macropterus	37377003	1	AD	Passing			
101	16	TF_101_1260_1261_1260_2.MP4	2520	13.56355	Bottom time	8.78767	825.34543	987.54342	0.00000	0.00000	Palinuridae	Jasus	edwardsii	28820001	1	AD	Attracted			
101	17	TF_101_1260_1261_1260_2.MP4	3067	13.86774	Bottom time	9.09186	570.77460	1010.32258	0.00000	0.00000	Palinuridae	Jasus	edwardsii	28820001	2	AD	Attracted			
101	18	TF_101_1260_1261_1260_2.MP4	4998	14.94159	Bottom time	10.16571	1536.80391	135.33499	0.00000	0.00000	Fishes (multi-family groups)				25		Passing			
101	19	TF_101_1260_1261_1260_2.MP4	8540	16.91134	Bottom time	12.13546	947.27146	527.94045	0.00000	0.00000	Cheilodactylidae	Nemadactylus	macropterus	37377003	2	AD	Attracted			
101	20	TF_101_1260_1261_1260_2.MP4	14371	20.15402	Bottom time	15.37814	1023.64271	834.78908	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	3	AD	Feeding			
101	21	TF_101_1260_1261_1260_2.MP4	15217	20.62449	Bottom time	15.84861	1110.73273	590.91811	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	4	AD	Feeding			
101	22	TF_101_1260_1261_1260_2.MP4	20880	23.77375	Bottom time	18.99787	644.46615	292.10918	0.00000	0.00000	Pinguipedidae	Parapercis	allporti	37390001	1	AD	Attracted			
101	23	TF_101_1260_1261_1260_3.MP4	2380	25.29749	Bottom time	20.52161	740.93510	673.99504	0.00000	0.00000	Palinuridae	Jasus	edwardsii	28820001	5	AD	Attracted			
101	24	TF_101_1260_1261_1260_3.MP4	15135	32.39069	Bottom time	27.61481	1082.59595	594.93797	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	5	AD	Feeding			
101	25	TF_101_1260_1261_1260_3.MP4	15234	32.44575	Bottom time	27.66986	641.78646	138.01489	0.00000	0.00000	Labridae	Pseudolabrus	rubicundus	37384023	1	AD	Passing			
101	26	TF_101_1260_1261_1260_4.MP4	1181	36.44252	Bottom time	31.66663	1721.70272	426.10422	0.00000	0.00000	Fishes (multi-family groups)	Order clupeiformes - undifferentiated	spp		150	AD	Passing			
101	27	TF_101_1260_1261_1260_4.MP4	9739	41.20172	Bottom time	36.42583	1015.60363	787.89082	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	7	AD	Passing	one just exited left of frame		
101	28	TF_101_1260_1261_1260_4.MP4	11546	42.20661	Bottom time	37.43073	1373.34264	485.06203	0.00000	0.00000	Scyliorhinidae	Cephaloscyllium	laticeps	37015001	1	F	Attracted			
101	29	TF_101_1260_1261_1260_4.MP4	12371	42.66540	Bottom time	37.88952	679.30216	557.41935	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	1	AD	Attracted	MEASURE		
101	30	TF_101_1260_1261_1260_4.MP4	13361	43.21595	Bottom time	38.44007	722.17725	521.24069	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	8	AD	Attracted			
101	31	TF_101_1260_1261_1260_4.MP4	19145	46.43250	Bottom time	41.65662	819.98604	736.97270	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	9	AD	Feeding			
101	32	TF_101_1260_1261_1260_4.MP4	20040	46.93022	Bottom time	42.15433	1221.93999	505.16129	0.00000	0.00000	Labridae	Pseudolabrus	rubicundus	37384023	1	AD	Passing	MEASURE		
101	33	TF_101_1260_1261_1260_5.MP4	20919	59.23084	Bottom time	54.45496	1542.16329	672.65509	0.00000	0.00000	Serranidae	Caesioperca	lepidoptera	37311002	8	AD	Attracted			
107	0	TF_107_286_287_286.avi	10029	6.68600	Bottom time	1.22467	777.11096	1015.68238	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	1	AD	Feeding			
107	1	TF_107_286_287_286.avi	11863	7.90867	Bottom time	2.44733	158.10188	862.92804	0.00000	0.00000	Labridae	Pseudolabrus	rubicundus	37384023	1	M	Passing			
107	2	TF_107_286_287_286.avi	13488	8.99200	Bottom time	3.53067	1467.13189	680.69479	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	2	AD	Chase conspecific			
107	3	TF_107_286_287_286.avi	14589	9.72600	Bottom time	4.26467	1126.81089	1039.80149	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	3	AD	Attracted			
107	4	TF_107_286_287_286.avi	17102	11.40133	Bottom time	5.94000	1106.71319	22.77916	0.00000	0.00000	Latridae	Latris	lineata	37378001	1	AD	Passing			
107	5	TF_107_286_287_286.avi	17319	11.54600	Bottom time	6.08467	154.08234	710.17370	0.00000	0.00000	Serranidae	Caesioperca	lepidoptera	37311002	1	AD	Attracted			
107	6	TF_107_286_287_286.avi	17954	11.96933	Bottom time	6.50800	791.84927	966.10422	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	4	AD	Attracted			
107	7	TF_107_286_287_286.avi	17977	11.98467	Bottom time	6.52333	676.62247	986.20347	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	5	AD	Attracted			
107	8	TF_107_286_287_286.avi	23376	15.58400	Bottom time	10.12267	1342.52617	1004.96278	0.00000	0.00000	Palinuridae	Jasus	edwardsii	28820001	1	AD	Attracted			
107	9	TF_107_286_287_286.avi	24947	16.63133	Bottom time	11.17000	1353.24494	1011.66253	0.00000	0.00000	Palinuridae	Jasus	edwardsii	28820001	2	AD	Attracted			
107	10	TF_107_286_287_286.avi	26130	17.42000	Bottom time	11.95867	375.15701	974.14392	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	1	AD	Attracted			
107	11	TF_107_286_287_286.avi	35510	23.67333	Bottom time	18.21200	857.50174	763.77171	0.00000	0.00000	Labridae	Pseudolabrus	rubicundus	37384023	1	AD	Attracted	MEASURE		
107	12	TF_107_286_287_286.avi	48025	32.01667	Bottom time	26.55533	1104.03350	391.26551	0.00000	0.00000	Serranidae	Caesioperca	lepidoptera	37311002	1	AD	Passing			
107	13	TF_107_286_287_286.avi	83019	55.34600	Bottom time	49.88467	227.77390	992.90323	0.00000	0.00000	Serranidae	Lepidoperca	pulchella	37311001	1	AD	Passing			
107	14	TF_107_286_287_286.avi	86871	57.91400	Bottom time	52.45267	168.82066	581.53846	0.00000	0.00000	Cheilodactylidae	Nemadactylus	macropterus	37377003	1	AD	Passing			
129	0	TF_129_1258_1259_1259_1.MP4	12890	7.16827	Bottom time	0.16628	120.88143	872.46269	0.00000	0.00000	Diogenidae	UNK	Hermit Crab	28827000	1		Passing			
129	1	TF_129_1258_1259_1259_1.MP4	16549	9.20308	Bottom time	2.20109	1168.34613	458.26303	0.00000	0.00000	Sebastidae	Helicolenus	percoides	37287001	1	AD	Passing			
129	2	TF_129_1258_1259_1259_1.MP4	20254	11.26347	Bottom time	4.26148	1823.53105	356.42680	0.00000	0.00000	Serranidae	Caesioperca	lepidoptera	37311002	1	AD	Passing			
129	3	TF_129_1258_1259_1259_1.MP4	20274	11.27460	Bottom time	4.27260	1773.95673	395.28536	0.00000	0.00000	Moridae	Pseudophycis	bachus	37224006	1	AD	Chase other			
