OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
100	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_100_406_407.EMObs
101	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_101_1260_1261.EMObs
107	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_107_286_287.EMObs
129	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_129_1258_1259.EMObs
130	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_130_282_283.EMObs
131	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_131_1260_1261.EMObs
132	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_132_1262_1263.EMObs
135	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_135_286_287.EMObs
136	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_136_282_283.EMObs
137	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_137_406_407.EMObs
138	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_138_1258_1259.EMObs
142	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_142_1260_1261.EMObs
143	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_143_1262_1263.EMObs
144	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_144_286_287.EMObs
145	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_145_406_407.EMObs
146	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_146_1258_1259.EMObs
147	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_147_1260_1261.EMObs
148	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_148_1262_1263.EMObs
149	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_149_1262_1263.EMObs
150	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_150_1260_1261.EMObs
160	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_160_286_287.EMObs
161	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_161_1258_1259.EMObs
162	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_162_282_283.EMObs
163	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_163_286_287.EMObs
164	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_164_1262_1263.EMObs
165	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_165_282_283.EMObs
166	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_166_406_407.EMObs
167	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_167_406_407.EMObs
168	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_168_1260_1261.EMObs
170	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_170_287.EMObs
171	1.09	2023 06 19 10:21:18	R:\TAFI\Data\CERF\BRUVS Video\202103_TasFracture\Converted\	TF_171_1258_1259.EMObs
