Sample,Family,Genus,Species,Count,Others,Comment,Cams,Filename,Time_MaxN(mins),sp_Code,TapeReader,Has_Fed,CampaignID
WP_001,Cheilodactylidae,Cheilodactylus,nigripes,1,NA,NA,1,20210525_WP_001_Rig7_7L (3).MP4,47.26,37377001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Cheilodactylidae,Nemadactylus,douglasii,1,NA,NA,1,20210525_WP_001_Rig7_7L (2).MP4,21.4142,37377002,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Cheilodactylidae,Nemadactylus,macropterus,1,NA,NA,1,20210525_WP_001_Rig7_7L (1).MP4,0.5778,37377003,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_001,Cheilodactylidae,Nemadactylus,valenciennesi,1,NA,NA,1,20210525_WP_001_Rig7_7L (1).MP4,0.1863,37377004,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Cyttidae,Cyttus,australis,2,NA,NA,1,20210525_WP_001_Rig7_7L (2).MP4,19.0874,37264002,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Dinolestidae,Dinolestes,lewini,36,NA,NA,1,20210525_WP_001_Rig7_7L (2).MP4,18.5369,37327002,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Gerreidae,Parequula,melbournensis,1,NA,NA,1,20210525_WP_001_Rig7_7L (1).MP4,6.303,37349001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Labridae,Notolabrus,tetricus,4,NA,NA,1,20210525_WP_001_Rig7_7L (2).MP4,15.0628,37384003,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_001,Labridae,Ophthalmolepis,lineolatus,4,NA,NA,1,20210525_WP_001_Rig7_7L (3).MP4,31.6588,37384040,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Labridae,Pictilabrus,laticlavius,1,NA,NA,1,20210525_WP_001_Rig7_7L (1).MP4,3.8394,37384020,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Labridae,Pseudolabrus,rubicundus,4,NA,NA,1,20210525_WP_001_Rig7_7L (2).MP4,14.0173,37384023,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_001,Monacanthidae,Eubalichthys,gunnii,1,NA,NA,1,20210525_WP_001_Rig7_7L (4).MP4,51.4703,37465034,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Monacanthidae,Meuschenia,freycineti,1,NA,NA,1,20210525_WP_001_Rig7_7L (2).MP4,20.4093,37465036,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_001,Monacanthidae,Meuschenia,scaber,3,NA,NA,1,20210525_WP_001_Rig7_7L (4).MP4,58.7809,37465005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Monacanthidae,Thamnaconus,degeni,3,NA,NA,1,20210525_WP_001_Rig7_7L (2).MP4,13.7604,37465037,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_001,Mullidae,Upeneichthys,vlamingii,1,NA,NA,1,20210525_WP_001_Rig7_7L (1).MP4,0.2725,37355029,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Neosebastidae,Neosebastes,scorpaenoides,1,NA,NA,1,20210525_WP_001_Rig7_7L (1).MP4,12.1599,37287005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Ostraciidae,Aracana,spp.,1,NA,NA,1,20210525_WP_001_Rig7_7L (3).MP4,30.5033,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_001,Scyliorhinidae,Cephaloscyllium,laticeps,1,NA,NA,1,20210525_WP_001_Rig7_7L (3).MP4,39.6329,37015001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_001,Serranidae,Caesioperca,spp.,81,NA,NA,1,20210525_WP_001_Rig7_7L (1).MP4,6.6961,NA,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_002,Carangidae,Pseudocaranx,spp.,2,NA,NA,2,20210523_WP_002_Rig7_7L (2).MP4,17.2389,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_002,Carangidae,Trachurus,novaezelandiae,25,NA,NA,2,20210523_WP_002_Rig7_7L (1).MP4,13.1809,37337003,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_002,Diogenidae,Diogenidae,spp.,1,NA,NA,2,20210523_WP_002_Rig7_7L (2).MP4,16.6956,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_002,Gerreidae,Parequula,melbournensis,3,NA,NA,2,20210523_WP_002_Rig7_7L (2).MP4,28.0541,37349001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_002,Neosebastidae,Neosebastes,scorpaenoides,1,NA,NA,2,20210523_WP_002_Rig7_7L (3).MP4,46.735,37287005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_002,Platycephalidae,Platycephalus,bassensis,8,NA,NA,2,20210523_WP_002_Rig7_7L (3).MP4,34.787,37296003,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_002,Platycephalidae,Platycephalus,grandispinis,3,NA,NA,2,20210523_WP_002_Rig7_7L (3).MP4,33.2076,37296036,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_002,Rajidae,Spiniraja,whitleyi,1,NA,NA,2,20210523_WP_002_Rig7_7L (1).MP4,11.5354,37031006,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_002,Trygonorrhinidae,Trygonorrhina,dumerilii,2,NA,NA,2,20210523_WP_002_Rig7_7L (3).MP4,47.1632,37027011,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_003,Gerreidae,Parequula,melbournensis,4,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (2).MP4,26.2262,37349001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_003,Monacanthidae,Thamnaconus,degeni,3,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (4).MP4,50.8041,37465037,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_003,Moridae,Pseudophycis,spp.,1,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (2).MP4,22.9112,NA,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_003,Mullidae,Upeneichthys,vlamingii,1,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (2).MP4,31.1055,37355029,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_003,Neosebastidae,Neosebastes,scorpaenoides,1,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (3).MP4,41.1239,37287005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_003,Parascylliidae,Parascyllium,ferrugineum,1,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (3).MP4,46.2167,37013005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_003,Pinguipedidae,Parapercis,ramsayi,1,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (1).MP4,11.3246,37390002,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_003,Platycephalidae,Platycephalus,bassensis,2,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (3).MP4,42.4202,37296003,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_003,Scyliorhinidae,Cephaloscyllium,laticeps,1,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (1).MP4,5.4566,37015001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_003,Serranidae,Caesioperca,spp.,1,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (4).MP4,51.1544,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_003,Triakidae,Mustelus,antarcticus,2,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (4).MP4,53.3516,37017001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_003,Urolophidae,Urolophus,cruciatus,2,NA,Some jellyfish,3,20210523_WP_003_Rig4_4L (3).MP4,33.3083,37038002,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_005,Carangidae,Pseudocaranx,spp.,11,NA,NA,5,20210523_WP_005_Rig5_5L (2).MP4,31.3725,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_005,Carangidae,Trachurus,novaezelandiae,12,NA,NA,5,20210523_WP_005_Rig5_5L (4).MP4,56.9391,37337003,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_005,Diogenidae,Diogenidae,spp.,4,NA,NA,5,20210523_WP_005_Rig5_5L (1).MP4,6.259,NA,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_005,Gerreidae,Parequula,melbournensis,5,NA,NA,5,20210523_WP_005_Rig5_5L (2).MP4,22.5275,37349001,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_005,Monacanthidae,Thamnaconus,degeni,1,NA,NA,5,20210523_WP_005_Rig5_5L (1).MP4,9.4589,37465037,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_005,Neosebastidae,Neosebastes,scorpaenoides,1,NA,NA,5,20210523_WP_005_Rig5_5L (1).MP4,12.77,37287005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_005,Parascylliidae,Parascyllium,ferrugineum,1,NA,NA,5,20210523_WP_005_Rig5_5L (2).MP4,20.312,37013005,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_005,Pinguipedidae,Parapercis,ramsayi,1,NA,NA,5,20210523_WP_005_Rig5_5L (2).MP4,16.4247,37390002,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_005,Platycephalidae,Platycephalus,bassensis,5,NA,NA,5,20210523_WP_005_Rig5_5L (3).MP4,34.0685,37296003,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_005,Rajidae,Dentiraja,lemprieri,1,NA,NA,5,20210523_WP_005_Rig5_5L (3).MP4,46.2123,37031007,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_005,Tetraodontidae,Contusus,brevicaudus,1,NA,NA,5,20210523_WP_005_Rig5_5L (3).MP4,39.9405,37467044,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_005,Triakidae,Mustelus,antarcticus,1,NA,NA,5,20210523_WP_005_Rig5_5L (3).MP4,43.3194,37017001,Scott Gray,Yes,2021-05-WilsonsProm-BRUVS
WP_005,Urolophidae,Urolophidae,spp.,1,NA,NA,5,20210523_WP_005_Rig5_5L (2).MP4,31.5971,NA,Scott Gray,No,2021-05-WilsonsProm-BRUVS
WP_005,Urolophidae,Urolophus,cruciatus,1,NA,NA,5,20210523_WP_005_Rig5_5L (1).MP4,7.403,37038002,Scott Gray,No,2021-05-WilsonsProm-BRUVS
