Sample,Family,Genus,Species,Count,Length,Others,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),TapeReader,Code,Stage,Comment,Filename,Cameras,CampaignID
WP_001,Mullidae,Upeneichthys,vlamingii,1,168.447,NA,10195,0.297,168.447,4.369,6.516,2208.666,14.117,19.717,12.475,528.994,-101.85,-2141.961,Scott Gray,37355029,AD,NA,20210525_WP_001_Rig7_7L (1).MP4,1,2021-05-WilsonsProm-BRUVS
WP_001,Serranidae,Caesioperca,spp.,1,167.394,NA,14800,2.8579,167.394,1.09,3.337,1132.104,16.056,1.312,2.026,299.166,-92.401,-1087.944,Scott Gray,NA,AD,NA,20210525_WP_001_Rig7_7L (1).MP4,1,2021-05-WilsonsProm-BRUVS
WP_001,Serranidae,Caesioperca,spp.,1,180.323,NA,14800,2.8579,180.323,1.186,2.054,1175.833,17.251,3.02,10.556,346.478,39.397,-1122.935,Scott Gray,NA,AD,NA,20210525_WP_001_Rig7_7L (1).MP4,1,2021-05-WilsonsProm-BRUVS
WP_001,Serranidae,Caesioperca,spp.,1,183.518,NA,14800,2.8579,183.518,0.547,1.19,739.569,3.623,2.968,5.534,-10.645,-45.5,-738.091,Scott Gray,NA,AD,NA,20210525_WP_001_Rig7_7L (1).MP4,1,2021-05-WilsonsProm-BRUVS
WP_001,Serranidae,Caesioperca,spp.,1,156.173,NA,14800,2.8579,156.173,1.073,0.915,1162.818,12.189,3.554,6.63,-243.45,31.698,-1136.606,Scott Gray,NA,AD,NA,20210525_WP_001_Rig7_7L (1).MP4,1,2021-05-WilsonsProm-BRUVS
WP_001,Serranidae,Caesioperca,spp.,1,177.473,NA,14811,2.864,177.473,2.497,3.672,1752.259,20.682,12.279,0.369,571.893,-236.485,-1639.337,Scott Gray,NA,AD,NA,20210525_WP_001_Rig7_7L (1).MP4,1,2021-05-WilsonsProm-BRUVS
WP_001,Serranidae,Caesioperca,spp.,1,164.191,NA,14835,2.8773,164.191,2.172,3.511,1578.27,20.541,13.997,4.666,-534.696,-144.131,-1477.925,Scott Gray,NA,AD,NA,20210525_WP_001_Rig7_7L (1).MP4,1,2021-05-WilsonsProm-BRUVS
WP_001,Serranidae,Caesioperca,spp.,1,167.717,NA,14887,2.9062,167.717,1.452,4.58,1095.464,11.838,27.623,6.232,-93.479,-204.361,-1072.166,Scott Gray,NA,AD,NA,20210525_WP_001_Rig7_7L (1).MP4,1,2021-05-WilsonsProm-BRUVS
WP_001,Serranidae,Caesioperca,spp.,1,138.79,NA,14892,2.909,138.79,1.187,1.208,1262.638,13.868,1.744,6.895,-274.875,126.642,-1225.83,Scott Gray,NA,AD,NA,20210525_WP_001_Rig7_7L (1).MP4,1,2021-05-WilsonsProm-BRUVS
WP_001,Serranidae,Caesioperca,spp.,1,211.816,NA,14946,2.939,211.816,0.525,2.607,711.288,3.282,3.139,23.044,-4.179,-40.51,-710.122,Scott Gray,NA,AD,NA,20210525_WP_001_Rig7_7L (1).MP4,1,2021-05-WilsonsProm-BRUVS
