CampaignID,Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Others,Comments
2021-05-WilsonsProm-BRUVS,WP_001,-39.09453,146.32264,20210525,9:15:00,Wilsons Promontory,No-take,Wilsons Promontory,-38.08,,Yes,Yes,,Good very good
2021-05-WilsonsProm-BRUVS,WP_001F,-39.09453,146.32264,20210523,10:02:00,Wilsons Promontory,No-take,Wilsons Promontory,-38.08,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_002,-39.11253,146.33309,20210523,10:13:00,Wilsons Promontory,No-take,Wilsons Promontory,-40.18,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_003,-39.09674,146.28768,20210523,9:46:00,Wilsons Promontory,No-take,Wilsons Promontory,-45,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_005,-39.09485,146.30748,20210523,9:55:00,Wilsons Promontory,No-take,Wilsons Promontory,-42.51,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_008,-39.09778,146.43732,20210521,11:36:00,Wilsons Promontory,No-take,Wilsons Promontory,-15.68,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_012,-39.12771,146.42822,20210521,11:52:00,Wilsons Promontory,No-take,Wilsons Promontory,-36.55,,Yes,Yes,,Good but fell off cliff
2021-05-WilsonsProm-BRUVS,WP_017,-39.08189,146.45076,20210521,11:25:00,Wilsons Promontory,No-take,Wilsons Promontory,-29.29,,Yes,Yes,,Poor vis - sand - ok
2021-05-WilsonsProm-BRUVS,WP_020,-39.11825,146.31658,20210523,10:21:00,Wilsons Promontory,No-take,Wilsons Promontory,-45.05,,Yes,Yes,,Good sand
2021-05-WilsonsProm-BRUVS,WP_025,-39.13641,146.33753,20210521,14:16:00,Wilsons Promontory,No-take,Wilsons Promontory,-42.61,,Yes,Yes,,Good - pinkies
2021-05-WilsonsProm-BRUVS,WP_026,-39.14936,146.29713,20210522,13:20:00,Wilsons Promontory,No-take,Wilsons Promontory,-44.46,,Yes,Yes,,Beautiful
2021-05-WilsonsProm-BRUVS,WP_027,-39.11563,146.43576,20210521,11:45:00,Wilsons Promontory,No-take,Wilsons Promontory,-39.43,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_029,-39.13514,146.30028,20210522,13:43:00,Wilsons Promontory,No-take,Wilsons Promontory,-44.75,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_031,-39.17416,146.34823,20210524,13:48:00,Wilsons Promontory,No-take,Wilsons Promontory,-71.74,,Yes,Yes,,Lights good
2021-05-WilsonsProm-BRUVS,WP_032,-39.13529,146.27592,20210523,13:29:00,Wilsons Promontory,No-take,Wilsons Promontory,-54.66,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_037,-39.11755,146.28672,20210523,13:10:00,Wilsons Promontory,No-take,Wilsons Promontory,-50.4,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_038,-39.16294,146.31743,20210524,9:18:00,Wilsons Promontory,No-take,Wilsons Promontory,-67.87,,Yes,Yes,,Light
2021-05-WilsonsProm-BRUVS,WP_044,-39.15967,146.33672,20210524,9:29:00,Wilsons Promontory,No-take,Wilsons Promontory,-71.59,,Yes,Yes,,Lights
2021-05-WilsonsProm-BRUVS,WP_045,-39.14782,146.37339,20210521,14:00:00,Wilsons Promontory,No-take,Wilsons Promontory,-39.88,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_048,-39.14073,146.31357,20210522,13:37:00,Wilsons Promontory,No-take,Wilsons Promontory,-41.18,,Yes,Yes,,Clip very nice
2021-05-WilsonsProm-BRUVS,WP_050,-39.12722,146.29996,20210522,13:48:00,Wilsons Promontory,No-take,Wilsons Promontory,-45.23,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_051,-39.10044,146.24135,20210522,9:33:00,Wilsons Promontory,No-take,Wilsons Promontory,-43.29,,Yes,Yes,,"Pretty cool, no RHS footage, 151 on clapper incorrect"
2021-05-WilsonsProm-BRUVS,WP_052,-39.13041,146.32139,20210521,14:34:00,Wilsons Promontory,No-take,Wilsons Promontory,-35.57,,Yes,Yes,,Good vis - gummy
2021-05-WilsonsProm-BRUVS,WP_053,-39.14261,146.39622,20210521,13:50:00,Wilsons Promontory,No-take,Wilsons Promontory,-31.69,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_054,-39.07055,146.23232,20210522,9:01:00,Wilsons Promontory,No-take,Wilsons Promontory,-42.53,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_060,-39.15409,146.34474,20210524,9:34:00,Wilsons Promontory,No-take,Wilsons Promontory,-68.73,,Yes,Yes,,Lights 
2021-05-WilsonsProm-BRUVS,WP_062,-39.15748,146.30311,20210523,13:57:00,Wilsons Promontory,No-take,Wilsons Promontory,-68.37,,Yes,Yes,,Lights good
2021-05-WilsonsProm-BRUVS,WP_065,-39.15396,146.2916,20210523,13:48:00,Wilsons Promontory,No-take,Wilsons Promontory,-62.65,,Yes,Yes,,"Lights good, saw shark"
2021-05-WilsonsProm-BRUVS,WP_066,-39.13045,146.43088,20210525,12:33:00,Wilsons Promontory,No-take,Wilsons Promontory,-65.4,,Yes,Yes,,"Lights great, but went out early at 56mins"
2021-05-WilsonsProm-BRUVS,WP_066F,-39.13045,146.43088,20210524,12:17:00,Wilsons Promontory,No-take,Wilsons Promontory,-65.4,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_067,-39.09225,146.44275,20210521,11:32:00,Wilsons Promontory,No-take,Wilsons Promontory,-27.2,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_068,-39.12608,146.34738,20210521,14:23:00,Wilsons Promontory,No-take,Wilsons Promontory,-20.02,,Yes,Yes,,Good 
2021-05-WilsonsProm-BRUVS,WP_069,-39.15451,146.36401,20210525,11:58:00,Wilsons Promontory,No-take,Wilsons Promontory,-44.65,,Yes,Yes,,Lights good
2021-05-WilsonsProm-BRUVS,WP_069F,-39.15451,146.36401,20210524,9:43:00,Wilsons Promontory,No-take,Wilsons Promontory,-44.65,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_070,-39.15439,146.29781,20210525,9:52:00,Wilsons Promontory,No-take,Wilsons Promontory,-36.5,,Yes,Yes,,Lights magic
2021-05-WilsonsProm-BRUVS,WP_070F,-39.15439,146.29781,20210522,13:17:00,Wilsons Promontory,No-take,Wilsons Promontory,-36.5,,Yes,Yes,,Fail
