Sample,Family,Genus,Species,Count
7CNB1-1,Labridae,Bodianus,frenchii,1
7CNB1-1,Aplodactylidae,Aplodactylus,westralis,1
7CNB1-1,Serranidae,Acanthistius,serratus,1
7CNB1-1,Labridae,Achoerodus,gouldii,2
7CNB1-1,Labridae,Coris,auricularis,1
7CNB1-1,Serranidae,Epinephelides,armatus,1
7CNB1-1,Muraenidae,Gymnothorax,prasinus,1
7CNB1-1,Muraenidae,Gymnothorax,woodwardi,2
7CNB1-1,Monacanthidae,Meuschenia,galii,3
7CNB1-1,Monacanthidae,Meuschenia,hippocrepis,2
7CNB1-1,Labridae,Notolabrus,parilus,3
7CNB1-1,Odacidae,Odax,cyanomelas,1
7CNB1-1,Labridae,Ophthalmolepis,lineolatus,11
7CNB1-1,Pomacentridae,Parma,mccullochi,1
7CNB1-1,Labridae,Pseudolabrus,biserialis,5
7CNB1-1,Scorpididae,Scorpis,aequipinnis,1
7CNB1-2,Labridae,Achoerodus,gouldii,2
7CNB1-2,Labridae,Austrolabrus,maculatus,1
7CNB1-2,Labridae,Bodianus,frenchii,3
7CNB1-2,Chaetodontidae,Chelmonops,curiosus,1
7CNB1-2,Labridae,Coris,auricularis,7
7CNB1-2,Dasyatidae,Dasyatis,brevicaudata,1
7CNB1-2,Kyphosidae,Kyphosus,sydneyanus,1
7CNB1-2,Monacanthidae,Meuschenia,flavolineata,1
7CNB1-2,Monacanthidae,Meuschenia,galii,2
7CNB1-2,Monacanthidae,Meuschenia,hippocrepis,2
7CNB1-2,Myliobatidae,Myliobatis,australis,2
7CNB1-2,Cheilodactylidae,Nemadactylus,valenciennesi,2
7CNB1-2,Labridae,Notolabrus,parilus,3
7CNB1-2,Odacidae,Odax,cyanomelas,2
7CNB1-2,Labridae,Ophthalmolepis,lineolatus,16
7CNB1-2,Orectolobidae,Orectolobus,maculatus,1
7CNB1-2,Pomacentridae,Parma,mccullochi,1
7CNB1-2,Labridae,Pseudolabrus,biserialis,4
7CNB1-2,Scorpididae,Scorpis,aequipinnis,1
7CNB1-2,Scorpididae,Scorpis,georgiana,1
7CNB1-3,Scyliorhinidae,Aulohalaelurus,labiosus,1
7CNB1-3,Labridae,Coris,auricularis,6
7CNB1-3,Muraenidae,Gymnothorax,prasinus,1
