Dot Point Measurements

Generated: Friday 22 July 2022 11:51:22

Filename	Frame	Time..mins.	Image.row	Image.col	Date	Location	Site..	Transect..	Latitude	Longitude	Rugosity	Depth	Collector	Fishing.status	Spare	Spare.1	Broad	Morphology	Type	CAAB_CODE	X	X.1	Radius..
npz6.1.jpg	0		1017	589													Unconsolidated	Sand	mud (coarse sand)	82001014			58.7
npz6.1.jpg	0		877	1017													Invertebrate Complex	Complex 1		20000000			42.7
npz6.1.jpg	0		960	328													Unconsolidated	Sand	mud (coarse sand)	82001014			71.5
npz6.1.jpg	0		980	880													Unconsolidated	Sand	mud (coarse sand)	82001014			46.2
npz6.1.jpg	0		961	509													Unconsolidated	Sand	mud (coarse sand)	82001014			63.2
npz6.1.jpg	0		535	1855													Unknown			00000001			39.1
npz6.1.jpg	0		1048	112													Unconsolidated	Sand	mud (coarse sand)	82001014			80.5
npz6.1.jpg	0		867	1													Unknown			00000001			87.6
npz6.1.jpg	0		993	279													Unconsolidated	Sand	mud (coarse sand)	82001014			73.3
npz6.1.jpg	0		1033	225													Unconsolidated	Sand	mud (coarse sand)	82001014			75.4
npz6.1.jpg	0		617	1838													Unknown			00000001			35.1
npz6.1.jpg	0		731	272													Unconsolidated	Sand	mud (coarse sand)	82001014			77.5
npz6.1.jpg	0		1034	1736													Unconsolidated	Sand	mud (coarse sand)	82001014			15.3
npz6.1.jpg	0		882	1233													Unconsolidated	Sand	mud (coarse sand)	82001014			34.3
npz6.1.jpg	0		1050	450													Unconsolidated	Sand	mud (coarse sand)	82001014			64.8
npz6.1.jpg	0		824	47													Unconsolidated	Sand	mud (coarse sand)	82001014			86.1
npz6.1.jpg	0		950	181													Sponges	Small mixed		10000000			78.3
npz6.1.jpg	0		912	595													Unconsolidated	Sand	mud (coarse sand)	82001014			60
npz6.1.jpg	0		928	1666													Unconsolidated	Sand	mud (coarse sand)	82001014			20.9
npz6.1.jpg	0		1057	793													Unconsolidated	Sand	mud (coarse sand)	82001014			48.9
npz6.1.jpg	0		550	2238													Unknown			00000001			44
npz6.1.jpg	0		1046	3060													Invertebrate Complex	Complex 1		20000000			62.8
npz6.1.jpg	0		837	3104													Unconsolidated	Sand	mud (coarse sand)	82001014			67.7
npz6.1.jpg	0		838	3683													Unconsolidated	Sand	mud (coarse sand)	82001014			93.9
npz6.1.jpg	0		641	2006													Unconsolidated	Sand	mud (coarse sand)	82001014			35.6
npz6.1.jpg	0		710	3778													Invertebrate Complex	Complex 1		20000000			100
npz6.1.jpg	0		615	2867													Invertebrate Complex	Complex 1		20000000			62.6
npz6.1.jpg	0		550	3013													Unconsolidated	Sand	mud (coarse sand)	82001014			70.1
npz6.1.jpg	0		543	2420													Unconsolidated	Sand	mud (coarse sand)	82001014			49.2
npz6.1.jpg	0		531	1940													Unknown			00000001			39.9
npz6.1.jpg	0		828	2542													Unconsolidated	Sand	mud (coarse sand)	82001014			44.1
npz6.1.jpg	0		985	2861													Unconsolidated	Sand	mud (coarse sand)	82001014			54.5
npz6.1.jpg	0		945	3235													Invertebrate Complex	Complex 1		20000000			72
npz6.1.jpg	0		611	2456													Unconsolidated	Sand	mud (coarse sand)	82001014			47.8
npz6.1.jpg	0		945	3501													Invertebrate Complex	Complex 1		20000000			84.3
npz6.1.jpg	0		890	1973													Invertebrate Complex	Complex 1		20000000			23.9
npz6.1.jpg	0		918	2040													Unconsolidated	Sand	mud (coarse sand)	82001014			24.2
npz6.1.jpg	0		818	2641													Unconsolidated	Sand	mud (coarse sand)	82001014			48.4
npz6.1.jpg	0		674	2156													Unconsolidated	Sand	mud (coarse sand)	82001014			37
npz6.1.jpg	0		742	2552													Unconsolidated	Sand	mud (coarse sand)	82001014			46.9
npz6.1.jpg	0		1643	2690													Invertebrate Complex	Complex 1		20000000			45.5
npz6.1.jpg	0		1951	2512													Unconsolidated	Sand	mud (coarse sand)	82001014			45.1
npz6.1.jpg	0		1906	3420													Invertebrate Complex	Complex 1		20000000			82.4
npz6.1.jpg	0		1797	2706													Invertebrate Complex	Complex 1		20000000			48.9
npz6.1.jpg	0		2013	2939													Unconsolidated	Sand	mud (coarse sand)	82001014			63.6
npz6.1.jpg	0		2011	2083													Invertebrate Complex	Complex 1		20000000			34.5
npz6.1.jpg	0		1908	2802													Unconsolidated	Sand	mud (coarse sand)	82001014			55.4
npz6.1.jpg	0		1810	2197													Invertebrate Complex	Complex 1		20000000			29.5
npz6.1.jpg	0		1808	2710													Invertebrate Complex	Complex 1		20000000			49.4
npz6.1.jpg	0		1693	2084													Invertebrate Complex	Complex 1		20000000			21.8
npz6.1.jpg	0		1763	3667													Invertebrate Complex	Complex 1		20000000			92
npz6.1.jpg	0		1766	2221													Invertebrate Complex	Complex 1		20000000			28.8
npz6.1.jpg	0		1921	1994													Unconsolidated	Sand	mud (coarse sand)	82001014			28.9
npz6.1.jpg	0		2148	2860													Unconsolidated	Sand	mud (coarse sand)	82001014			63.9
npz6.1.jpg	0		1979	3466													Invertebrate Complex	Complex 1		20000000			85.6
npz6.1.jpg	0		1872	3474													Invertebrate Complex	Complex 1		20000000			84.4
npz6.1.jpg	0		1767	3552													Invertebrate Complex	Complex 1		20000000			86.7
npz6.1.jpg	0		1677	3398													Sponges	Small mixed		10000000			78.6
