"Sample","Latitude","Longitude","Location","Status","Site","Depth","Observer.count","Successful.count","Successful.length","Observer.length","Date.time.utc"
"NCB606",-20.408,115.48192,"Montebello","Fished",NA,"25.7","Emma","Yes","Yes","Todd","2015-01-17T00:45:00Z"
"NCB607",-20.407,115.47612,"Montebello","Fished",NA,"29","Emma","Yes","Yes","Becca","2015-01-17T00:48:00Z"
"NCB608",-20.405,115.46842,"Montebello","Fished",NA,"30.4","Emma","Yes","Yes","Todd","2015-01-17T00:56:00Z"
"NCB609",-20.404,115.45887,"Montebello","Fished",NA,"29.4","Emma","Yes","Yes","Todd","2015-01-17T01:01:00Z"
"NCB610",-20.402,115.45061,"Montebello","Fished",NA,"23.3","Emma","Yes","Yes","Becca","2015-01-17T01:07:00Z"
"NCB611",-20.4,115.44188,"Montebello","Fished",NA,"22.6","Emma","Yes","Yes","Becca","2015-01-17T01:12:00Z"
"NCB612",-20.398,115.43266,"Montebello","Fished",NA,"24.5","Emma","Yes","Yes","Becca","2015-01-17T01:18:00Z"
"NCB613",-20.396,115.42453,"Montebello","Fished",NA,"26.3","Emma","Yes","Yes","Becca","2015-01-17T01:23:00Z"
"NCB614",-20.394,115.41624,"Montebello","Fished",NA,"28.3","Matt/Todd","Yes","Yes","Todd","2015-01-17T01:27:00Z"
"NCB615",-20.392,115.407,"Montebello","Fished",NA,"31.9","Katrina","Yes","Yes","Becca","2015-01-17T01:33:00Z"
"NCB616",-20.39,115.39678,"Montebello","Fished",NA,"33.1","Katrina","Yes","Yes","Becca","2015-01-17T03:26:00Z"
"NCB617",-20.386,115.38707,"Montebello","Fished",NA,"36.9","Katrina","Yes","Yes","Becca","2015-01-17T03:32:00Z"
"NCB618",-20.383,115.37587,"Montebello","Fished",NA,"40.4","Katrina","Yes","Yes","Becca","2015-01-17T03:40:00Z"
"NCB619",-20.38,115.36088,"Montebello","Fished",NA,"37.3","Katrina","Yes","Yes","Becca","2015-01-17T03:46:00Z"
"NCB620",-20.376,115.34493,"Montebello","Fished",NA,"41.6","Katrina","Yes","Yes","Becca","2015-01-17T03:54:00Z"
"NCB621",-20.373,115.33427,"Montebello","Fished",NA,"28.4","Matt","Yes","Yes","Todd","2015-01-17T03:58:00Z"
"NCB622",-20.372,115.33246,"Montebello","Fished",NA,"41.2","Matt","Yes","Yes","Todd","2015-01-17T04:01:00Z"
"NCB623",-20.363,115.31109,"Montebello","Fished",NA,"31.5","Katrina","Yes","Yes","Becca","2015-01-17T04:09:00Z"
"NCB624",-20.359,115.30805,"Montebello","Fished",NA,"21.6","Todd","Yes","Yes","Derek","2015-01-17T04:12:00Z"
"NCB625",-20.352,115.30709,"Montebello","Fished",NA,"23.5","Katrina","Yes","Yes","Becca","2015-01-17T04:16:00Z"
"NCB626",-20.346,115.30979,"Montebello","Fished",NA,"29.2","Katrina","Yes","Yes","Becca","2015-01-17T06:12:00Z"
"NCB627",-20.34,115.30847,"Montebello","Fished",NA,"28.9","Derek","Yes","No",NA,"2015-01-17T06:15:00Z"
"NCB628",-20.331,115.30622,"Montebello","Fished",NA,"25.4","Katrina","Yes","Yes","Becca","2015-01-17T06:19:00Z"
"NCB629",-20.322,115.30126,"Montebello","Fished",NA,"26.3","Emma","Yes","Yes","Becca","2015-01-17T06:24:00Z"
"NCB630",-20.318,115.29277,"Montebello","Fished",NA,"49.2","Emma","Yes","Yes","Becca","2015-01-17T06:29:00Z"
"NCB631",-20.314,115.28227,"Montebello","Fished",NA,"53","Emma","Yes","Yes","Becca","2015-01-17T06:34:00Z"
"NCB632",-20.31,115.26797,"Montebello","Fished",NA,"57.4","Emma","Yes","Yes","Becca","2015-01-17T06:40:00Z"
"NCB633",-20.305,115.24854,"Montebello","Fished",NA,"57","Emma","Yes","Yes","Becca","2015-01-17T06:47:00Z"
"NCB634",-20.298,115.2249,"Montebello","Fished",NA,"37","Emma","Yes","Yes","Becca","2015-01-17T06:56:00Z"
"NCB635",-20.295,115.22048,"Montebello","Fished",NA,"40.1","Emma","Yes","Yes","Becca","2015-01-17T07:00:00Z"
"NCB636",-20.359,115.46138,"N.Montebello.Sanctuary","No-take",NA,"23.6","Katrina","Yes","Yes","Becca","2015-01-18T00:54:00Z"
"NCB637",-20.352,115.46682,"N.Montebello.Sanctuary","No-take",NA,"29.4","Katrina","Yes","Yes","Becca","2015-01-18T00:58:00Z"
"NCB638",-20.347,115.47483,"N.Montebello.Sanctuary","No-take",NA,"32.5","Katrina","Yes","Yes","Becca","2015-01-18T01:01:00Z"
"NCB639",-20.335,115.47058,"N.Montebello.Sanctuary","Fished",NA,"36.3","Todd","Yes","Yes","Becca","2015-01-18T01:07:00Z"
"NCB640",-20.327,115.4639,"N.Montebello.Sanctuary","Fished",NA,"42.1","Todd","Yes","Yes","Becca","2015-01-18T01:11:00Z"
"NCB641",-20.323,115.45317,"Montebello","Fished",NA,"40.2","Todd","Yes","Yes","Matt","2015-01-18T01:16:00Z"
"NCB642",-20.313,115.45093,"Montebello","Fished",NA,"37","Todd","Yes","Yes","Becca","2015-01-18T01:21:00Z"
"NCB643",-20.304,115.44852,"Montebello","Fished",NA,"41.7","Todd","Yes","Yes","Becca","2015-01-18T01:25:00Z"
"NCB644",-20.297,115.44248,"Montebello","Fished",NA,"37.5","Todd","Yes","Yes","Becca","2015-01-18T01:28:00Z"
"NCB645",-20.287,115.43472,"Montebello","Fished",NA,"41.5","Todd","Yes","Yes","Becca","2015-01-18T01:36:00Z"
"NCB646",-20.293,115.46864,"Montebello","Fished",NA,"37.9","Todd","Yes","Yes","Derek","2015-01-18T03:40:00Z"
"NCB647",-20.286,115.47399,"Montebello","Fished",NA,"35.1","Todd","Yes","Yes","Derek","2015-01-18T03:45:00Z"
"NCB648",-20.275,115.47544,"Montebello","Fished",NA,"36.9","Todd","Yes","Yes","Derek","2015-01-18T03:48:00Z"
"NCB649",-20.264,115.47558,"Montebello","Fished",NA,"42.4","Katrina","Yes","Yes","Becca","2015-01-18T03:54:00Z"
"NCB650",-20.255,115.46988,"Montebello","Fished",NA,"40.8","Katrina","Yes","Yes","Becca","2015-01-18T03:57:00Z"
"NCB651",-20.249,115.46059,"Montebello","Fished",NA,"40.8","Katrina","Yes","Yes","Becca","2015-01-18T04:01:00Z"
"NCB652",-20.244,115.452,"Montebello","Fished",NA,"42.4","Katrina","Yes","Yes","Becca","2015-01-18T04:06:00Z"
"NCB653",-20.238,115.44558,"Montebello","Fished",NA,"41.1","Katrina","Yes","Yes","Becca","2015-01-18T04:11:00Z"
"NCB654",-20.23,115.44186,"Montebello","Fished",NA,"44.6","Katrina","Yes","Yes","Becca","2015-01-18T04:15:00Z"
"NCB655",-20.216,115.43804,"Montebello","Fished",NA,"39.5","Katrina","Yes","Yes","Becca","2015-01-18T04:21:00Z"
"NCB656",-20.212,115.41182,"Montebello","Fished",NA,"45.6","Katrina","Yes","Yes","Todd","2015-01-18T06:29:00Z"
"NCB657",-20.211,115.40549,"Montebello","Fished",NA,"34.6","Todd","Yes","Yes","Matt","2015-01-18T06:32:00Z"
"NCB658",-20.209,115.4014,"Montebello","Fished",NA,"43.8","Todd","Yes","Yes","Matt","2015-01-18T06:34:00Z"
"NCB659",-20.2,115.4004,"Montebello","Fished",NA,"41.4","Todd","Yes","Yes","Matt","2015-01-18T06:39:00Z"
"NCB660",-20.19,115.40096,"Montebello","Fished",NA,"44.4","Todd","Yes","Yes","Matt","2015-01-18T06:42:00Z"
"NCB661",-20.181,115.40126,"Montebello","Fished",NA,"45.8","Todd","Yes","Yes","Matt","2015-01-18T06:46:00Z"
"NCB662",-20.173,115.39799,"Montebello","Fished",NA,"55.6","Todd","Yes","Yes","Becca","2015-01-18T06:50:00Z"
"NCB663",-20.164,115.39062,"Montebello","Fished",NA,"64","Todd","Yes","No","MISSING FIRST SECTION OF R CAM","2015-01-18T06:55:00Z"
"NCB664",-20.159,115.38199,"Montebello","Fished",NA,"56.5","Todd","Yes","Yes","Matt","2015-01-18T07:00:00Z"
"NCB665",-20.151,115.37592,"Montebello","Fished",NA,"52.5","Todd","Yes","Yes","Matt","2015-01-18T07:04:00Z"
"NCB666",-20.388,115.58931,"Montebello","Fished",NA,"39","Matt","Yes","Yes","Todd","2015-01-19T00:16:00Z"
"NCB667",-20.382,115.59217,"Montebello","Fished",NA,"40.8","Matt","Yes","Yes","Todd","2015-01-19T00:21:00Z"
"NCB668",-20.374,115.59672,"Montebello","Fished",NA,"43.8","Matt","Yes","Yes","Todd","2015-01-19T00:25:00Z"
"NCB669",-20.367,115.60213,"Montebello","Fished",NA,"43.5","Matt","Yes","Yes","Todd","2015-01-19T00:29:00Z"
"NCB670",-20.361,115.60673,"Montebello","Fished",NA,"41.8","Matt","Yes","Yes","Todd","2015-01-19T00:36:00Z"
