"Sample","Latitude","Longitude","Location","Status","Site","Depth","Observer.count","Successful.count","Successful.length","Observer.length","Date.time.utc"
"1.01",-22.84786205,113.5404917,"Ningaloo Marine Park",NA,"1","0","Brooke Gibbons","Yes","Yes","Charlotte Aston","2019-08-12T01:23:00Z"
"1.02",-22.85016136,113.5252875,"Ningaloo Marine Park",NA,"1","0","Brooke Gibbons","Yes","Yes","Charlotte Aston","2019-08-12T01:35:00Z"
"1.03",-22.84437,113.51304,"Ningaloo Marine Park",NA,"1","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T01:43:00Z"
"1.04",-22.8402743,113.5183981,"Ningaloo Marine Park",NA,"1","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T01:51:00Z"
"1.05",-22.83417,113.51601,"Ningaloo Marine Park",NA,"1","0","Charlotte Aston","Yes","No","Charlotte Aston","2019-08-12T01:58:00Z"
"1.06",-22.83153691,113.523387,"Ningaloo Marine Park",NA,"1","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T02:06:00Z"
"2.02",-22.83153691,113.5625852,"Ningaloo Marine Park",NA,"2","0","Brooke Gibbons","Yes","No",NA,"2019-08-12T03:47:00Z"
"2.03",-22.82900766,113.5659111,"Ningaloo Marine Park",NA,"2","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T03:57:00Z"
"2.04",-22.82440903,113.5815904,"Ningaloo Marine Park",NA,"2","0","Charlote Aston","Yes","Yes","Charlotte Aston","2019-08-12T04:05:00Z"
"2.05",-22.82256957,113.5770767,"Ningaloo Marine Park",NA,"2","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T04:12:00Z"
"2.06",-22.82164985,113.5716127,"Ningaloo Marine Park",NA,"2","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T04:18:00Z"
"2.07",-22.8191206,113.5640106,"Ningaloo Marine Park",NA,"2","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T04:24:00Z"
"3.01",-22.81314238,113.5207738,"Ningaloo Marine Park",NA,"3","0","Brooke Gibbons","Yes","Yes","Charlotte Aston","2019-08-12T06:12:00Z"
"3.02",-22.81015327,113.5262378,"Ningaloo Marine Park",NA,"3","0","Charlotte Aston","Yes","No","Charlotte Aston","2019-08-12T06:07:00Z"
"3.03",-22.80693423,113.5338398,"Ningaloo Marine Park",NA,"3","0","Brooke Gibbons","Yes","Yes","Charlotte Aston","2019-08-12T06:00:00Z"
"3.04",-22.80608,113.51938,"Ningaloo Marine Park",NA,"3","0","Brooke Gibbons","Yes","No","Charlotte Aston","2019-08-12T06:17:00Z"
"3.05",-22.80532471,113.51626,"Ningaloo Marine Park",NA,"3","0","Todd Bond","Yes","Yes","Charlotte Aston","2019-08-12T06:21:00Z"
"3.06",-22.80463491,113.5105585,"Ningaloo Marine Park",NA,"3","0","Todd Bond","Yes","Yes","Charlotte Aston","2019-08-12T06:25:00Z"
"4.01",-22.80504,113.49708,"Ningaloo Marine Park",NA,"4","0","Todd Bond","Yes","Yes","Charlotte Aston","2019-08-12T00:05:00Z"
"4.02",-22.79001,113.51077,"Ningaloo Marine Park",NA,"4","0","Todd Bond","Yes","Yes","Charlotte Aston","2019-08-12T00:15:00Z"
"4.03",-22.78991929,113.5005807,"Ningaloo Marine Park",NA,"4","0","Todd Bond","Yes","Yes","Charlotte Aston","2019-08-12T00:24:00Z"
"4.08",-22.78601045,113.4984427,"Ningaloo Marine Park",NA,"4","0","Todd Bond","No","Yes","Charlotte Aston","2019-08-12T00:29:00Z"
"4.11",-22.78371114,113.496067,"Ningaloo Marine Park",NA,"4","0","Todd Bond","Yes","Yes","Charlotte Aston","2019-08-12T00:33:00Z"
"4.12",-22.78578052,113.4877522,"Ningaloo Marine Park",NA,"4","0","Todd Bond","Yes","Yes","Charlotte Aston","2019-08-12T00:56:00Z"
"5.02",-22.78253,113.54762,"Ningaloo Marine Park",NA,"5","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T07:37:00Z"
"5.03",-22.78303,113.56188,"Ningaloo Marine Park",NA,"5","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T07:42:00Z"
"5.07",-22.7727833,113.57245,"Ningaloo Marine Park",NA,"5","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T07:49:00Z"
"5.08",-22.76807579,113.5716127,"Ningaloo Marine Park",NA,"5","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T07:53:00Z"
"5.11",-22.76278737,113.5723254,"Ningaloo Marine Park",NA,"5","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T08:05:00Z"
"5.13",-22.76082,113.58319,"Ningaloo Marine Park",NA,"5","0","Charlotte Aston","Yes","No",NA,"2019-08-12T08:11:00Z"
"6.01",-22.77091,113.53596,"Ningaloo Marine Park",NA,"6","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T05:41:00Z"
"6.02",-22.75818,113.55367,"Ningaloo Marine Park",NA,"6","0","Brooke Gibbons","Yes","Yes","Charlotte Aston","2019-08-12T05:31:00Z"
"6.03",-22.75754,113.54189,"Ningaloo Marine Park",NA,"6","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T05:25:00Z"
"6.04",-22.75175065,113.5402541,"Ningaloo Marine Park",NA,"6","0","Brooke Gibbons","Yes","Yes","Charlotte Aston","2019-08-12T05:21:00Z"
"6.05",-22.7411738,113.5412044,"Ningaloo Marine Park",NA,"6","0","Brooke Gibbons","Yes","Yes","Charlotte Aston","2019-08-12T05:15:00Z"
