Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer.count,Successful.count,Successful.length,Observer.length
NCB521,-20.61335667,115.4360017,20141029,8:12:00,SW.Montebello,Fished,1,10.6,Matt,Yes,Yes,Todd
NCB522,-20.60826167,115.436625,20141029,8:15:00,SW.Montebello,Fished,1,10.6,Matt,Yes,Yes,Todd
NCB523,-20.60332833,115.4357583,20141029,8:19:00,SW.Montebello,Fished,1,11.4,NA,No,No,NA
NCB524,-20.60011333,115.43557,20141029,8:02:00,SW.Montebello,Fished,1,11.6,Katrina,Yes,Yes,ET
NCB525,-20.59529333,115.434155,20141029,8:28:00,SW.Montebello,Fished,1,10.8,Katrina,Yes,Yes,ET
NCB526,-20.58786,115.4324067,20141029,8:32:00,SW.Montebello,Fished,1,11.3,Katrina,Yes,Yes,ET
NCB527,-20.58033333,115.4315317,20141029,8:38:00,SW.Montebello,Fished,2,12.1,Katrina,Yes,Yes,ET
NCB528,-20.57413833,115.4307717,20141029,8:41:00,SW.Montebello,Fished,2,11.3,Katrina,Yes,Yes,ET
NCB529,-20.565655,115.4304983,20141029,8:48:00,SW.Montebello,Fished,2,11.6,Katrina,Yes,Yes,ET
NCB530,-20.56051,115.4304067,20141029,8:55:00,SW.Montebello,Fished,2,11.1,Katrina,Yes,Yes,ET
NCB531,-20.53742333,115.4458033,20141029,10:21:00,SW.Montebello.Sanctuary,No-take,3,9.2,Todd,Yes,Yes,MB
NCB532,-20.54477167,115.4574133,20141029,10:28:00,SW.Montebello.Sanctuary,No-take,3,8,Todd,Yes,Yes,MB
NCB533,-20.54879,115.4697,20141029,10:34:00,SW.Montebello.Sanctuary,No-take,3,9.2,Todd,Yes,Yes,MB
NCB534,-20.51263667,115.4801367,20141029,10:48:00,SW.Montebello.Sanctuary,No-take,4,8,Todd,Yes,Yes,MB
NCB535,-20.514815,115.4677083,20141029,10:54:00,SW.Montebello.Sanctuary,No-take,4,9.6,Todd,Yes,Yes,MB
NCB536,-20.51856667,115.4561783,20141029,10:59:00,SW.Montebello.Sanctuary,No-take,4,9.4,Todd,Yes,Yes,MB
NCB537,-20.51351333,115.4495533,20141029,11:05:00,SW.Montebello.Sanctuary,No-take,5,10.1,Todd,Yes,Yes,MB
NCB538,-20.503515,115.4448933,20141029,11:01:00,SW.Montebello.Sanctuary,No-take,5,10,Todd,Yes,No,NA
NCB539,-20.49274333,115.4475433,20141029,11:15:00,SW.Montebello.Sanctuary,No-take,5,10.4,Todd,Yes,Yes,MB
NCB540,-20.48459,115.4523683,20141029,11:19:00,SW.Montebello.Sanctuary,No-take,5,10.4,Todd,Yes,No,NA
NCB541,-20.45731333,115.46351,20141029,13:02:00,SW.Montebello.Sanctuary,No-take,6,10.3,Matt,Yes,Yes,Todd
NCB542,-20.45141167,115.4658633,20141029,13:06:00,SW.Montebello.Sanctuary,No-take,6,8.5,Katrina,Yes,Yes,Emma
