Sample,Latitude,Longitude,Status,Date,Time,Site,Location,Depth,Observer.count,Successful.count,Successful.length,Observer.length
13,-33.4502,115.0925,Fished,20141209,13:41:00,Geographe Bay,Geographe Bay,42.4,Hayley ,Yes,Yes,Molly
22,-33.5746,115.1807,Fished,20141209,7:10:00,Geographe Bay,Geographe Bay,22.6,test video,Yes,Yes,Molly
24,-33.4712,115.2862,Fished,20141209,6:05:00,Geographe Bay,Geographe Bay,29.2,Hayley,Yes,Yes,Molly
27,-33.5464,115.1884,Fished,20141209,7:00:00,Geographe Bay,Geographe Bay,28.2,Hayley,Yes,,
29,-33.487,115.1764,Fished,20141209,10:30:00,Geographe Bay,Geographe Bay,34.3,Hayley,Yes,Yes,Molly
38,-33.5037,115.1274,Fished,20141209,12:45:00,Geographe Bay,Geographe Bay,34.5,Hayley ,Yes,,
40,-33.472,115.2287,Fished,20141209,9:57:00,Geographe Bay,Geographe Bay,33.7,Hayley,Yes,,
45,-33.4446,115.1317,Fished,20141209,13:28:00,Geographe Bay,Geographe Bay,41.1,Hayley,Yes,,
52,-33.4927,115.2982,Fished,20141209,6:14:00,Geographe Bay,Geographe Bay,29.7,Curtin,Yes,No,
54,-33.5131,115.1532,Fished,20141209,10:47:00,Geographe Bay,Geographe Bay,33.1,Hayley ,Yes,,
56,-33.4953,115.2224,Fished,20141209,9:49:00,Geographe Bay,Geographe Bay,32,Curtin,Yes,No,
61,-33.4993,115.1345,Fished,20141209,12:50:00,Geographe Bay,Geographe Bay,34.8,Hayley,Yes,,
63,-33.5039,115.2562,Fished,20141209,6:29:00,Geographe Bay,Geographe Bay,30,Hayley,Yes,,
77,-33.4558,115.1029,Fished,20141209,13:50:00,Geographe Bay,Geographe Bay,40.8,Hayley,Yes,,
86,-33.5405,115.1785,Fished,20141209,7:24:00,Geographe Bay,Geographe Bay,28.6,Hayley,Yes,,
88,-33.5011,115.2145,Fished,20141209,9:45:00,Geographe Bay,Geographe Bay,31.4,Hayley,Yes,,
91,-33.5396,115.2061,Fished,20141209,6:54:00,Geographe Bay,Geographe Bay,29.8,Hayley  ,Yes,,
93,-33.4813,115.1528,Fished,20141209,12:59:00,Geographe Bay,Geographe Bay,36,Curtin,Yes,No,
102,-33.5185,115.1196,Fished,20141209,12:39:00,Geographe Bay,Geographe Bay,34.4,Hayley,Yes,,
104,-33.4597,115.2451,Fished,20141209,10:04:00,Geographe Bay,Geographe Bay,33.3,Molly,Yes,,
107,-33.5833,115.1881,Fished,20141209,9:25:00,Geographe Bay,Geographe Bay,29.3,Molly,Yes,No,
116,-33.4982,115.2864,Fished,20141209,6:20:00,Geographe Bay,Geographe Bay,29.7,Hayley ,Yes,,
RB1,-33.5346,115.2177,Fished,20141209,6:49,Geographe Bay,Geographe Bay,28,Hayley ,Yes,,
RB2,-33.5086,115.2255,Fished,20141209,9:39,Geographe Bay,Geographe Bay,30,Hayley ,Yes,,
RC1,-33.4628,115.24,Fished,20141209,10:09,Geographe Bay,Geographe Bay,34.2,Hayley ,Yes,,
RC2,-33.4864,115.178,Fished,20141209,10:34,Geographe Bay,Geographe Bay,34.3,Hayley ,Yes,,
RC3,-33.4705,115.1684,Fished,20141209,13:11,Geographe Bay,Geographe Bay,35,Hayley ,Yes,,
1,-33.3635,115.2142,Fished,20141210,13:20:00,Geographe Bay,Geographe Bay,40,Hayley,Yes,Yes,Molly
2,-33.4405,115.101,Fished,20141210,6:29:00,Geographe Bay,Geographe Bay,40.5,Test video ,Yes,Yes,Molly
4,-33.3921,115.2281,Fished,20141210,14:13:00,Geographe Bay,Geographe Bay,38.4,Hayley ,Yes,Yes,Molly
6,-33.4071,115.1204,Fished,20141210,7:55:00,Geographe Bay,Geographe Bay,41.8,Hayley ,Yes,Yes,Molly
9,-33.3643,115.1361,Fished,20141210,10:04:00,Geographe Bay,Geographe Bay,41.8,Molly,Yes,No,
12,-33.404,115.2616,Fished,20141210,14:00:00,Geographe Bay,Geographe Bay,38.7,Hayley ,Yes,Yes,Molly
17,-33.3636,115.2327,Fished,20141210,13:27:00,Geographe Bay,Geographe Bay,38.8,Hayley,Yes,Yes,Molly
18,-33.3926,115.0981,Fished,20141210,7:44:00,Geographe Bay,Geographe Bay,42.4,Hayley,Yes,Yes,Molly
20,-33.4339,115.2221,Fished,20141210,11:09:00,Geographe Bay,Geographe Bay,36,Hayley,Yes,Yes,Molly
25,-33.3833,115.0828,Fished,20141210,7:10:00,Geographe Bay,Geographe Bay,42.5,Hayley,Yes,,
34,-33.3845,115.0739,Fished,20141210,7:05:00,Geographe Bay,Geographe Bay,43,Curtin,Yes,No,
36,-33.4269,115.2077,Fished,20141210,11:17:00,Geographe Bay,Geographe Bay,38.2,Hayley,Yes,,
41,-33.3679,115.0986,Fished,20141210,7:35:00,Geographe Bay,Geographe Bay,42.5,Hayley,Yes,,
49,-33.3809,115.2721,Fished,20141210,13:51:00,Geographe Bay,Geographe Bay,37.7,Hayley,Yes,,
50,-33.4108,115.1742,Fished,20141210,10:29:00,Geographe Bay,Geographe Bay,40.5,Curtin,Yes,No,
65,-33.3597,115.2048,Fished,20141210,13:15:00,Geographe Bay,Geographe Bay,39.4,Hayley,Yes,,
68,-33.3882,115.2426,Fished,20141210,13:15:00,Geographe Bay,Geographe Bay,38.9,Molly,Yes,No,
70,-33.4159,115.1514,Fished,20141210,10:46:00,Geographe Bay,Geographe Bay,41,Hayley,Yes,,
73,-33.3718,115.1456,Fished,20141210,10:10:00,Geographe Bay,Geographe Bay,41.5,Hayley,Yes,,
81,-33.3788,115.2305,Fished,20141210,14:18:00,Geographe Bay,Geographe Bay,38.9,Hayley,Yes,,
82,-33.3955,115.1103,Fished,20141210,7:49:00,Geographe Bay,Geographe Bay,42.6,Hayley,Yes,,
84,-33.3965,115.1924,Fished,20141210,11:28:00,Geographe Bay,Geographe Bay,41,Hayley,Yes,,
89,-33.3828,115.0564,Fished,20141210,6:58:00,Geographe Bay,Geographe Bay,43.9,Molly,Yes,,
98,-33.434,115.1727,Fished,20141210,10:56:00,Geographe Bay,Geographe Bay,38,Curtin,Yes,No,
100,-33.4325,115.2142,Fished,20141210,11:14:00,Geographe Bay,Geographe Bay,36.7,Molly,Yes,No,
113,-33.3658,115.2779,Fished,20141210,13:45:00,Geographe Bay,Geographe Bay,36.6,Curtin,Yes,,Curtin
114,-33.3984,115.1639,Fished,20141210,10:20:00,Geographe Bay,Geographe Bay,39.7,Curtin,Yes,,
5,-33.3628,115.455,Fished,20141211,9:43:00,Geographe Bay,Geographe Bay,25.7,test video,Yes,Yes,Molly
16,-33.3889,115.4986,Fished,20141211,12:21:00,Geographe Bay,Geographe Bay,20,Hayley,Yes,Yes,Molly
28,-33.4272,115.2873,Fished,20141211,7:07:00,Geographe Bay,Geographe Bay,34,Hayley,Yes,Yes,Molly
30,-33.4241,115.3341,Fished,20141211,6:37:00,Geographe Bay,Geographe Bay,31.8,Hayley,Yes,Yes,Molly
33,-33.3528,115.3205,Fished,20141211,8:54:00,Geographe Bay,Geographe Bay,34.1,Molly,Yes,No,
