Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Observer.length
IO15,-34.06118897,114.8663721,20201016,7:59:00,C.IO.35,South-west,No-take,40.8,Brooke Gibbons,Yes,Yes,Claude
FH24,-33.66868897,114.8438721,20201012,7:55:00,C.FH.1,South-west,Fished,47.6,Brooke Gibbons,Yes,Yes,Ramesh/Claude
IO34,-34.06118897,114.8713721,20201016,8:02:00,C.IO.35,South-west,No-take,41.3,Brooke Gibbons,Yes,Yes,Ramesh/Claude
IO92,-34.09868897,114.8863721,20201016,10:16:00,C.IO.52,South-west,No-take,42.3,Brooke Gibbons,Yes,Yes,Claude
IO122,-34.11618897,114.8263721,20201015,12:35:00,C.IO.59,South-west,No-take,57.4,Brooke Gibbons,Yes,Yes,Claude
IO126,-34.11368897,114.8188721,20201015,12:31:00,C.IO.59,South-west,No-take,58.2,Brooke Gibbons,Yes,Yes,Claude
IO153,-34.04618897,114.8888721,20201016,7:36:00,C.IO.65,South-west,Fished,42.6,Brooke Gibbons,Yes,Yes,Claude
IO195,-34.09368897,114.8588721,20201016,9:57:00,C.IO.6,South-west,No-take,43.4,Brooke Gibbons,Yes,Yes,Claude
IO220,-34.05618897,114.8438721,20201015,14:39:00,C.IO.5,South-west,No-take,43.7,Brooke Gibbons,Yes,Yes,Claude
IO226,-34.06368897,114.8438721,20201015,14:32:00,C.IO.4,South-west,No-take,42.8,Brooke Gibbons,Yes,Yes,Claude
IO310,-34.05868897,114.7738721,20201015,10:06:00,C.IO.8,South-west,No-take,64.7,Brooke Gibbons,Yes,Yes,Claude
IO311,-34.05618897,114.7688721,20201015,10:03:00,C.IO.8,South-west,No-take,66.1,Brooke Gibbons,Yes,Yes,Claude
FH14,-33.76618897,114.8713721,20201017,11:24:00,C.FH.10,South-west,Fished,44.4,Daphne,Yes,No,
FH32,-33.69618897,114.9463721,20201017,8:50:00,C.FH.5,South-west,No-take,42.9,Daphne,Yes,No,
FH36,-33.69868897,114.9338721,20201017,8:59:00,C.FH.5,South-west,No-take,44.4,,No,No,
FH54,-33.76618897,114.9388721,20201017,9:20:00,C.FH.9,South-west,Fished,43.2,Daphne,Yes,No,
IO354,-34.06605,114.84,20201015,14:29:00,C.IO.4,South-west,No-take,45,Brooke Gibbons,Yes,Yes,Claude
IO363,-33.98618897,114.7513721,20201015,7:26:00,C.IO.25,South-west,Fished,66.2,Brooke Gibbons,Yes,Yes,Claude
IO365,-34.02368897,114.7538721,20201015,8:23:00,C.IO.23,South-west,Fished,73.7,Brooke Gibbons,Yes,Yes,Claude
IO37,-34.10868897,114.7188721,20201022,10:12:00,C.IO.55,South-west,No-take,130,Brooke Gibbons,Yes,Yes,Claude
FH62,-33.75618897,114.8813721,20201017,11:17:00,C.FH.8,South-west,Fished,45.1,,No,No,
IO40,-34.10368897,114.7138721,20201022,10:17:00,C.IO.55,South-west,No-take,131,Brooke Gibbons,Yes,Yes,Claude
IO58,-34.13618897,114.7738721,20201022,7:21:00,C.IO.69,South-west,No-take,92.7,Brooke Gibbons,Yes,Yes,Claude
IO110,-34.14118897,114.7288721,20201022,8:00:00,C.IO.68,South-west,No-take,128,Brooke Gibbons,Yes,Yes,Claude
IO263,-34.00868897,114.8788721,20201019,9:52:00,C.IO.19,South-west,Fished,42.4,Brooke Gibbons,Yes,Yes,Claude
IO264,-34.01868897,114.8738721,20201019,9:31:00,C.IO.19,South-west,Fished,42,Brooke Gibbons,Yes,Yes,Claude
IO269,-33.98868897,114.8138721,20201019,7:18:00,C.IO.22,South-west,Fished,47.6,Brooke Gibbons,Yes,Yes,Claude
IO62,-34.13368897,114.7663721,20201022,7:45:00,C.IO.69,South-west,No-take,105,Brooke Gibbons,Yes,Yes,Claude
IO96,-34.13618897,114.7363721,20201022,8:06:00,C.IO.68,South-west,No-take,127,Brooke Gibbons,Yes,Yes,Rachel
IO180,-33.99618897,114.7038721,20201123,12:36:00,C.IO.41,South-west,Fished,122,Brooke Gibbons,Yes,Yes,Claude
IO253,-34.01368897,114.7038721,20201123,12:15:00,C.IO.49,South-west,Fished,124,Brooke Gibbons,Yes,Yes,Claude
IO277,-34.10618897,114.6463721,20201123,7:53:00,C.IO.15,South-west,No-take,139,Brooke Gibbons,Yes,Yes,Claude
IO278,-34.11118897,114.6388721,20201123,7:45:00,C.IO.15,South-west,No-take,140,Brooke Gibbons,Yes,Yes,Claude
IO300,-34.08618897,114.6688721,20201123,7:18:00,C.IO.14,South-west,No-take,138,Brooke Gibbons,Yes,Yes,Claude
IO16,-34.07368897,114.8688721,20201016,9:43:00,C.IO.35,South-west,No-take,41.4,Daphne ,Yes,No,
IO17,-34.06368897,114.8763721,20201016,8:07:00,C.IO.35,South-west,No-take,41.1,Daphne ,No,No,
IO350,-34.02618897,114.6038721,20201123,9:56:00,C.IO.27,South-west,Fished,135,Brooke Gibbons,Yes,Yes,Claude
FH41,-33.67118897,114.8388721,20201012,8:01:00,C.FH.1,South-west,Fished,44.1,Claude,Yes,Yes,Rachel
FH45,-33.69368897,114.7988721,20201012,10:39:00,C.FH.4,South-west,Fished,47.6,Claude,Yes,Yes,Rachel
FH48,-33.79618897,114.8138721,20201012,13:23:00,C.FH.12,South-west,Fished,48.5,Claude,Yes,No,Rachel
FH56,-33.83118897,114.8663721,20201012,15:31:00,C.FH.14,South-west,Fished,43.5,Claude,Yes,Yes,Rachel
IO130,-33.98118897,114.8763721,20201013,12:24:00,C.IO.37,South-west,Fished,41.1,,No,No,
FH57,-33.78868897,114.8113721,20201012,13:12:00,C.FH.12,South-west,Fished,45.8,Claude,Yes,Yes,Rachel 
FH59,-33.66868897,114.8188721,20201012,8:32:00,C.FH.2,South-west,Fished,44.6,Claude,Yes,No,Rachel
FH60,-33.81618897,114.8213721,20201012,15:14:00,C.FH.13,South-west,Fished,44.5,Claude,Yes,Yes,Rachel
FH61,-33.84118897,114.8638721,20201012,15:43:00,C.FH.14,South-west,Fished,43.9,Claude,Yes,Yes,Brooke Gibbons
IO157,-33.97118897,114.8238721,20201013,10:14:00,C.IO.33,South-west,Fished,45.6,,No,No,
FH63,-33.67868897,114.8163721,20201012,8:20:00,C.FH.2,South-west,Fished,46.3,Claude,Yes,Yes,Brooke Gibbons
