OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20220519-1-NAKED	0	0	304.53532	989.60352	361.63569	1075.24229
20220519-1-NAKED	1	0	86.50814	48.05339	115.34418	27.63070
20220519-1-NAKED	2	0	1959.98020	476.89109	2025.95050	933.09901
20220519-1-NAKED	2	1	2202.75248	474.51485	2230.30693	751.31683
20220519-1-NAKED	3	0	3089.43564	703.31683	3103.28713	605.28713
20220519-1-NAKED	3	1	3183.59406	725.59406	3201.30693	601.42574
20220519-1-NAKED	4	0	2856.20818	531.67401	2853.70632	590.82379
20220519-1-NAKED	4	1	2995.39033	554.27313	2991.69888	567.03524
20220519-1-NAKED	5	0	2633.31599	479.33921	2629.43866	638.38767
20220519-1-NAKED	5	1	2806.99628	415.11013	2785.27509	549.18062
20220519-1-NAKED	6	0	1960.17472	375.53744	1956.37175	714.67401
20220519-1-NAKED	6	1	2204.04089	418.35683	2203.80669	678.99119
20220519-1-NAKED	7	0	2200.24164	673.61233	2255.45353	832.81057
20220519-1-NAKED	7	1	2322.76952	672.42291	2373.22305	793.55947
20220519-1-NAKED	8	0	1613.81413	396.07930	1681.65799	421.05727
20220519-1-NAKED	8	1	1469.87361	396.07930	1522.25279	406.78414
20220519-1-NAKED	9	0	2243.55390	384.18502	2231.41636	648.59031
20220519-1-NAKED	9	1	2439.83643	390.13216	2420.56134	596.25551
20220519-1-NAKED	10	0	2537.38290	413.92070	2513.34944	587.92952
20220519-1-NAKED	10	1	2725.33829	449.60352	2707.25279	565.33040
20220519-1-NAKED	11	0	2386.30483	478.14978	2392.01115	664.05286
20220519-1-NAKED	11	1	2556.41636	478.14978	2549.03717	623.61233
20220519-1-NAKED	12	0	2368.46097	567.35683	2395.57993	734.22907
20220519-1-NAKED	12	1	2531.43494	581.62996	2549.03717	709.25110
20220519-1-NAKED	13	0	2402.95911	625.63877	2445.54275	787.75330
20220519-1-NAKED	13	1	2546.89963	616.12335	2582.34572	749.69163
20220519-1-NAKED	14	0	2389.87361	644.66960	2438.40520	817.48899
20220519-1-NAKED	14	1	2200.72862	624.44934	2259.96654	850.79295
20220519-1-NAKED	15	0	2801.36431	556.24229	2811.58736	641.66520
20220519-1-NAKED	15	1	2991.69888	569.32599	2986.45725	604.79295
20220519-1-NAKED	16	0	1510.78218	485.94059	1554.71287	515.64356
20220519-1-NAKED	16	1	1380.08911	468.11881	1419.26733	477.62376
20220519-1-NAKED	17	0	2588.01980	612.83168	2609.83168	703.21782
20220519-1-NAKED	17	1	2723.46535	652.63366	2750.32673	710.34653
20220519-1-NAKED	18	0	1986.44610	1262.24229	2072.74349	1408.24229
20220519-1-NAKED	18	1	2216.03717	1287.22026	2274.97398	1392.77974
20220519-1-NAKED	19	0	2534.91089	664.38614	2569.79208	757.36634
20220519-1-NAKED	19	1	2661.14851	665.87129	2692.46535	711.02970
20220519-1-NAKED	20	0	2353.22677	490.33921	2361.22677	675.94714
20220519-1-NAKED	20	1	2501.92565	501.04405	2505.16729	639.07489
20220519-1-NAKED	21	0	1588.86245	529.12775	1615.95539	592.94714
20220519-1-NAKED	21	1	1793.47212	531.50661	1826.51301	611.97797
20220519-1-NAKED	22	0	1239.12639	490.47577	1279.86617	474.58150
20220519-1-NAKED	22	1	1359.27509	492.85463	1404.77323	482.90749
20220519-1-NAKED	23	0	2703.94052	619.54185	2728.12268	696.77533
20220519-1-NAKED	23	1	2569.51673	657.60352	2607.97398	771.70925
20220519-1-NAKED	24	0	2976.67327	655.31683	2990.98020	626.79208
20220519-1-NAKED	24	1	3082.11881	662.14851	3099.39604	584.31683
20220519-1-NAKED	25	0	3016.80297	631.53744	3029.88848	645.18943
20220519-1-NAKED	25	1	3169.07063	626.77974	3167.88104	611.88546
20220519-1-NAKED	26	0	1543.41264	407.97357	1591.52045	451.81498
20220519-1-NAKED	26	1	1395.90335	397.26872	1435.68401	431.59471
20220519-1-NAKED	27	0	2949.39604	593.25743	2956.25743	604.34653
20220519-1-NAKED	27	1	3093.75248	596.52475	3093.78218	562.46535
20220519-1-NAKED	28	0	1976.27509	645.74890	2043.24164	921.05286
20220519-1-NAKED	28	1	2145.19703	642.18062	2205.02602	863.96035
20220519-1-NAKED	29	0	2425.15985	462.68722	2418.43494	640.50661
20220519-1-NAKED	29	1	2573.85874	478.14978	2571.89219	609.58150
20220519-1-NAKED	30	0	2001.63569	596.96035	2065.46468	880.47577
20220519-1-NAKED	30	1	2219.33086	595.77093	2264.12639	821.00441
20220519-1-NAKED	31	0	2492.04833	632.49780	2538.00000	767.62115
20220519-1-NAKED	31	1	2645.50558	603.95154	2660.52788	706.96035
20220519-1-NAKED	32	0	1999.99010	556.75248	2035.27723	817.76238
20220519-1-NAKED	32	1	2177.31683	589.12871	2224.48515	795.18812
20220519-1-NAKED	33	0	2701.26022	669.56828	2736.77695	733.32599
20220519-1-NAKED	33	1	2832.11524	660.05286	2848.59851	684.55947
20220519-1-NAKED	34	0	1937.94059	599.10891	1997.12871	866.39604
20220519-1-NAKED	34	1	2111.10891	637.72277	2167.02970	842.63366
20220519-1-NAKED	35	0	2062.86139	385.18812	2049.77228	666.56436
20220519-1-NAKED	35	1	2262.76238	414.29703	2247.89109	634.48515
20220519-1-NAKED	36	0	2157.97030	570.53465	2197.52475	797.30693
20220519-1-NAKED	36	1	2324.90099	600.23762	2358.81188	778.59406
