OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
1	0	0	1255.98969	947.62887	1038.97938	901.23711
1	0	1	1220.73196	944.53608	1003.72165	893.81443
1	1	0	1409.51546	932.78351	1115.85567	896.90722
1	1	1	1377.96907	928.45361	1081.21649	889.48454
1	2	0	1584.74227	734.84536	1599.58763	691.54639
1	2	1	1803.71134	700.20619	1889.07216	661.85567
1	3	0	1197.52577	513.40206	1127.01031	449.07216
1	3	1	1394.22680	481.23711	1358.35052	413.19588
1	4	0	817.69072	772.87629	939.51546	698.40206
1	4	1	703.87629	769.78351	831.88660	693.45361
1	5	0	1245.77320	618.55670	843.71134	565.36082
1	5	1	922.88660	550.51546	476.28866	491.13402
1	6	0	1144.32990	748.45361	917.93814	685.36082
1	6	1	889.48454	681.64948	698.96907	614.84536
1	7	0	990.92784	550.51546	1014.43299	478.76289
1	7	1	767.01031	523.29897	785.56701	452.78351
1	8	0	1420.20619	486.18557	1490.72165	407.01031
1	8	1	1631.75258	431.75258	1739.38144	336.49485
1	9	0	476.28866	938.96907	178.14433	842.47423
1	9	1	894.43299	916.70103	680.41237	833.81443
1	10	0	1191.34021	926.59794	890.72165	888.24742
1	10	1	1646.59794	851.13402	1313.81443	815.25773
1	11	0	1514.22680	669.27835	1479.58763	609.89691
1	11	1	1791.34021	592.57732	1854.43299	528.24742
1	12	0	363.71134	625.97938	403.29897	551.75258
1	12	1	606.18557	640.82474	648.24742	566.59794
1	13	0	1173.50251	863.85268	848.24623	803.33929
1	13	1	1564.25628	711.37500	1314.37688	666.53125
1	14	0	1534.02062	581.44330	1673.81443	520.82474
1	14	1	1714.63918	556.70103	1901.44330	483.71134
1	15	0	1117.11340	684.12371	830.10309	623.50515
1	15	1	1375.67010	595.05155	1224.74227	534.43299
1	16	0	1206.18557	771.95876	915.46392	701.44330
1	16	1	1301.44330	501.03093	1091.13402	425.56701
1	17	0	102.68041	735.06186	287.01031	645.40206
1	17	1	248.65979	733.20619	416.90722	642.30928
1	18	0	554.62887	783.16495	685.96907	695.29897
1	18	1	418.54639	760.89691	565.35052	668.70103
1	19	0	209.69072	890.10309	256.70103	779.36082
1	19	1	421.23711	884.53608	433.60825	786.16495
1	20	0	1068.86598	663.09278	1065.15464	587.62887
1	20	1	1254.43299	609.89691	1261.85567	544.32990
1	21	0	330.30928	481.23711	395.87629	421.85567
1	21	1	519.58763	487.42268	570.30928	418.14433
1	22	0	164.53608	732.37113	295.67010	639.58763
1	22	1	49.48454	747.21649	184.32990	648.24742
1	23	0	411.95876	421.85567	390.92784	364.94845
1	23	1	659.38144	432.98969	614.84536	373.60825
1	24	0	322.88660	675.46392	440.41237	591.34021
1	24	1	196.70103	726.18557	320.41237	644.53608
1	25	0	473.81443	736.08247	575.25773	649.48454
1	25	1	293.19588	755.87629	425.56701	661.85567
1	26	0	335.25773	786.80412	451.54639	695.25773
1	26	1	171.95876	788.04124	312.98969	687.83505
1	27	0	304.32990	737.31959	429.27835	649.48454
1	27	1	134.84536	763.29897	284.53608	668.04124
1	28	0	818.87629	643.40206	992.51546	563.43299
1	28	1	917.22680	614.32990	1076.63918	536.83505
1	29	0	372.37113	766.63918	495.46392	671.96907
1	29	1	249.89691	765.40206	369.27835	673.20619
1	30	0	341.44330	710.10309	477.52577	624.74227
1	30	1	189.27835	702.68041	337.73196	609.89691
1	31	0	567.83505	491.13402	720.00000	423.09278
1	31	1	810.30928	451.54639	953.81443	379.79381
1	32	0	371.13402	604.94845	480.00000	531.95876
1	32	1	207.83505	595.05155	327.83505	519.58763
1	33	0	356.90722	510.24742	475.67010	435.56701
1	33	1	266.59794	479.93814	389.07216	415.77320
1	34	0	1190.41237	644.11340	1366.16495	569.16495
1	34	1	1284.43299	625.55670	1463.27835	554.93814
1	35	0	168.86598	649.41237	314.22680	566.53608
1	35	1	50.10309	669.82474	192.98969	587.56701
1	36	0	479.14433	704.69072	670.58763	620.96907
1	36	1	578.73196	686.75258	759.04124	606.12371
1	37	0	923.59794	465.34021	956.86598	395.57732
1	37	1	759.06186	448.02062	793.56701	378.87629
1	38	0	355.05155	648.24742	463.91753	564.12371
1	38	1	497.31959	675.46392	598.76289	588.86598
1	39	0	1363.29897	552.98969	1485.77320	467.62887
1	39	1	1500.61856	531.95876	1630.51546	442.88660
1	40	0	1581.03093	541.85567	1733.19588	456.49485
1	40	1	1728.24742	523.29897	1907.62887	432.98969
1	41	0	223.11558	689.80804	267.13568	591.93304
1	41	1	34.37186	687.39732	60.90452	585.30357
11	0	0	95.52239	861.37168	5.97015	776.54867
11	1	0	142.08955	713.23009	242.38806	658.27434
11	2	0	1111.64179	735.92920	814.32836	716.81416
11	2	1	296.11940	741.90265	39.40299	694.11504
11	3	0	1038.80597	710.84071	751.04478	700.08850
11	3	1	599.40299	409.77876	378.50746	396.63717
11	4	0	930.14925	740.70796	668.65672	713.23009
11	4	1	634.02985	604.51327	296.11940	566.28319
11	5	0	860.89552	561.50442	666.26866	541.19469
11	5	1	526.56716	536.41593	404.77612	510.13274
11	6	0	401.19403	641.54867	442.98507	603.31858
11	6	1	136.11940	642.74336	240.00000	598.53982
11	7	0	890.74627	745.48673	556.41791	714.42478
11	7	1	256.71642	646.32743	16.71642	608.09735
11	8	0	720.00000	513.71681	15.52239	500.57522
11	8	1	1622.68657	191.15044	688.95522	164.86726
11	9	0	992.23881	770.57522	641.19403	743.09735
11	9	1	453.73134	700.08850	194.62687	657.07965
11	10	0	758.20896	879.29204	318.80597	830.30973
11	11	0	1736.11940	499.38053	1705.07463	481.46018
11	11	1	1411.34328	488.62832	1318.20896	468.31858
11	12	0	930.14925	636.76991	735.52239	612.87611
11	12	1	484.77612	571.06195	287.76119	541.19469
11	13	0	54.92537	500.57522	100.29851	473.09735
11	13	1	429.85075	480.26549	462.08955	456.37168
11	14	0	1028.05970	842.25664	681.79104	813.58407
11	14	1	531.34328	714.42478	143.28358	672.61062
11	15	0	1917.61194	649.91150	1906.86567	663.05310
11	15	1	1517.61194	645.13274	1456.71642	637.96460
11	16	0	1373.13433	387.07965	1585.07463	351.58407
11	16	1	1583.28358	388.76549	1846.56716	345.61062
11	17	0	758.20896	563.89381	1030.44776	531.63717
11	18	0	883.58209	622.43363	975.52239	598.53982
11	18	1	709.25373	604.51327	811.94030	580.61947
12	0	0	592.23881	833.89381	367.76119	784.91150
12	0	1	526.56716	863.76106	303.28358	806.41593
12	1	0	1442.38806	723.98230	1496.11940	731.15044
12	1	1	1419.70149	710.84071	1467.46269	716.81416
12	2	0	1319.40299	697.69912	1356.41791	694.11504
12	3	0	842.98507	720.39823	618.50746	694.11504
12	3	1	502.68657	645.13274	345.07463	606.90265
12	4	0	1333.73134	696.50442	1068.65672	685.75221
12	4	1	1664.47761	784.91150	1410.14925	806.41593
12	5	0	889.55224	532.83186	785.67164	514.91150
12	5	1	636.41791	513.71681	557.61194	492.21239
12	6	0	1328.95522	588.98230	1161.79104	578.23009
12	6	1	983.88060	633.18584	827.46269	611.68142
12	7	0	291.34328	378.71681	45.37313	375.13274
12	7	1	748.65672	391.85841	488.35821	384.69027
12	8	0	1057.91045	689.33628	926.56716	675.00000
12	8	1	724.77612	671.41593	571.94030	640.35398
12	9	0	1078.20896	750.26549	776.11940	734.73451
12	9	1	766.56716	729.95575	476.41791	704.86726
12	10	0	225.67164	328.53982	413.13433	322.56637
12	10	1	487.16418	309.42478	623.28358	302.25664
12	11	0	452.53731	418.14159	341.49254	405.00000
