Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,System,Left.cam,Right.cam,Video.notes,Raw.hdd.number,Forward.habitat.image.saved,Forward.habitat.image.annotated,Backwards.habitat.image.saved,Backward.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Observer.length,Length.complete.date.yyyymmdd,AFID.training,Notes,Date.time
1,-22.7221,113.5447,202205221,10:03:24,NA,NA,NA,93.9M,,Y,Yes,1,27,28,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220823,Henry Evans,Henry Evans,20221024,,,2022-05-22T10:03:24+08:00
2,-22.6957,113.5628,20220522,14:16:25,NA,NA,NA,77.3,Kaitlin McCloghry,Yes,Yes,1,27,28,"Field of view obstructed, leave until last",RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220908,Henry Evans,Henry Evans,20221201,,,2022-05-22T14:16:25+08:00
3,-22.7379,113.5515,20220520,14:34:36,NA,NA,NA,78.3,Kaitlin McCloghry,Yes,Yes,7,39,40,Rear camera in wrong housing all day. Cam #20 should be in system 6.,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220816,Henry Evans,Henry Evans,20221019,,,2022-05-20T14:34:36+08:00
4,-22.7337,113.5555,20220520,14:40:43,NA,NA,NA,73.9,Kaitlin McCloghry,Yes,Yes,8,41,42,Note backwards camera was put in wrong housing all day - should be #23.,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220817,Henry Evans,Henry Evans,20221020,,,2022-05-20T14:40:43+08:00
,-22.7218,113.5506,20220522,08:50:54,NA,NA,NA,81.9,Kaitlin McCloghry,Yes,Yes,8,41,42,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220818,Henry Evans,Henry Evans,20221024,,,2022-05-22T08:50:54+08:00
6,-22.7459,113.5531,20220520,12:30:12,NA,NA,NA,74.3,Kaitlin McCloghry,Yes,Yes,6,37,38,eDNA (passive),RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220808,Henry Evans,Henry Evans,20221018,,,2022-05-20T12:30:12+08:00
7,-22.7574,113.5382,20220520,09:36:32,NA,NA,NA,89.3,Kaitlin McCloghry,Yes,Yes,5,35,36,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220801,,Molly Gerrans/Kaitlin McCloghry,20221117,Henry Evans 20221011,,2022-05-20T09:36:32+08:00
8,-22.7298,113.5538,20220522,08:12:35,NA,NA,NA,76.4,Kaitlin McCloghry,Yes,Yes,2,29,30,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220817,Henry Evans,Henry Evans,20221020,,,2022-05-22T08:12:35+08:00
9,-22.6934,113.5571,20220522,14:27:15,NA,NA,NA,84.9,Henry Evans,Yes,Yes,3,31,32,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220831,Kaitlin McCloghry,Kaitlin McCloghry,20220919,,,2022-05-22T14:27:15+08:00
10,-22.7272,113.5424,20220522,08:25:30,NA,NA,NA,94.7,N/A,No,No,4,33,34,BRUV tips upwards 1:10:52 in (36:21min in period),RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,N/A,NA,N/A,N/A,N/A,,,2022-05-22T08:25:30+08:00
11,-22.7274,113.5498,20220522,08:18:17,NA,NA,NA,81,Henry Evans,Yes,Yes,3,31,32,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220817,Kaitlin McCloghry,Kaitlin McCloghry,20220919,Kaitlin McCloghry 20221012,,2022-05-22T08:18:17+08:00
12,-22.7505,113.5476,20220520,12:11:27,NA,NA,NA,80.5,Henry Evans,Yes,Yes,3,31,32,eDNA (passive),RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220804,Kaitlin McCloghry,Kaitlin McCloghry,20220913,Henry Evans 20221011,,2022-05-20T12:11:27+08:00
13,-22.6872,113.5606,20220526,08:42:37,NA,NA,NA,82.1,Kaitlin McCloghry,Yes,Yes,7,39,40,Note SD card written in wrong. Written in as 241 but actually is 249. Changed after.,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220907,Henry Evans,Henry Evans,20221206,,,2022-05-26T08:42:37+08:00
