Sample,Latitude,Longitude,Date.time,Date,Time,Site,Location,Status,Depth,Observer.count,Observer.length,Successful.count,Successful.length
248,-22.7609,113.5473,2022-05-19T08:27:25+0800,19/05/22,8:27:25,,,No-take,76.6,Claude,,Yes,
224,-22.7598,113.5487,2022-05-19T08:44:41+0800,19/05/22,8:44:41,,,No-take,76.1,Claude,,Yes,
232,-22.7576,113.5368,2022-05-19T08:59:18+0800,19/05/22,8:59:18,,,No-take,90.9,Claude,,Yes,
211,-22.7554,113.54,2022-05-19T09:11:46+0800,19/05/22,9:11:46,,,No-take,87.2,Claude,,Yes,
226,-22.7536,113.5408,2022-05-19T09:30:58+0800,19/05/22,9:30:58,,,No-take,86.6,Claude,,Yes,
203,-22.7548,113.55,2022-05-19T09:44:17+0800,19/05/22,9:44:17,,,No-take,75.7,Claude,,Yes,
207,-22.7523,113.5552,2022-05-19T10:00:48+0800,19/05/22,10:00:48,,,No-take,71.4,Claude,,Yes,
221,-22.7519,113.5483,2022-05-19T10:12:53+0800,19/05/22,10:12:53,,,No-take,78.4,Claude,,Yes,
264,-22.7655,113.5389,2022-05-19T10:34:40+0800,19/05/22,10:34:40,,,No-take,81.6,Claude,,Yes,
262,-22.7635,113.5347,2022-05-19T10:45:55+0800,19/05/22,10:45:55,,,No-take,91,Claude,,Yes,
265,-22.7561,113.529,2022-05-19T10:58:59+0800,19/05/22,10:58:59,,,No-take,99.2,Claude,,Yes,
266,-22.7531,113.5301,2022-05-19T11:11:08+0800,19/05/22,11:11:08,,,No-take,98.5,Claude,,Yes,
253,-22.7509,113.538,2022-05-19T11:26:11+0800,19/05/22,11:26:11,,,No-take,91.2,Claude,,Yes,
270,-22.7511,113.5387,2022-05-19T11:37:38+0800,19/05/22,11:37:38,,,No-take,91,Claude,,Yes,
201,-22.7488,113.5378,2022-05-19T11:50:14+0800,19/05/22,11:50:14,,,No-take,94.9,Claude,,Yes,
237,-22.7502,113.5462,2022-05-19T12:02:40+0800,19/05/22,12:02:40,,,No-take,81.8,Claude,,Yes,
240,-22.749,113.5509,2022-05-19T12:18:16+0800,19/05/22,12:18:16,,,No-take,75,Claude,,Yes,
255,-22.7444,113.5428,2022-05-21T13:59:38+0800,21/05/22,13:59:38,,,No-take,87.3,Claude,,Yes,
216,-22.7451,113.5437,2022-05-21T14:12:02+0800,21/05/22,14:12:02,,,No-take,86.5,Claude,,Yes,
269,-22.7429,113.5458,2022-05-21T14:27:47+0800,21/05/22,14:27:47,,,No-take,83.1,Claude,,Yes,
231,-22.7464,113.5529,2022-05-21T14:43:17+0800,21/05/22,14:43:17,,,No-take,73.9,Claude,,Yes,
245,-22.7436,113.5519,2022-05-21T14:57:59+0800,21/05/22,14:57:59,,,No-take,75.8,Claude,,Yes,
209,-22.7402,113.5521,2022-05-21T15:13:08+0800,21/05/22,15:13:08,,,No-take,76.7,Claude,,Yes,
241,-22.7403,113.5387,2022-05-21T15:31:01+0800,21/05/22,15:31:01,,,No-take,94.4,,,Need to reconvert,
272,-22.7374,113.5422,2022-05-21T15:45:16+0800,21/05/22,15:45:16,,,No-take,89.2,,,Need to reconvert,
244,-22.7347,113.5406,2022-05-21T15:59:32+0800,21/05/22,15:59:32,,,No-take,93,,,Need to reconvert,
