OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
FH50	0	0	1309.54879	568.20896	588.28961	503.73134
FH50	1	0	1839.55963	353.00000	1818.61774	480.54348
FH50	2	0	1848.75841	335.19565	1846.60550	466.65217
FH50	3	0	1380.91743	448.39130	1180.57492	487.30435
FH50	4	0	1478.78593	374.78261	1166.72171	409.41304
FH50	4	1	1632.92661	291.80435	1287.51070	335.26087
FH50	5	0	501.58104	166.82609	612.42813	131.82609
FH50	6	0	389.67278	209.30435	433.68196	150.58696
FH50	7	0	1378.88379	348.21739	1270.42508	397.69565
FH50	7	1	1258.32110	342.93478	1147.62691	373.65217
FH50	8	0	136.70642	236.13043	179.45872	136.47826
FH50	8	1	238.12232	192.02174	263.42202	110.26087
FH50	9	0	345.85627	300.67391	304.46483	208.39130
FH50	9	1	247.01223	219.26087	223.54740	127.02174
FH50	10	0	73.98165	459.00000	238.38532	346.30435
FH50	11	0	837.28440	480.13043	777.39450	450.78261
FH50	12	0	1511.33945	442.56522	1412.69725	524.73913
FH50	12	1	1684.66667	425.76087	1621.41896	543.15217
FH50	13	0	1760.09786	477.21739	1255.33945	541.17391
FH50	13	1	1470.23853	481.30435	924.90214	491.19565
FH50	14	0	1523.17737	549.04348	975.26300	569.73913
FH50	14	1	1828.59939	538.54348	1273.32416	610.97826
FH50	15	0	1436.24465	696.63043	729.07645	675.36957
FH50	15	1	1799.82875	942.60870	753.11315	948.80435
FH50	16	0	707.29052	482.97826	331.15291	387.30435
FH50	16	1	1006.48624	476.21739	638.31193	430.56522
FH50	17	0	1489.02446	369.23913	1153.29664	403.41304
FH50	17	1	1349.47706	355.54348	1022.16514	369.17391
FH50	18	0	1819.40061	329.34783	1589.54128	429.00000
FH50	18	1	1673.59021	332.28261	1466.87462	414.39130
FH50	19	0	1115.25076	284.21739	852.20489	271.34783
FH50	19	1	988.03364	265.63043	723.42202	235.73913
FH50	20	0	1280.53823	394.04348	1063.62080	415.54348
FH50	20	1	1160.95413	376.04348	958.51988	380.71739
FH50	21	0	478.44037	264.78261	583.15291	219.67391
FH50	21	1	343.17125	238.60870	477.68807	183.02174
FH50	22	0	392.79817	289.08696	508.64220	233.32609
FH50	22	1	236.34251	272.17391	381.74618	195.71739
FH50	23	0	235.40367	392.06522	92.96636	264.36957
FH50	23	1	706.52905	239.36957	543.12232	191.86957
FH50	24	0	1069.79817	248.86957	1155.52294	280.56522
FHC	0	0	1181.26394	386.56388	607.88104	390.13216
FHC	1	0	1319.88104	493.99119	1382.45353	521.31278
FHC	1	1	1352.14870	485.45374	1419.33086	510.07930
FHC	2	0	804.16357	506.69604	699.47955	530.48458
FHC	3	0	72.66914	349.85463	156.09294	413.32159
FHC	3	1	201.73978	355.84581	250.66543	415.26872
FHC	4	0	1454.14498	285.93392	1149.29740	277.71366
FHC	4	1	1338.01115	275.14978	1000.59851	271.57269
FHC	5	0	945.13011	451.95595	969.82528	486.34802
FHC	5	1	878.06691	435.92952	909.89963	470.32159
FHC	6	0	1383.02974	453.60352	1107.06320	457.15859
FHC	6	1	1248.41636	524.83260	966.37175	535.27313
FHC	7	0	999.45725	491.15859	928.70632	518.39648
