OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
DM-BV-01	0	Left_MAH00351.MP4	24871	Right_MAH07771.MP4	23631	6.91552		-1.00000	-51.88062	-126.65092	-954.08641	0.49989	0.50788	1.44444	1.83814	963.85317	8.56229								sync		
DM-BV-01	37	Left_MAH00351.MP4	74519	Right_MAH07771.MP4	73279	20.72042	1	9.98053	-122.98164	-148.63722	-1442.67762	0.76449	0.77025	3.20094	2.39746	1455.51923	7.95201	Scombridae	Scomberomorus	spp		1	AD	Passing			
DM-BV-01	38	Left_MAH00352.MP4	143	Right_MAH07771.MP4	80025	22.59618	1	11.85629	-94.00026	-332.71608	-1065.35629	0.56301	0.74394	1.78608	1.79539	1120.05359	18.39330	Elapidae	Aipysurus	spp		1	AD	Passing			
DM-BV-01	45	Left_MAH00353.MP4	72575	Right_MAH07773.MP4	71335	65.27549	1	54.53559	753.49829	79.79411	-1546.57016	1.63661	0.76389	3.43138	3.48747	1722.20964	26.05967	Cheloniidae	Chelonia	mydas	39020002	1	AD	Passing			
DM-BV-02	0	Left_MAH00436.MP4	26803	Right_MAH00443.MP4	26451	7.45272		-1.00000	-3.80953	-144.83784	-992.42674	0.51288	0.53882	1.56168	1.87523	1002.94733	8.44621								sync		
DM-BV-03	0	Left_MAH03144.MP4	38750	Right_MAH00064.MP4	37082	10.77465		-1.00000	3.68041	-112.95488	-1023.48575	0.52829	0.53754	1.63861	2.05990	1029.70647	6.42525								sync		
DM-BV-03	1	Left_MAH03144.MP4	42434	Right_MAH00064.MP4	40766	11.79901	1	0.34618	49.81198	-176.40868	-1423.15769	0.72252	0.79019	3.09359	1.79529	1434.91431	7.45900	SUS	SUS	SUS	2	2	AD	Passing			
DM-BV-03	26	Left_MAH03145.MP4	39674	Right_MAH00065.MP4	38006	33.57132	1	22.11849	0.77169	-120.36557	-875.48514	0.45848	0.46670	1.21651	0.43876	883.72094	7.95251	Unknown	Unknown	Unknown	0	1	AD	Passing			
DM-BV-03	27	Left_MAH03145.MP4	58045	Right_MAH00065.MP4	56377	38.67947	1	27.22664	-571.28248	-107.75618	-1268.65381	1.11816	0.64391	2.37524	1.56262	1395.51336	24.64275	Sparidae	Argyrops	bleekeri	37353006	1	AD	Passing			
DM-BV-03	32	Left_MAH03146.MP4	20158	Right_MAH00066.MP4	18490	50.68424	1	39.23141	664.83235	-66.54555	-1254.72243	1.26717	0.62688	2.38612	0.96122	1421.53394	28.04844	Siganidae	Siganus	fuscescens	37438001	1	AD	Passing			
DM-BV-04	0	Left_MAH00346.MP4	49230	Right_MAH07766.MP4	47799	13.68867		-1.00000	-56.21417	-131.01495	-954.49961	0.50077	0.51032	1.44595	0.38952	965.08780	8.89113								sync		
DM-BV-04	1	Left_MAH00347.MP4	2963	Right_MAH07767.MP4	1592	23.38030	1	1.93638	1909.39268	-37.45958	-5350.05613	13.97877	2.53890	40.45927	12.25947	5680.69399	19.65749	Unknown	Unknown	Unknown	0	1	AD	Passing			
DM-BV-04	14	Left_MAH00347.MP4	57766	Right_MAH07767.MP4	56395	38.61858	1	17.17466	-1463.80764	-105.05357	-2870.63948	5.90870	1.42567	12.15476	1.34797	3224.02545	27.11158	Carangidae		spp		1	AD	Passing			
DM-BV-04	15	Left_MAH00348.MP4	14678	Right_MAH07768.MP4	13306	49.17691	1	27.73298	-1465.98691	-147.73293	-2616.70838	5.28667	1.34341	9.97469	3.36780	3003.01604	29.42879	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
DM-BV-04	17	Left_MAH00348.MP4	16385	Right_MAH07768.MP4	15013	49.65155	1	28.20762	-642.43118	297.58621	-6848.11518	7.07344	4.78991	68.28666	4.90373	6884.61741	5.73543	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
DM-BV-04	23	Left_MAH00349.MP4	42001	Right_MAH07769.MP4	40629	79.31368	1	57.86976	1578.69856	162.56024	-6537.13524	14.58478	3.70004	61.20387	3.68160	6727.02402	13.60852	Tetraodontidae	Lagocephalus	lunaris	37467012	1	AD	Passing			
DM-BV-04	25	Left_MAH00349.MP4	47079	Right_MAH07769.MP4	45707	80.72565	1	59.28172	-424.14078	-299.13661	-3286.57743	2.53084	2.07113	16.04259	0.74584	3327.30661	9.22810	Odontodactylidae		spp		1	AD	Passing			
DM-BV-05	0	Left_MAH00438.MP4	68505	Right_MAH00437.MP4	66762	19.04820		-1.00000	13.35782	-110.84426	-958.78380	0.49730	0.50378	1.46490	2.95656	965.26228	6.87707								sync		
DM-BV-05	74	Left_MAH00440.MP4	10710	Right_MAH00439.MP4	8967	48.05718	1	27.06593	513.01501	-8.05935	-2134.04094	1.85700	1.04013	6.95320	0.40680	2194.85309	13.52455	Cheloniidae	Chelonia	mydas	39020002	1	AD	Passing			
DM-BV-05	75	Left_MAH00440.MP4	45203	Right_MAH00439.MP4	43460	57.64815	1	36.65690	-40.30864	-115.77547	-1309.44287	0.66574	0.68103	2.66099	1.99646	1315.16895	5.57267	Unknown	Unknown	Unknown	0	1	AD	Passing			
DM-BV-05	76	Left_MAH00440.MP4	48888	Right_MAH00439.MP4	47145	58.67278	1	37.68153	-36.04385	-117.18149	-1299.18915	0.66017	0.67683	2.62119	2.24448	1304.96096	5.61757	Serranidae	Plectropomus	spp		1	AD	Passing			
DM-BV-05	77	Left_MAH00440.MP4	62995	Right_MAH00439.MP4	61252	62.59531	1	41.60406	-560.04188	-52.60386	-1657.89093	1.49660	0.81213	4.15996	2.70723	1750.71882	18.76517	Elapidae	Hydrophis	major	39125011	1	AD	Passing			
DM-BV-05	79	Left_MAH00441.MP4	3533	Right_MAH00440.MP4	1790	68.60103	1	47.60978	-34.94467	-121.24110	-1304.28943	0.66243	0.68202	2.64126	2.27758	1310.37836	5.75347	SUS	SUS	SUS	2	1	AD	Passing			
DM-BV-06	0	Left_MAH00485.MP4	17513	Right_MAH00321.MP4	19873	4.86959		-1.00000	30.41874	-123.29438	-1050.45756	0.54578	0.56323	1.74151	2.23144	1058.10580	6.62714								sync		
DM-BV-06	14	Left_MAH00485.MP4	41314	Right_MAH00321.MP4	43674	11.48759	1	1.46702	1373.70727	-356.66714	-2850.42966	5.27253	1.99468	11.67348	3.91953	3184.21613	26.40143	Monacanthidae	Paramonacanthus	choirocephalus	37465064	1	AD	Passing			
DM-BV-06	54	Left_MAH00486.MP4	23494	Right_MAH00322.MP4	25854	29.08906	1	19.06849	901.56519	-177.54769	-1424.64737	1.64602	0.75526	2.82146	7.38437	1695.27671	32.76954	Labridae	Choerodon	spp		1	AD	Passing			
