OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
DM-BV-01	0	0	1204.78489	717.31343	620.52466	683.05970
DM-BV-01	1	0	1418.79766	641.35526	1632.33498	774.05263
DM-BV-01	1	1	377.02159	638.35526	569.34793	557.97368
DM-BV-01	2	0	882.59099	524.68421	865.27020	513.52632
DM-BV-01	2	1	1064.99692	525.86842	1068.38063	550.26316
DM-BV-01	3	0	727.23812	661.80263	691.33806	614.30263
DM-BV-01	3	1	905.69587	666.73684	848.77853	647.01316
DM-BV-01	4	0	47.57557	591.92105	272.56693	463.77632
DM-BV-01	4	1	290.38865	559.35526	470.77175	470.32895
DM-BV-01	5	0	861.85318	612.48684	785.95003	584.97368
DM-BV-01	5	1	1115.52560	620.32895	1059.58051	648.85526
DM-BV-01	6	0	715.98951	529.03947	448.00864	450.88158
DM-BV-01	6	1	1027.94016	473.68421	789.10241	457.11842
DM-BV-01	7	0	1339.65515	552.81579	1122.70635	598.28947
DM-BV-01	7	1	1505.45157	563.84211	1319.70759	642.97368
DM-BV-01	8	0	1710.28316	340.43421	1700.53856	453.75000
DM-BV-01	8	1	1563.27390	346.00000	1507.29303	432.76316
DM-BV-01	9	0	1666.44170	457.71053	1502.45157	561.97368
DM-BV-01	9	1	1473.40345	484.26316	1277.10241	551.67105
DM-BV-01	10	0	384.78218	850.86139	81.98020	675.01980
DM-BV-01	10	1	642.84158	849.50495	301.71287	721.17822
DM-BV-01	11	0	512.79208	831.30693	47.32673	657.21782
DM-BV-01	11	1	771.45545	817.46535	279.00990	699.79208
DM-BV-01	12	0	731.48515	732.11881	511.60396	650.24752
DM-BV-01	12	1	807.12871	732.11881	636.75248	671.63366
DM-BV-01	13	0	1412.36634	626.30693	1124.84158	678.58416
DM-BV-01	13	1	1260.87129	543.46535	1053.19802	584.60396
DM-BV-01	14	0	1419.14851	628.00000	1129.38614	682.03960
DM-BV-01	14	1	1266.07921	549.18812	1057.14851	578.03960
DM-BV-01	15	0	1262.67327	563.22772	815.19802	556.18812
DM-BV-01	15	1	1044.27723	474.83168	643.75248	438.29703
DM-BV-01	16	0	1340.41584	539.27723	911.36634	550.00000
DM-BV-01	16	1	1108.97030	539.31683	690.59406	510.97030
DM-BV-01	17	0	1463.19802	665.79208	1061.39604	717.08911
DM-BV-01	17	1	1639.42574	629.90099	1274.96040	717.16832
DM-BV-01	18	0	1051.55446	894.40594	606.23762	843.52475
DM-BV-01	18	1	1246.90099	896.92079	817.87129	898.61386
DM-BV-01	19	0	1328.77228	564.18812	1029.13861	591.14851
DM-BV-01	19	1	1134.12871	547.09901	832.66337	535.87129
DM-BV-01	20	0	1840.59406	804.81188	1569.46535	985.26733
DM-BV-01	20	1	1595.55446	796.56436	1360.56436	921.16832
DM-BV-01	21	0	573.03960	878.47525	62.37624	707.56436
DM-BV-01	21	1	695.41584	836.89109	297.02970	713.30693
DM-BV-01	22	0	684.11474	789.96053	331.05059	675.52632
DM-BV-01	22	1	816.57619	770.02632	512.54843	689.65789
DM-BV-01	23	0	835.91117	648.13158	537.00185	584.65789
DM-BV-01	23	1	982.49969	589.14474	721.29241	564.61842
DM-BV-01	24	0	562.20234	673.82895	302.19309	558.25000
DM-BV-01	24	1	752.89143	652.06579	492.16348	572.88158
DM-BV-01	25	0	1299.34485	674.53947	992.12153	708.34211
DM-BV-01	25	1	1484.33436	626.51316	1187.87230	691.77632
DM-BV-01	26	0	1473.28994	563.69737	1050.42875	608.68421
DM-BV-01	26	1	1757.67428	547.13158	1256.70080	630.26316
DM-BV-01	27	0	1061.72980	491.28947	974.47502	504.48684
DM-BV-01	27	1	928.92412	453.82895	882.42258	450.98684
DM-BV-01	28	0	960.28994	692.78947	806.45157	674.89474
DM-BV-01	28	1	819.74645	695.40789	705.77298	655.35526
DM-BV-01	29	0	943.13448	661.19737	710.13757	624.71053
DM-BV-01	29	1	814.12770	552.92105	638.00494	508.15789
DM-BV-01	30	0	1193.29241	514.15789	1110.41333	552.90789
DM-BV-01	30	1	1074.25478	478.82895	1024.73782	497.64474
DM-BV-01	31	0	1352.45466	523.30263	1164.31585	572.26316
DM-BV-01	31	1	1181.12461	574.09211	994.37693	591.39474
DM-BV-01	32	0	1475.38988	490.55263	1304.18939	562.81579
DM-BV-01	32	1	1307.67428	526.94737	1167.58236	575.05263
DM-BV-01	33	0	923.29303	690.97368	785.13757	667.88158
DM-BV-01	33	1	786.09377	666.89474	655.04503	621.10526
DM-BV-01	34	0	1185.49352	650.14474	785.33498	633.89474
DM-BV-01	34	1	1387.19186	667.56579	1000.99753	698.55263
DM-BV-01	35	0	1634.67119	585.27632	1565.33498	711.63158
DM-BV-01	35	1	1385.34793	627.25000	1332.35719	710.98684
DM-BV-01	36	0	375.36936	468.47015	509.72193	397.05224
DM-BV-01	36	1	703.56200	511.25000	821.78279	483.32090
DM-BV-01	37	0	995.02838	686.19737	740.30598	659.39474
DM-BV-01	38	0	1117.07279	980.40789	588.93029	932.06579
DM-BV-01	39	0	330.23504	742.92105	333.88094	615.23684
DM-BV-01	39	1	595.99877	714.36842	586.63911	640.94737
DM-BV-01	40	0	187.89204	668.75000	15.99013	495.81579
DM-BV-01	40	1	583.74275	741.55263	407.21530	634.84211
DM-BV-01	41	0	1376.58051	736.90789	784.28994	739.02632
DM-BV-01	41	1	1892.16533	564.31579	1265.36089	659.81579
DM-BV-01	42	0	1678.58112	639.59211	1578.50093	780.80263
DM-BV-01	42	1	1511.53239	652.65789	1387.01419	757.52632
DM-BV-01	43	0	1638.41271	628.97368	1584.39667	769.31579
DM-BV-01	43	1	1503.58236	616.14474	1465.35904	732.40789
DM-BV-01	44	0	1726.22147	597.80263	1721.97162	759.81579
DM-BV-01	44	1	1589.21962	609.84211	1594.64281	745.80263
DM-BV-01	45	0	1745.09562	433.38158	1656.09192	557.78947
DM-BV-01	46	0	1144.63379	714.58955	842.50367	710.86567
DM-BV-01	46	1	1291.13851	607.54478	1094.24869	654.13433
DM-BV-01	47	0	389.93337	688.90789	191.40962	549.22368
DM-BV-01	47	1	527.06971	657.75000	370.79827	547.88158
DM-BV-01	48	0	659.18939	790.96053	387.36459	686.31579
DM-BV-01	48	1	421.07279	795.57895	173.91733	639.88158
DM-BV-01	49	0	1261.72980	674.34211	1223.07279	734.10526
DM-BV-01	49	1	1363.79025	666.84211	1333.42443	756.01316
DM-BV-01	50	0	415.69155	795.96053	430.44479	678.92105
DM-BV-01	50	1	583.43862	762.46053	567.52313	679.98684
DM-BV-01	51	0	1184.42574	586.55446	1046.44554	614.36634
DM-BV-01	51	1	1364.47525	555.53465	1242.70297	613.67327
DM-BV-01	52	0	1357.69307	656.73267	1120.19802	709.77228
DM-BV-01	52	1	1507.10891	585.26733	1318.00990	667.31683
DM-BV-01	53	0	79.60396	555.15842	139.09901	413.09901
DM-BV-01	53	1	296.83168	559.91089	313.15842	447.75248
DM-BV-01	54	0	1894.85149	744.31683	1760.19802	946.54455
DM-BV-01	54	1	1702.17822	760.15842	1541.23762	910.06931
DM-BV-01	55	0	682.70297	604.87129	577.28713	540.42574
DM-BV-01	55	1	820.12871	593.78218	739.66337	561.61386
DM-BV-02	0	0	1204.78489	753.58209	678.95068	743.50746
DM-BV-02	1	0	1130.69240	657.27881	861.44595	641.18332
DM-BV-02	1	1	1003.69240	555.73546	754.87832	540.80681
DM-BV-02	2	0	1191.39345	751.76180	915.19209	739.02964
DM-BV-02	2	1	1314.67202	650.45115	1086.98579	640.01317
DM-BV-02	3	0	949.57937	623.92536	806.33045	612.49396
DM-BV-02	3	1	829.90611	650.38968	687.57134	634.85401
DM-BV-02	4	0	879.92835	669.64325	742.24707	656.14050
DM-BV-02	4	1	1055.50710	660.48299	897.35825	645.63557
DM-BV-02	5	0	1222.80235	701.09111	831.50340	687.49177
DM-BV-02	5	1	1366.22483	760.46542	1039.68993	754.62678
DM-BV-02	6	0	1129.32551	639.11965	908.31748	623.01756
DM-BV-02	6	1	986.27301	646.47201	747.49907	625.07684
