OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
DM-BV-01	1	Left_MAH00351.MP4	53131	Right_MAH07771.MP4	51891	14.77337	1	4.03347	2685.62290	10.44316	5.26218	3696.05915	4.15911	7.61465	3.35474	77.50128	-256.61403	-3686.32555	Rhinidae	Rhynchobatus	australiae	37026005	1	AD	Passing			
DM-BV-01	2	Left_MAH00351.MP4	53702	Right_MAH07771.MP4	52462	14.93214	1	4.19224	322.73469	4.40221	4.29298	2203.51211	0.95538	23.69815	2.07503	-32.39521	17.33347	-2203.20579	Echeneidae	Echeneis	naucrates	37336001	1	AD	Passing			
DM-BV-01	3	Left_MAH00351.MP4	53702	Right_MAH07771.MP4	52462	14.93214	1	4.19224	250.57671	2.07920	2.63794	2103.92321	9.04535	4.97072	3.22368	-284.84945	-168.13686	-2077.75928	Echeneidae	Echeneis	naucrates	37336001	1	AD	Passing			
DM-BV-01	4	Left_MAH00351.MP4	53713	Right_MAH07771.MP4	52473	14.93520	1	4.19530	382.13310	11.15235	2.71254	3210.72435	26.34820	30.40987	6.45471	-1424.92753	-14.41389	-2877.17303	Echeneidae	Echeneis	naucrates	37336001	1	AD	Passing			
DM-BV-01	5	Left_MAH00351.MP4	53715	Right_MAH07771.MP4	52475	14.93575	1	4.19586	391.04091	3.10944	4.15924	1996.86749	3.36699	18.89904	5.29584	-42.06823	-109.47376	-1993.42057	Echeneidae	Echeneis	naucrates	37336001	1	AD	Passing			
DM-BV-01	6	Left_MAH00351.MP4	55481	Right_MAH07771.MP4	54241	15.42680	1	4.68690	319.75475	1.81291	1.91512	1364.31886	10.09980	21.62223	7.63134	-236.15092	38.39288	-1343.17708	Carangidae	Turrum	gymnostethus	37337022	1	AD	Passing			
DM-BV-01	7	Left_MAH00351.MP4	55515	Right_MAH07771.MP4	54275	15.43625	1	4.69636	200.69966	1.61084	3.10254	1530.59949	13.27537	8.90920	5.30403	349.01325	-41.51499	-1489.69831	Carangidae	Turrum	gymnostethus	37337022	1	AD	Passing			
DM-BV-01	8	Left_MAH00351.MP4	55570	Right_MAH07771.MP4	54330	15.45155	1	4.71165	197.31988	2.54531	3.79537	1860.58458	23.91608	3.97110	0.62007	726.30144	203.52071	-1700.83524	Carangidae	Turrum	gymnostethus	37337022	1	AD	Passing			
DM-BV-01	9	Left_MAH00351.MP4	55612	Right_MAH07771.MP4	54372	15.46323	1	4.72333	205.42729	1.70123	3.24382	1535.12942	18.85928	4.02024	5.23717	494.34252	43.15666	-1452.71652	Carangidae	Turrum	gymnostethus	37337022	1	AD	Passing			
DM-BV-01	10	Left_MAH00351.MP4	55635	Right_MAH07771.MP4	54395	15.46962	1	4.72973	195.83239	1.54060	0.38986	1346.27046	26.21542	6.35173	4.72821	-546.64764	-234.21773	-1207.79243	Nemipteridae	Nemipterus	furcosus	37347005	1	AD	Passing			
