OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
DM-BV-01	0	1	Left_MAH00351.MP4	38625	10.73990	Left_MAH00354.MP4	11166	70.73984	1
DM-BV-02	0	1	Left_MAH00436.MP4	47178	13.11811	Left_MAH00439.MP4	19719	73.11804	1
DM-BV-03	0	1	Left_MAH03144.MP4	41189	11.45283	Left_MAH03147.MP4	13789	71.45277	1
DM-BV-04	0	1	Left_MAH00346.MP4	77121	21.44392	Left_MAH00349.MP4	49662	81.44386	1
DM-BV-05	0	1	Left_MAH00438.MP4	75493	20.99125	Left_MAH00441.MP4	48093	80.99119	1
DM-BV-06	0	1	Left_MAH00485.MP4	36038	10.02057	Left_MAH00488.MP4	8579	70.02051	1
DM-BV-07	0	1	Left_MAH00480.MP4	58188	16.17950	Left_MAH00483.MP4	30729	76.17944	1
DM-BV-08	0	1	Left_MAH00425.MP4	55417	15.40900	Left_MAH00428.MP4	28017	75.40894	1
DM-BV-09	0	1	Left_MAH00458.MP4	25980	7.22388	Left_MAH00460.MP4	79582	67.22382	1
DM-BV-10	0	1	Left_MAH03139.MP4	60882	16.92858	Left_MAH03142.MP4	33423	76.92852	1
DM-BV-11	0	1	Left_MAH00431.MP4	40730	11.32520	Left_MAH00434.MP4	13211	71.32514	1
DM-BV-12	0	1	Left_MAH00463.MP4	46520	12.93514	Left_MAH00466.MP4	19120	72.93508	1
DM-BV-13	0	1	Left_MAH00427.MP4	38411	10.68039	Left_MAH00430.MP4	10892	70.68033	1
DM-BV-14	0	1	Left_MAH00432.MP4	59967	16.67416	Left_MAH00435.MP4	32448	76.67410	1
DM-BV-15	0	1	L031_MAH03154.MP4	53290	14.81758	L031_MAH03157.MP4	25830	74.81752	1
DM-BV-16	0	1	Left_MAH00441.MP4	78742	21.89465	Left_MAH00444.MP4	51342	81.89459	1
DM-BV-17	0	1	Left_MAH00433.MP4	70887	19.71052	Left_MAH00436.MP4	43428	79.71046	1
DM-BV-19	0	1	Left_MAH00438.MP4	45320	12.60148	Left_MAH00441.MP4	17920	72.60142	1
DM-BV-20	0	1	Left_MAH00420.MP4	72797	20.24161	Left_MAH00423.MP4	45278	80.24155	1
DM-BV-21	0	1	Left_MAH00444.MP4	42877	11.92219	Left_MAH00447.MP4	15417	71.92213	1
DM-BV-22	0	1	Left_MAH00356.MP4	28034	7.79501	Left_MAH00359.MP4	575	67.79495	1
DM-BV-24	0	1	Left_MAH00453.MP4	75592	21.01878	Left_MAH00456.MP4	48133	81.01872	1
DM-BV-25	0	1	Left_MAH00447.MP4	48483	13.48097	Left_MAH00450.MP4	21083	73.48091	1
DM-BV-26	0	1	Left_MAH00458.MP4	52137	14.49698	Left_MAH00461.MP4	24737	74.49692	1
DM-BV-27	0	1	Left_1.MP4	41684	11.59047	Left_4.MP4	14284	71.59041	1
DM-BV-28	0	1	Left_MAH00368.MP4	58966	16.39582	Left_MAH00371.MP4	31566	76.39576	1
DM-BV-29	0	1	Left_MAH00338.MP4	29124	8.09809	Left_MAH00341.MP4	1724	68.09803	1
DM-BV-30	0	1	Left_1.MP4	52746	14.66632	Left_4.MP4	25227	74.66626	1
DM-BV-31	0	1	Left_MAH00454.MP4	26169	7.27644	Left_MAH00456.MP4	79830	67.27638	1
DM-BV-32	0	1	Left_MAH00463.MP4	21357	5.93843	Left_MAH00465.MP4	74959	65.93837	1
DM-BV-33	0	1	Left_1.MP4	55243	15.36062	Left_4.MP4	27783	75.36056	1
DM-BV-34	0	1	Left_MAH00457.MP4	35717	9.93131	Left_MAH00460.MP4	8317	69.93125	1
DM-BV-35	0	1	Left_MAH03166.MP4	57041	15.86057	Left_MAH03169.MP4	29641	75.86051	1
DM-BV-36	0	1	Left_1.MP4	61205	17.01839	Left_4.MP4	33745	77.01833	1
DM-BV-37	0	1	Left_1.MP4	48508	13.48792	Left_4.MP4	21048	73.48786	1
DM-BV-38	0	1	Left_MAH00444.MP4	35560	9.88766	Left_MAH00447.MP4	8160	69.88760	1
DM-BV-39	0	1	Left_MAH00448.MP4	57120	15.88253	Left_MAH00451.MP4	29720	75.88247	1
DM-BV-40	0	1	Left_MAH00451.MP4	79630	22.14156	Left_MAH00454.MP4	52230	82.14150	1
DM-BV-41	0	1	Left_MAH00443.MP4	70355	19.56260	Left_MAH00446.MP4	42896	79.56254	1
DM-BV-42	0	1	Left_MAH00439.MP4	54229	15.07867	Left_MAH00442.MP4	26829	75.07861	1
DM-BV-43	0	1	Left_MAH00475.MP4	40859	11.36107	Left_MAH00478.MP4	13459	71.36101	1
DM-BV-44	0	1	Left_MAH00471.MP4	33278	9.25313	Left_MAH00474.MP4	5878	69.25307	1
DM-BV-45	0	1	Left_MAH03162.MP4	31332	8.71204	Left_MAH03165.MP4	3932	68.71198	1
DM-BV-46	0	1	Left_MAH00330.MP4	54879	15.25941	Left_MAH00333.MP4	27479	75.25935	1
DM-BV-47	0	1	Left_MAH00435.MP4	43021	11.96223	Left_MAH00438.MP4	15562	71.96217	1
DM-BV-48	0	1	Left_MAH00364.MP4	37790	10.50772	Left_MAH00367.MP4	10390	70.50766	1
DM-BV-49	0	1	Left_MAH00360.MP4	59070	16.42474	Left_MAH00363.MP4	31610	76.42468	1
DM-BV-50	0	1	Left_MAH00467.MP4	41134	11.43754	Left_MAH00470.MP4	13734	71.43748	1
DM-BV-51	0	1	Left_MAH00490.MP4	22820	6.34523	Left_MAH00492.MP4	76481	66.34517	1
DM-BV-52	0	1	Left_MAH00447.MP4	47091	13.09391	Left_MAH00450.MP4	19632	73.09385	1
DM-BV-53	0	1	Left_MAH00334.MP4	37803	10.51133	Left_MAH00337.MP4	10344	70.51127	1
DM-BV-54	0	1	Left_1.MP4	38755	10.77604	Left_4.MP4	11355	70.77598	1
DM-BV-55	0	1	Left_MAH00452.MP4	66892	18.59969	Left_MAH00455.MP4	39373	78.59963	1
DM-BV-56	0	1	Left_MAH03158.MP4	37039	10.29890	Left_MAH03161.MP4	9580	70.29884	1
DM-BV-57	0	1	Left_1.MP4	67679	18.81852	Left_4.MP4	40279	78.81846	1
DM-BV-58	0	1	Left_MAH00393.MP4	16619	4.62101	Left_MAH00395.MP4	70280	64.62095	1
DM-BV-59	0	1	Left_1.MP4	35987	10.00639	Left_4.MP4	8528	70.00633	1
DM-BV-60	0	1	Left_MAH00363.MP4	10371	2.88371	Left_MAH00365.MP4	63973	62.88365	1
DM-BV-61	0	1	Left_MAH00358.MP4	65493	18.21069	Left_MAH00361.MP4	38153	78.21063	1
DM-BV-62	0	1	Left_MAH00500.MP4	27433	7.62790	Left_MAH00503.MP4	33	67.62784	1
DM-BV-63	0	1	Left_1.MP4	38979	10.83833	Left_4.MP4	11579	70.83827	1
DM-BV-64	0	1	Left_MAH03186.MP4	34647	9.63379	Left_MAH03189.MP4	7187	69.63373	1
