OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
DM-BV-01	1.09	2024 05 20 15:22:56	E:\20230921\BRUV 2\DM-BV-01\	DM-BV-01.EMObs
DM-BV-02	1.09	2024 05 20 15:22:56	D:\20230921\BRUV 8\DM-BV-02\	DM-BV-02.EMObs
DM-BV-03	1.09	2024 05 20 15:22:56	D:\20230921\BRUV 3\DM-BV-03\	DM-BV-03.EMObs
DM-BV-04	1.09	2024 05 20 15:22:56	E:\20230921\BRUV 2\DM-BV-04\	DM-BV-04.EMObs
DM-BV-05	1.09	2024 05 20 15:22:56	D:\20230921\BRUV 6\DM-BV-05\	DM-BV-05.EMObs
DM-BV-06	1.09	2024 05 20 15:22:56	E:\20230921\BRUV 1\DM-BV-06\	DM-BV-06.EMObs
DM-BV-07	1.09	2024 05 20 15:22:56	E:\20230921\BRUV 1\DM-BV-07\	DM-BV-07.EMObs
DM-BV-08	1.09	2024 05 20 15:22:56	E:\20230921\BRUV 5\DM-BV-08\	DM-BV-08.EMObs
DM-BV-09	1.09	2024 05 20 15:22:56	D:\20230921\BRUV 4\DM-BV-09\	DM-BV-09.EMObs
DM-BV-10	1.09	2024 05 20 15:22:56	D:\20230921\BRUV 3\DM-BV-10\	DM-BV-10.EMObs
DM-BV-11	1.09	2024 05 20 15:22:56	E:\20230921\BRUV 5\DM-BV-11\	DM-BV-11.EMObs
DM-BV-12	1.09	2024 05 20 15:22:56	E:\20230921\BRUV 4\DM-BV-12\	DM-BV-12.EMObs
DM-BV-13	1.09	2024 05 20 15:22:56	E:\20230921\BRUV 7\DM-BV-13\	DM-BV-13.EMObs
DM-BV-14	1.09	2024 05 20 15:22:56	E:\20230921\BRUV 7\DM-BV-14\	DM-BV-14.EMObs
DM-BV-15	1.09	2024 05 20 15:22:56	E:\20230921\BRUV 3\DM-BV-15\	DM-BV-15.EMObs
DM-BV-16	1.09	2024 05 20 15:22:56	E:\20230921\BRUV 8\DM-BV-16\	DM-BV-16.EMObs
DM-BV-17	1.09	2024 05 20 15:22:56	D:\20230921\BRUV 6\DM-BV-17\	DM-BV-17.EMObs
