OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
DM-BV-01	0	Left_MAH00351.MP4	24871	Right_MAH07771.MP4	23631	6.91552		-1.00000	-51.88062	-126.65092	-954.08641	0.49989	0.50788	1.44444	1.83814	963.85317	8.56229								sync		
DM-BV-02	0	Left_MAH00436.MP4	26803	Right_MAH00443.MP4	26451	7.45272		-1.00000	-3.80953	-144.83784	-992.42674	0.51288	0.53882	1.56168	1.87523	1002.94733	8.44621								sync		
DM-BV-03	0	Left_MAH03144.MP4	38750	Right_MAH00064.MP4	37082	10.77465		-1.00000	3.68041	-112.95488	-1023.48575	0.52829	0.53754	1.63861	2.05990	1029.70647	6.42525								sync		
DM-BV-04	0	Left_MAH00346.MP4	49230	Right_MAH07766.MP4	47799	13.68867		-1.00000	-56.21417	-131.01495	-954.49961	0.50077	0.51032	1.44595	0.38952	965.08780	8.89113								sync		
DM-BV-04	1	Left_MAH00347.MP4	2963	Right_MAH07767.MP4	1592	23.38030	1	1.93638	1909.39268	-37.45958	-5350.05613	13.97877	2.53890	40.45927	12.25947	5680.69399	19.65749	Unknown	Unknown	Unknown	0	1	AD	Passing			
DM-BV-04	2	Left_MAH00347.MP4	3005	Right_MAH07767.MP4	1634	23.39198	1	1.94806	1701.25165	70.60784	-4011.19493	9.12719	1.96837	22.54076	5.94558	4357.62864	22.98677	Unknown	Unknown	Unknown	0	1	AD	Passing			
DM-BV-04	14	Left_MAH00347.MP4	57766	Right_MAH07767.MP4	56395	38.61858	1	17.17466	-1463.80764	-105.05357	-2870.63948	5.90870	1.42567	12.15476	1.34797	3224.02545	27.11158	Carangidae		spp		1	AD	Passing			
DM-BV-04	15	Left_MAH00348.MP4	14678	Right_MAH07768.MP4	13306	49.17691	1	27.73298	-1465.98691	-147.73293	-2616.70838	5.28667	1.34341	9.97469	3.36780	3003.01604	29.42879	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
DM-BV-04	17	Left_MAH00348.MP4	16385	Right_MAH07768.MP4	15013	49.65155	1	28.20762	-642.43118	297.58621	-6848.11518	7.07344	4.78991	68.28666	4.90373	6884.61741	5.73543	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
DM-BV-04	23	Left_MAH00349.MP4	42001	Right_MAH07769.MP4	40629	79.31368	1	57.86976	1578.69856	162.56024	-6537.13524	14.58478	3.70004	61.20387	3.68160	6727.02402	13.60852	Tetraodontidae	Lagocephalus	lunaris	37467012	1	AD	Passing			
