OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
DM-BV-01	0	0	1204.78489	717.31343	620.52466	683.05970
DM-BV-02	0	0	1204.78489	753.58209	678.95068	743.50746
DM-BV-03	0	0	1196.72613	677.01493	689.02413	679.02985
DM-BV-04	0	0	1198.74082	727.38806	614.48059	685.07463
DM-BV-04	1	0	1373.46535	529.90099	1678.81188	654.65347
DM-BV-04	2	0	1489.90099	491.88119	1769.10891	626.13861
DM-BV-04	3	0	781.37624	781.89109	462.99010	693.85149
DM-BV-04	3	1	530.62376	851.66337	231.13861	707.71287
DM-BV-04	4	0	1743.35644	710.65347	1327.68317	817.56436
DM-BV-04	4	1	1416.23762	710.49505	1058.17822	752.91089
DM-BV-04	5	0	740.72277	493.47525	777.17822	465.26733
DM-BV-04	5	1	594.05941	494.25743	654.65347	440.79208
DM-BV-04	6	0	1103.56436	798.28713	743.91089	782.68317
DM-BV-04	6	1	1291.48515	739.00990	1007.52475	765.14851
DM-BV-04	7	0	1480.55446	613.61386	1135.68317	668.89109
DM-BV-04	7	1	1256.00990	627.46535	902.05941	633.86139
DM-BV-04	8	0	1076.67327	612.26733	775.06931	591.80198
DM-BV-04	8	1	838.81188	670.09901	535.71287	601.56436
DM-BV-04	9	0	656.09901	821.43564	352.18812	704.88119
DM-BV-04	9	1	374.46535	774.94059	151.88119	617.05941
DM-BV-04	10	0	907.38614	724.96040	640.40594	671.74257
DM-BV-04	10	1	676.10891	692.09901	415.78218	595.49505
DM-BV-04	11	0	1487.90099	796.70297	835.64356	813.47525
DM-BV-04	11	1	1221.99010	944.09901	478.81188	880.39604
DM-BV-04	12	0	1199.26733	621.36634	474.41584	563.37624
DM-BV-04	12	1	1607.88119	617.76238	809.83168	629.69307
DM-BV-04	13	0	737.77228	787.84158	350.65347	675.31683
DM-BV-04	13	1	459.91089	790.46535	34.05941	615.95050
DM-BV-04	14	0	153.26733	627.32673	350.49505	504.95050
DM-BV-04	15	0	84.35644	662.97030	269.70297	519.20792
DM-BV-04	16	0	429.75248	523.92079	560.37624	451.82178
DM-BV-04	16	1	639.20792	542.97030	747.82178	505.70297
DM-BV-04	17	0	709.30693	483.56436	1007.52475	483.56436
DM-BV-04	18	0	545.18812	797.57426	233.14851	649.72277
DM-BV-04	18	1	887.52475	940.99010	335.52475	828.17822
DM-BV-04	19	0	1841.78218	468.79208	1342.07921	558.42574
DM-BV-04	19	1	1410.29703	425.34653	864.95050	430.09901
DM-BV-04	20	0	1035.50495	447.02970	889.39604	442.28713
