opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward,left_cam,right_cam,rear_cam,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,comment
DM-BV-07,-20.3304983128109,116.896768479346,2023-09-21T07:46:44+08:00,,Dampier,Fished,38,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,28,27,1,1,31/01/2024,Alex McLennan,06/03/2024,"Green turtles, check ID. Cameras in wrong housing all day. Left footage is R028 right footage is L027. Use postcal"
DM-BV-04,-20.3267210243677,116.91719934535,2023-09-21T07:55:02+08:00,,Dampier,Fished,37.3,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,1,31/01/2024,Alex McLennan,06/03/2024,Mantis Shrimp! (far away). Showed 10
DM-BV-10,-20.3178727110612,116.898553333001,2023-09-21T08:04:51+08:00,,Dampier,Fished,37.4,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,1,02/02/2024,Alex McLennan,06/03/2024,Check Sea Snake ID. Turtle and Mantis shrimp den. Showed 4 at start corrected before deploy
DM-BV-24,-20.3104547840182,116.926144565032,2023-09-21T08:15:40+08:00,,Dampier,Fished,37.4,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,1,08/02/2024,Alex McLennan,06/03/2024,Multiple sea snakes inside and outside of period. Lethrinidae spp. check ID
DM-BV-20,-20.3003364128112,116.952629636774,2023-09-21T08:24:25+08:00,,Dampier,Fished,36.4,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,1,08/02/2024,Alex McLennan,08/05/2024,Sea Snake- Bri started lengths (speak to dan about nemip. spp)
DM-BV-17,-20.3101267689846,116.956758333346,2023-09-21T08:30:34+08:00,,Dampier,Fished,36.1,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,1,08/02/2024,Alex McLennan,14/05/2024,
DM-BV-13,-20.3140586365374,116.955582681184,2023-09-21T08:34:56+08:00,,Dampier,Fished,35.1,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,1,09/02/2024,Alex McLennan,13/05/2024,
DM-BV-02,-20.3250921473389,116.952859115905,2023-09-21T08:41:09+08:00,,Dampier,Fished,33.7,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,1,16/02/2024,Alex McLennan,10/05/2024,Sawfish (Pristis zijsron) outside of period (84 mins in)
DM-BV-06,-20.3295666665343,116.940303333534,2023-09-21T10:11:35+08:00,,Dampier,Fished,38.2,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,1,20/02/2024,Alex McLennan,10/05/2024,Tawny shark stole the bait bag at 33 minutes into the period. Cameras in wrong housing all day. Left footage is R028 right footage is L027. Use postcal
DM-BV-01,-20.3413608746941,116.930877399293,2023-09-21T10:19:29+08:00,,Dampier,Fished,37.8,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,1,01/03/2024,Alex McLennan,14/05/2024,Check wedgefish ID. BRUV drops onto a congregation of hermit crabs. Sea snakes in and out of period (93mins)
