OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
11	0	Left_MAH01232.MP4	21183	Right_MAH00247.MP4	6038	50.95257	1	9.30124	-932.28842	-264.10805	-1487.89344	1.84900	0.87193	3.09100	1.85800	1775.59614	33.13470	SUS	SUS	SUS	2	1	AD	Passing			
11	1	Left_MAH01232.MP4	21291	Right_MAH00247.MP4	6146	50.98260	1	9.33127	-1197.86898	-203.53900	-2282.54459	3.78287	1.25144	7.57697	2.23900	2585.79350	28.06499	SUS	SUS	SUS	2	1	AD	Passing			
11	10	Left_MAH01232.MP4	73546	Right_MAH00247.MP4	58401	65.51239	1	23.86106	-330.73665	-231.14686	-1072.45741	0.71860	0.64344	1.79359	0.12326	1145.85362	20.74593	Lethrinidae	Gymnocranius	sp1		1	AD	Passing			
11	17	Left_MAH01234.MP4	24742	Right_MAH00249.MP4	9598	97.02109	1	55.36976	-335.50567	-28.13947	-7431.10787	5.02484	3.56377	81.39493	3.18914	7438.73108	2.62191	Carangidae	Carangoides	gymnostethus	37337022	1	AD	Passing			
12	2	Left_MAH01219.MP4	7146	Right_MAH00234.MP4	37827	24.52672	1	7.96574	616.77695	-271.27188	-2436.72405	2.42898	1.51810	9.03289	3.08339	2528.16660	15.54334	SUS	SUS	SUS	2	1	AD	Passing			
13	3	Left_MAH00241.MP4	12110	Right_MAH00243.MP4	7488	48.46286	1	8.71815	-2271.30923	25.03508	-5112.17974	16.03517	2.47250	37.55626	5.67672	5594.09100	23.95546	Carangidae	Carangoides	chrysophrys	37337011	2	AD	Passing			
13	4	Left_MAH00241.MP4	12119	Right_MAH00243.MP4	7497	48.46536	1	8.72066	-2400.17588	-101.51160	-4695.67305	15.09439	2.25405	31.01162	4.42914	5274.51365	27.11579	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
13	5	Left_MAH00241.MP4	12119	Right_MAH00243.MP4	7497	48.46536	1	8.72066	-2373.69821	166.09250	-4900.73868	15.77473	2.69170	34.06476	4.96496	5447.86835	25.87165	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
13	6	Left_MAH00241.MP4	12125	Right_MAH00243.MP4	7503	48.46703	1	8.72232	-2338.65182	-22.73603	-4656.52799	14.65310	2.19646	30.61653	4.65486	5210.86003	26.67571	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
14	0	Left_MAH00243.MP4	3752	Right_MAH00239.MP4	80559	46.12247	1	4.53008	923.65764	198.34803	-1500.33558	1.90606	0.83917	3.27862	1.89254	1772.98963	32.14886	Echeneidae	Echeneis	naucrates	37336001	1	AD	Passing			
