OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
EG-C01-001	0	20240505_R07_L08_Left_MAH00688.MP4	1826	20240505_R07_L08_Right_MAH00719.MP4	1400	0.50773		-1.00000	-9.07505	66.25565	-844.46245	0.42446	0.42840	1.46193	0.59878	847.10625	4.55721								Sync		
EG-C01-001	2	20240505_R07_L08_Left_MAH00688.MP4	15342	20240505_R07_L08_Right_MAH00719.MP4	14916	4.26593	1	2.27394	558.30957	-55.44164	-1351.35322	1.53256	0.66548	3.56350	1.45694	1463.19475	22.54437	Fistulariidae	Fistularia	commersonii	37278001	1	AD	Passing			
EG-C01-001	3	20240505_R07_L08_Left_MAH00688.MP4	31621	20240505_R07_L08_Right_MAH00719.MP4	31195	8.79239	1	6.80040	443.39847	-207.69279	-1797.37083	1.73542	1.13480	6.39810	1.81575	1862.86886	15.22594	Labridae	Choerodon	cephalotes	37384004	1	AD	Passing			
EG-C01-001	4	20240505_R07_L08_Left_MAH00688.MP4	31621	20240505_R07_L08_Right_MAH00719.MP4	31195	8.79239	1	6.80040	719.76329	-262.19127	-1710.00384	2.39913	1.18483	5.65479	0.98722	1873.74401	24.12085	Labridae	Choerodon	cephalotes	37384004	1	AD	Passing			
EG-C01-001	30	20240505_R07_L08_Left_MAH00689.MP4	32297	20240505_R07_L08_Right_MAH00720.MP4	31871	31.53678	1	29.54479	792.91164	-360.04986	-1470.04842	2.12725	1.18122	3.96258	6.52006	1708.62142	30.62950	Bothidae		spp		1	AD	Passing			
EG-C01-043	0	20240505_R01_L02_Left_MAH00501.MP4	3834	20240505_R01_L02_Right_MAH01246.MP4	3143	1.06607		-1.00000	-8.83656	-17.34209	-620.76606	0.31945	0.30929	0.75859	5.10563	621.07112	1.83894								sync		
EG-C01-043	31	20240505_R01_L02_Left_MAH00502.MP4	79983	20240505_R01_L02_Right_MAH01247.MP4	79292	44.79614	1	42.86477	-217.24383	-95.51683	-1515.87853	0.93864	0.78068	4.31368	1.19770	1534.34222	8.91709	Haemulidae	Diagramma	pictum	37350003	1	AD	Passing			
EG-C01-044	0	20240505_R17_L18_Left_MAH00505.MP4	1098	20240505_R17_L18_Right_MAH00717.MP4	1609	0.30530		-1.00000	-79.11440	-3.86134	-779.45887	0.40674	0.38223	1.23766	5.82830	783.47312	5.79732								Sync		
EG-C01-044	1	20240505_R17_L18_Left_MAH00505.MP4	7324	20240505_R17_L18_Right_MAH00717.MP4	7835	2.03648	1	0.70153	-321.52563	-333.11700	-1251.31580	0.96742	1.03425	3.09413	3.66074	1334.21771	19.99865	Unknown	Unknown	Unknown	0	1	AD	Passing			
EG-C01-044	5	20240505_R17_L18_Left_MAH00505.MP4	28708	20240505_R17_L18_Right_MAH00717.MP4	29219	7.98242	1	6.64747	-36.00271	-9.16063	-542.12196	0.27812	0.26874	0.60737	3.48041	543.39335	3.83717	Leiognathidae		spp		1	AD	Passing			
EG-C01-044	29	20240505_R17_L18_Left_MAH00505.MP4	42058	20240505_R17_L18_Right_MAH00717.MP4	42569	11.69446	1	10.35952	-6.15315	98.90470	-354.23740	0.16902	0.18730	0.24497	3.82168	367.83711	16.05516	Nemipteridae	Pentapodus	porosus	37347007	1	AD	Passing			
EG-C01-044	40	20240505_R17_L18_Left_MAH00505.MP4	52065	20240505_R17_L18_Right_MAH00717.MP4	52576	14.47696	1	13.14202	-34.95617	-9.13674	-539.99869	0.27693	0.26772	0.60274	2.54799	541.20606	3.74268	Scombridae	Scomberomorus	spp		1	AD	Passing			
EG-C01-044	41	20240505_R17_L18_Left_MAH00506.MP4	19154	20240505_R17_L18_Right_MAH00718.MP4	19665	27.88230	1	26.54735	-733.91062	-196.95005	-1510.51955	2.11480	0.92992	4.30315	6.80324	1690.88245	26.59723	Mullidae	Upeneus	spp		1	AD	Passing			
EG-C01-044	42	20240505_R17_L18_Left_MAH00506.MP4	19650	20240505_R17_L18_Right_MAH00718.MP4	20161	28.02021	1	26.68527	-47.23507	-321.99069	-1234.07648	0.61738	1.00680	3.05149	0.71924	1276.26561	14.35043	Bothidae		spp		1	AD	Passing			
EG-C01-045	0	20240505_R03_L04_Left_MAH00468.MP4	1900	20240505_R03_L04_Right_MAH00290.MP4	1293	0.52831		-1.00000	39.22416	55.35947	-928.60993	0.46824	0.46465	1.74814	2.91066	931.08518	4.19192								Sync		
EG-C01-045	1	20240505_R03_L04_Left_MAH00468.MP4	10992	20240505_R03_L04_Right_MAH00290.MP4	10385	3.05639	1	1.70003	-659.29045	-112.15010	-1370.27999	1.70433	0.70802	3.49867	1.14803	1524.76516	26.01186	Carangidae	Turrum	fulvoguttatum	37337037	1	AD	Passing			
EG-C01-045	2	20240505_R03_L04_Left_MAH00468.MP4	11067	20240505_R03_L04_Right_MAH00290.MP4	10460	3.07724	1	1.72089	-687.23249	-49.35779	-1315.89048	1.66845	0.63197	3.16871	1.65440	1485.35936	27.63549	Carangidae	Turrum	fulvoguttatum	37337037	1	AD	Passing			
EG-C01-045	14	20240505_R03_L04_Left_MAH00468.MP4	61002	20240505_R03_L04_Right_MAH00290.MP4	60395	16.96195	1	15.60559	883.88508	-34.20920	-1637.69611	2.74343	0.79511	5.16561	2.10212	1861.30912	28.37360	Scombridae		spp		6	AD	Passing			
EG-C01-045	19	20240505_R03_L04_Left_MAH00469.MP4	26668	20240505_R03_L04_Right_MAH00291.MP4	26061	29.97161	1	28.61525	203.75144	-305.09353	-826.36158	0.51605	0.64337	1.37685	6.46713	904.14058	23.92607	Bothidae		spp		1	AD	Passing			
EG-C01-046	0	20240505_R15_L16_Left_MAH00768.MP4	733	20240505_R15_L16_Right_MAH00360.MP4	1699	0.20381		-1.00000	-103.31570	2.50431	-841.68832	0.44828	0.40998	1.41658	0.32974	848.00922	6.99799								Sync		
EG-C01-046	4	20240505_R15_L16_Left_MAH00768.MP4	14626	20240505_R15_L16_Right_MAH00360.MP4	15592	4.06684	1	1.22039	-23.30053	-2.78566	-970.36020	0.48257	0.47241	1.88543	0.84377	970.64390	1.40820	Labridae	Choerodon	spp		1	AD	Passing			
EG-C01-046	25	20240505_R15_L16_Left_MAH00768.MP4	42651	20240505_R15_L16_Right_MAH00360.MP4	43617	11.85935	1	9.01289	-500.39375	-130.20248	-1150.04936	1.18161	0.61543	2.51650	0.09719	1260.93621	24.24329	Lethrinidae	Lethrinus	punctulatus	37351001	1	AD	Passing			
EG-C01-046	34	20240505_R15_L16_Left_MAH00769.MP4	44498	20240505_R15_L16_Right_MAH00361.MP4	45464	34.92934	1	32.08288	-595.73181	-220.16590	-1563.24441	1.86468	0.98494	4.68836	1.36066	1687.33592	22.15877	Labridae	Choerodon	cauteroma	37384005	1	AD	Passing			
