OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
69420	0	0	1694.92228	821.49597	184.04145	781.72612
69420	1	0	290.98446	806.58228	315.85492	785.45455
69420	2	0	104.45596	760.59839	77.09845	730.77100
69420	2	1	266.11399	761.84120	212.64249	744.44189
69420	3	0	392.95337	566.72037	268.60104	539.37860
69420	3	1	475.02591	560.50633	353.16062	534.40736
69420	4	0	483.73057	825.22440	431.50259	789.18297
69420	4	1	598.13472	805.33947	553.36788	764.32681
69420	5	0	504.87047	920.92060	497.40933	878.66513
69420	5	1	585.69948	915.94937	563.31606	872.45109
69420	6	0	1336.78756	822.73878	1206.21762	776.75489
69420	6	1	1452.43523	784.21174	1347.97927	730.77100
69420	7	0	772.22798	1024.07365	207.66839	994.24626
69420	7	1	839.37824	1024.07365	246.21762	1014.13119
69420	8	0	797.09845	635.07480	665.28497	607.73303
69420	8	1	964.97409	693.48677	799.58549	653.71692
69420	9	0	598.13472	623.88953	601.86528	596.54776
69420	9	1	700.10363	687.27273	702.59067	653.71692
69420	10	0	972.43523	196.36364	891.60622	147.89413
69420	10	1	1014.71503	157.83659	932.64249	106.88147
69420	11	0	1063.21244	804.09666	767.25389	760.59839
69420	11	1	988.60104	746.92750	713.78238	713.37169
69420	12	0	1106.73575	273.41772	1025.90674	218.73418
69420	12	1	1175.12953	213.76295	1100.51813	159.07940
69420	13	0	450.15544	520.73648	315.85492	500.85155
69420	13	1	534.71503	484.69505	390.46632	469.78136
69420	14	0	848.08290	727.04258	768.49741	692.24396
69420	14	1	933.88601	673.60184	835.64767	628.86076
69420	15	0	748.60104	707.15765	676.47668	671.11623
69420	15	1	826.94301	637.56041	759.79275	600.27618
69420	16	0	793.36788	739.47066	657.82383	707.15765
69420	16	1	734.92228	744.44189	581.96891	712.12888
69420	17	0	723.73057	626.37514	565.80311	601.51899
69420	17	1	783.41969	569.20598	620.51813	531.92175
69420	18	0	710.05181	456.11047	634.19689	420.06904
69420	18	1	675.23316	453.62486	583.21244	426.28308
69420	19	0	1168.91192	525.70771	942.59067	473.50978
69420	19	1	1279.58549	485.93786	1039.58549	433.73993
69420	20	0	1241.03627	361.65708	1054.50777	310.70196
69420	20	1	1147.77202	364.14269	977.40933	315.67319
69420	21	0	1083.10881	475.99540	706.32124	436.22555
69420	21	1	1017.20207	469.78136	649.11917	431.25432
69420	22	0	986.11399	712.12888	942.59067	667.38780
69420	22	1	882.90155	755.62716	846.83938	712.12888
