opcode,period,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,observer,successful_count,successful_length,comment,transect_length
69417,T1,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69417,T2,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69417,T3,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69417,T4,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69417,T5,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69417,T6,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69417,T7,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69417,T8,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69417,T9,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69417,T10,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69417,T11,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69417,T12,-21.9482,114.4179,2013-11-07T12:00:00+08:00,Y Island,Pilbara,Fished,,,No,No,Right Cam zoomed,25
69418,T1,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69418,T2,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69418,T3,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69418,T4,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69418,T5,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69418,T6,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69418,T7,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69418,T8,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69418,T9,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69418,T10,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69418,T11,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69418,T12,-21.6567,114.3736,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,CAL is way out. Maybe in wrong housings?,25
69419,T1,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69419,T2,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69419,T3,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69419,T4,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69419,T5,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69419,T6,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69419,T7,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69419,T8,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69419,T9,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69419,T10,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69419,T11,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69419,T12,-21.6556,114.3722,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,,No,No,RightCam Zoomed,25
69420,T1,-21.646,114.3545,2013-11-07T12:00:00+08:00,North Muiron Island,Pilbara,Fished,,Todd Bond,Yes,Yes,,25
