OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
69420	1.09	2024 09 25 14:38:56	G:\	69420.EMObs
69421	1.09	2024 09 25 14:38:56	F:\Converted\	69421.EMObs
69422	1.09	2024 09 25 14:38:56	E:\	69422.EMObs
69424	1.09	2024 09 25 14:38:56	E:\	69424.EMObs
69426	1.09	2024 09 25 14:38:56	E:\	69426.EMObs
69427	1.09	2024 09 25 14:38:56	F:\Converted\	69427.EMObs
69428	1.09	2024 09 25 14:38:56	E:\	69428.EMObs
69429	1.09	2024 09 25 14:38:56	D:\	69429.EMObs
69430	1.09	2024 09 25 14:38:56	E:\	69430.EMObs
69431	1.09	2024 09 25 14:38:56	I:\	69431.EMObs
69434	1.09	2024 09 25 14:38:56	E:\	69434.EMObs
69436	1.09	2024 09 25 14:38:56	E:\	69436.EMObs
69438	1.09	2024 09 25 14:38:56	E:\	69438.EMObs
69439	1.09	2024 09 25 14:38:56	I:\	69439.EMObs
69440	1.09	2024 09 25 14:38:56	E:\	69440.EMObs
69441	1.09	2024 09 25 14:38:56	E:\	69441.EMObs
69442	1.09	2024 09 25 14:38:56	I:\	69442.EMObs
69444	1.09	2024 09 25 14:38:56	E:\	69444.EMObs
69446	1.09	2024 09 25 14:38:56	E:\	69446.EMObs
69447	1.09	2024 09 25 14:38:56	D:\	69447.EMObs
69448	1.09	2024 09 25 14:38:56	E:\	69448.EMObs
69449	1.09	2024 09 25 14:38:56	D:\	69449.EMObs
69451	1.09	2024 09 25 14:38:56	I:\	69451.EMObs
69452	1.09	2024 09 25 14:38:56	E:\	69452.EMObs
69453	1.09	2024 09 25 14:38:56	I:\	69453.EMObs
69454	1.09	2024 09 25 14:38:56	E:\	69454.EMObs
69456	1.09	2024 09 25 14:38:56	E:\	69456.EMObs
69457	1.09	2024 09 25 14:38:56	I:\	69457.EMObs
69458	1.09	2024 09 25 14:38:56	E:\	69458.EMObs
69460	1.09	2024 09 25 14:38:56	E:\	69460.EMObs
69461	1.09	2024 09 25 14:38:56	D:\	69461.EMObs
69463	1.09	2024 09 25 14:38:56	D:\	69463.EMObs
69464	1.09	2024 09 25 14:38:56	E:\	69464.EMObs
