Dot Point Measurements

Generated: Friday 22 July 2022 11:50:49

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Broad	Morphology	Type	Fine	FieldOfView	CAAB_CODE			Radius %
npz6.10.JPG	      0		2036	2929													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			70.2
npz6.10.JPG	      0		2426	2709													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			59.3
npz6.10.JPG	      0		1892	2439													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			42.1
npz6.10.JPG	      0		2132	1750													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			3.3
npz6.10.JPG	      0		2654	1734													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			33.0
npz6.10.JPG	      0		1499	1610													Unknown			Open					40.8
npz6.10.JPG	      0		2375	2412													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			40.9
npz6.10.JPG	      0		1501	2629													Unknown			Open					64.4
npz6.10.JPG	      0		1887	2341													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			36.6
npz6.10.JPG	      0		1454	1467													Unknown			Open					46.7
npz6.10.JPG	      0		2490	320													Unknown			Limited					94.7
npz6.10.JPG	      0		1890	939													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			55.6
npz6.10.JPG	      0		1964	1009													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			50.3
npz6.10.JPG	      0		2014	196													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			100.0
npz6.10.JPG	      0		2182	956													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			52.6
npz6.10.JPG	      0		2579	2105													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			33.8
npz6.10.JPG	      0		2424	829													Unknown			Limited					63.1
npz6.10.JPG	      0		2398	3049													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			79.2
npz6.10.JPG	      0		2653	2645													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			61.7
npz6.10.JPG	      0		2092	1977													Unconsolidated	Pebble	gravel (gravel 2-10mm)	Open		82001011			11.1
npz6.12.JPG	      0		1862	384													Unconsolidated	Sand	mud (fine sand)	Open		82001015			100.0
npz6.12.JPG	      0		1895	1294													Unconsolidated	Sand	mud (fine sand)	Open		82001015			52.2
npz6.12.JPG	      0		2000	3566													Unconsolidated	Sand	mud (fine sand)	Open		82001015			67.5
npz6.12.JPG	      0		1622	3362													Open Water			Open					60.2
npz6.12.JPG	      0		2589	3047													Unconsolidated	Sand	mud (fine sand)	Open		82001015			50.7
npz6.12.JPG	      0		2004	906													Unconsolidated	Sand	mud (fine sand)	Open		82001015			72.3
npz6.12.JPG	      0		2033	3032													Unconsolidated	Sand	mud (fine sand)	Open		82001015			39.5
npz6.12.JPG	      0		1744	1812													Unconsolidated	Sand	mud (fine sand)	Open		82001015			28.1
npz6.12.JPG	      0		1731	2894													Unconsolidated	Sand	mud (fine sand)	Open		82001015			35.2
npz6.12.JPG	      0		1860	2162													Unconsolidated	Sand	mud (fine sand)	Open		82001015			9.7
npz6.12.JPG	      0		1513	1384													Open Water			Open					53.7
npz6.12.JPG	      0		2061	3078													Unconsolidated	Sand	mud (fine sand)	Open		82001015			42.0
npz6.12.JPG	      0		1733	2265													Unknown			Open					14.1
npz6.12.JPG	      0		2087	3557													Unconsolidated	Sand	mud (fine sand)	Open		82001015			67.2
npz6.12.JPG	      0		1936	2191													Unconsolidated	Sand	mud (fine sand)	Open		82001015			5.9
npz6.12.JPG	      0		2388	2473													Unconsolidated	Sand	mud (fine sand)	Open		82001015			22.7
npz6.12.JPG	      0		1795	2260													Unconsolidated	Sand	mud (fine sand)	Open		82001015			10.9
npz6.12.JPG	      0		1945	667													Unconsolidated	Sand	mud (fine sand)	Open		82001015			84.9
npz6.12.JPG	      0		2491	2049													Unconsolidated	Sand	mud (fine sand)	Open		82001015			28.5
npz6.12.JPG	      0		2734	3243													Unconsolidated	Sand	mud (fine sand)	Open		82001015			63.6
npz6.13.JPG	      0		1922	1563													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			20.5
npz6.13.JPG	      0		1464	2699													Open Water			Open					49.5
npz6.13.JPG	      0		2614	994													Sponges	Massive forms		Open		10000903			68.2
npz6.13.JPG	      0		2374	1037													Invertebrate Complex	Complex 1		Open					58.3
npz6.13.JPG	      0		1737	3431													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			86.3
npz6.13.JPG	      0		2205	810													Invertebrate Complex	Complex 1		Open					66.1
npz6.13.JPG	      0		1539	3486													Unknown			Open					90.9
npz6.13.JPG	      0		1585	1598													Unknown			Open					23.4
npz6.13.JPG	      0		1564	372													Open Water			Open					89.2
npz6.13.JPG	      0		1809	1288													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			35.8
npz6.13.JPG	      0		1615	1531													Unknown			Open					25.5
npz6.13.JPG	      0		1625	311													Unknown			Open					92.1
npz6.13.JPG	      0		2035	2959													Sponges	Massive forms		Open		10000903			60.2
npz6.13.JPG	      0		1493	1675													Open Water			Open					24.3
npz6.13.JPG	      0		2555	1396													Invertebrate Complex	Complex 1		Open					50.0
npz6.13.JPG	      0		1800	474													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			82.0
npz6.13.JPG	      0		1638	3632													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			98.3
npz6.13.JPG	      0		1408	2457													Open Water			Open					39.6
npz6.13.JPG	      0		1685	3668													Invertebrate Complex	Complex 1		Open					100.0
npz6.13.JPG	      0		2274	2942													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			63.1
npz6.14.JPG	      0		1428	3101													Open Water			Open					61.5
npz6.14.JPG	      0		1779	2363													Unknown			Open					16.3
npz6.14.JPG	      0		1486	1439													Open Water			Open					44.8
npz6.14.JPG	      0		1861	742													Sponges	Massive forms		Open		10000903			76.0
npz6.14.JPG	      0		1659	2330													Unknown			Open					19.4
npz6.14.JPG	      0		1478	3323													Open Water			Open					71.6
npz6.14.JPG	      0		2194	2802													Sponges	Massive forms		Open		10000903			40.8
npz6.14.JPG	      0		1492	1696													Open Water			Open					33.6
npz6.14.JPG	      0		2715	483													Macroalgae	Erect fine branching	Red	Open		90300910			100.0
npz6.14.JPG	      0		2253	3020													Unknown			Limited					53.2
npz6.14.JPG	      0		1438	579													Open Water			Open					89.2
npz6.14.JPG	      0		2346	1927													Macroalgae	Large canopy-forming	Ecklonia radiata	Open		54080001			25.0
npz6.14.JPG	      0		2088	2516													Sponges	Massive forms		Open		10000903			23.9
npz6.14.JPG	      0		2146	754													Macroalgae	Erect fine branching	Red	Open		90300910			76.1
npz6.14.JPG	      0		2300	3085													Unknown			Limited					57.5
npz6.14.JPG	      0		1414	2054													Open Water			Open					29.0
npz6.14.JPG	      0		2519	3354													Unknown			Limited					75.9
npz6.14.JPG	      0		1443	1936													Open Water			Open					28.9
npz6.14.JPG	      0		2302	1095													Macroalgae	Erect fine branching	Red	Open		90300910			59.9
npz6.14.JPG	      0		2350	3647													Unknown			Limited					88.0
npz6.15.JPG	      0		2142	21													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			100.0
npz6.15.JPG	      0		2432	631													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			72.7
npz6.15.JPG	      0		2639	3056													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			41.9
npz6.15.JPG	      0		2920	3339													Unknown			Limited					59.2
npz6.15.JPG	      0		1628	1957													Open Water			Open					30.5
npz6.15.JPG	      0		1604	2280													Open Water			Open					29.3
npz6.15.JPG	      0		2404	3479													Unknown			Open					57.6
npz6.15.JPG	      0		2428	1440													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			36.4
npz6.15.JPG	      0		1680	2273													Open Water			Open					25.8
npz6.15.JPG	      0		1737	3976													Open Water			Open					82.9
npz6.15.JPG	      0		2765	2528													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			27.4
npz6.15.JPG	      0		2712	877													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			64.6
npz6.15.JPG	      0		2470	571													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			75.6
npz6.15.JPG	      0		2433	2552													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			17.3
npz6.15.JPG	      0		2003	3229													Open Water			Open					47.0
npz6.15.JPG	      0		2215	1919													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			13.8
npz6.15.JPG	      0		1771	3403													Open Water			Open					57.8
npz6.15.JPG	      0		2982	2586													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			37.3
npz6.15.JPG	      0		1965	3615													Open Water			Open					64.5
npz6.15.JPG	      0		1981	695													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			70.3
npz6.18.JPG	      0		1721	381													Unconsolidated	Sand	mud (fine sand)	Open		82001015			88.8
npz6.18.JPG	      0		1567	3174													Unconsolidated	Sand	mud (fine sand)	Open		82001015			65.5
npz6.18.JPG	      0		2839	1404													Unconsolidated	Sand	mud (fine sand)	Open		82001015			47.4
npz6.18.JPG	      0		2816	1856													Unconsolidated	Sand	mud (fine sand)	Open		82001015			34.1
npz6.18.JPG	      0		2211	2191													Unconsolidated	Sand	mud (fine sand)	Open		82001015			7.2
npz6.18.JPG	      0		1577	1347													Open Water			Open					47.6
npz6.18.JPG	      0		2832	3271													Unconsolidated	Sand	mud (fine sand)	Open		82001015			70.7
npz6.18.JPG	      0		2027	2748													Unconsolidated	Sand	mud (fine sand)	Open		82001015			36.4
npz6.18.JPG	      0		1617	1580													Unconsolidated	Sand	mud (fine sand)	Open		82001015			37.7
npz6.18.JPG	      0		1551	1299													Open Water			Open					50.3
npz6.18.JPG	      0		2603	147													Unconsolidated	Sand	mud (fine sand)	Open		82001015			100.0
npz6.18.JPG	      0		2346	2787													Unconsolidated	Sand	mud (fine sand)	Open		82001015			38.5
npz6.18.JPG	      0		2277	1373													Unconsolidated	Sand	mud (fine sand)	Open		82001015			35.2
npz6.18.JPG	      0		2280	3951													Unconsolidated	Sand	mud (fine sand)	Open		82001015			97.3
npz6.18.JPG	      0		1803	2974													Unconsolidated	Sand	mud (fine sand)	Open		82001015			51.0
npz6.18.JPG	      0		2213	749													Unconsolidated	Sand	mud (fine sand)	Open		82001015			66.8
npz6.18.JPG	      0		1555	1677													Open Water			Open					37.4
npz6.18.JPG	      0		1997	2704													Unconsolidated	Sand	mud (fine sand)	Open		82001015			34.6
npz6.18.JPG	      0		2847	3800													Unconsolidated	Sand	mud (fine sand)	Open		82001015			95.7
npz6.18.JPG	      0		2944	1656													Unconsolidated	Sand	mud (fine sand)	Open		82001015			44.0
npz6.2.JPG	      0		2448	67													Macroalgae	Encrusting	Red	Open		80300929			97.5
npz6.2.JPG	      0		1929	2839													Consolidated	Cobbles	No biota	Open		82001004			31.9
npz6.2.JPG	      0		1810	3200													Sponges	Erect forms		Open		10000912			49.2
npz6.2.JPG	      0		1751	640													Consolidated	Cobbles	No biota	Open		82001004			70.9
npz6.2.JPG	      0		1755	2673													Macroalgae	Erect fine branching	Red	Open		90300910			27.5
npz6.2.JPG	      0		2194	3346													Consolidated	Cobbles	No biota	Open		82001004			55.0
npz6.2.JPG	      0		1610	23													Unknown			Open					100.0
npz6.2.JPG	      0		1727	2402													Macroalgae	Large canopy-forming	Ecklonia radiata	Open		54080001			18.9
npz6.2.JPG	      0		2174	3171													Macroalgae	Erect fine branching	Red	Open		90300910			46.9
npz6.2.JPG	      0		2721	3645													Unknown			Limited					74.9
