level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code
Ascidians	Stalked	Colonial				35000906
Ascidians	Stalked	Solitary				35000905
Ascidians	Stalked					35000904
Ascidians	Unstalked	Colonial				35000903
Ascidians	Unstalked	Solitary				35000902
Ascidians	Unstalked					35000901
Ascidians						35000000
Bacterial mats	Cyanobacteria					70000901
Bacterial mats	Other					72000902
Bacterial mats						72000901
Bedforms	2D	Ripples (<10cm height)				82002003
Bedforms	2D	Waves (>10cm height)				82002004
Bedforms	2D					82002002
Bedforms	3D	Ripples (<10cm height)				82002007
Bedforms	3D	Waves (>10cm height)				82002008
Bedforms	3D					82002006
Bedforms	Bioturbated					82002005
Bedforms	None					82002001
Bedforms						82002000
Bioturbation	Crawling traces	Complex trail				81005003
Bioturbation	Crawling traces	Crater row				81005006
Bioturbation	Crawling traces	Disturbed trace				81005007
Bioturbation	Crawling traces	Mounded trail				81005004
Bioturbation	Crawling traces	Perforated trail				81005005
Bioturbation	Crawling traces	Thick trail				81005002
Bioturbation	Crawling traces	Thin trail				81005001
Bioturbation	Crawling traces					81005000
Bioturbation	Dwelling traces	Burrow cluster				81001004
Bioturbation	Dwelling traces	Crater cone				81001012
Bioturbation	Dwelling traces	Elongate depression				81001001
Bioturbation	Dwelling traces	Fractured mound				81001013
Bioturbation	Dwelling traces	Large mound				81001002
Bioturbation	Dwelling traces	Oblique burrow				81001005
Bioturbation	Dwelling traces	Paired burrow				81001007
Bioturbation	Dwelling traces	Rounded crater ring				81001010
Bioturbation	Dwelling traces	Single burrow				81001006
Bioturbation	Dwelling traces	Small mound				81001003
Bioturbation	Dwelling traces	Spiked crater ring				81001011
Bioturbation	Dwelling traces	Spotted mound				81001014
Bioturbation	Dwelling traces	Trapdoor burrow				81001009
Bioturbation	Dwelling traces	Vertical burrow				81001008
Bioturbation	Dwelling traces					81001000
Bioturbation	Feeding traces	Large rosette				81004001
Bioturbation	Feeding traces	Petal rosette				81004003
Bioturbation	Feeding traces	Pincushion rosette				81004005
Bioturbation	Feeding traces	Rayed mound				81004004
Bioturbation	Feeding traces	Small rosette				81004002
Bioturbation	Feeding traces					81004000
Bioturbation	Organism tests	Globule xenophyophore				81006002
Bioturbation	Organism tests	Lumpy xenophyophore				81006001
Bioturbation	Organism tests					81006000
Bioturbation	Resting traces	Large depression				81003003
Bioturbation	Resting traces	Star impression				81003002
Bioturbation	Resting traces	Urchin trace				81003001
Bioturbation	Resting traces					81003000
Bioturbation	Unknown origin	Fern				81007006
Bioturbation	Unknown origin	Matchstick				81007005
Bioturbation	Unknown origin	Mesh				81007003
Bioturbation	Unknown origin	Ovoid pinnate				81007001
Bioturbation	Unknown origin	Pogostick				81007007
Bioturbation	Unknown origin	Round pinnate				81007002
Bioturbation	Unknown origin	Spider				81007004
Bioturbation	Unknown origin					81007000
Bioturbation	Waste casts	Coiled casts				81002001
Bioturbation	Waste casts	Curly casts				81002005
Bioturbation	Waste casts	Mounded casts				81002004
Bioturbation	Waste casts	Nest casts				81002006
Bioturbation	Waste casts	Round casts				81002003
Bioturbation	Waste casts	Spirals				81002007
Bioturbation	Waste casts	Switchbacks				81002008
Bioturbation	Waste casts	Wavy casts				81002002
Bioturbation	Waste casts					81002000
Bioturbation						81000000
Brachiopods						19100000
Bryozoa	Hard	Branching				20000908
Bryozoa	Hard	Encrusting				20000902
Bryozoa	Hard	Fenestrate				20000903
Bryozoa	Hard	Massive				20000904
Bryozoa	Hard					20000901
Bryozoa	Soft	Dendroid				20000906
Bryozoa	Soft	Foliaceous				20000907
Bryozoa	Soft					20000905
Bryozoa						20000000
Cnidaria	Colonial anemones	Corallimorphs				11280000
Cnidaria	Colonial anemones	Zoanthids				11284000
Cnidaria	Colonial anemones					11500901
Cnidaria	Corals	Black & Octocorals				11168901
Cnidaria	Corals	Black & Octocorals			Alive	11168901
Cnidaria	Corals	Black & Octocorals			Recruit	11168901
Cnidaria	Corals	Black & Octocorals			Bleached	11168901
Cnidaria	Corals	Black & Octocorals			Dead	11168901
Cnidaria	Corals	Black & Octocorals			Recently dead	11168901
Cnidaria	Corals	Black & Octocorals	Blue coral (Heliopora)			11171000
Cnidaria	Corals	Black & Octocorals	Blue coral (Heliopora)		Alive	11171000
Cnidaria	Corals	Black & Octocorals	Blue coral (Heliopora)		Recruit	11171000
Cnidaria	Corals	Black & Octocorals	Blue coral (Heliopora)		Bleached	11171000
Cnidaria	Corals	Black & Octocorals	Blue coral (Heliopora)		Dead	11171000
Cnidaria	Corals	Black & Octocorals	Blue coral (Heliopora)		Recently dead	11171000
Cnidaria	Corals	Black & Octocorals	Branching (3D)			11168902
Cnidaria	Corals	Black & Octocorals	Branching (3D)		Alive	11168902
Cnidaria	Corals	Black & Octocorals	Branching (3D)		Recruit	11168902
Cnidaria	Corals	Black & Octocorals	Branching (3D)		Bleached	11168902
Cnidaria	Corals	Black & Octocorals	Branching (3D)		Dead	11168902
Cnidaria	Corals	Black & Octocorals	Branching (3D)		Recently dead	11168902
Cnidaria	Corals	Black & Octocorals	Encrusting			11168919
Cnidaria	Corals	Black & Octocorals	Encrusting		Alive	11168919
Cnidaria	Corals	Black & Octocorals	Encrusting		Recruit	11168919
Cnidaria	Corals	Black & Octocorals	Encrusting		Bleached	11168919
Cnidaria	Corals	Black & Octocorals	Encrusting		Dead	11168919
Cnidaria	Corals	Black & Octocorals	Encrusting		Recently dead	11168919
Cnidaria	Corals	Black & Octocorals	Fan (2D)			11168912
Cnidaria	Corals	Black & Octocorals	Fan (2D)		Alive	11168912
Cnidaria	Corals	Black & Octocorals	Fan (2D)		Recruit	11168912
Cnidaria	Corals	Black & Octocorals	Fan (2D)		Bleached	11168912
Cnidaria	Corals	Black & Octocorals	Fan (2D)		Dead	11168912
Cnidaria	Corals	Black & Octocorals	Fan (2D)		Recently dead	11168912
Cnidaria	Corals	Black & Octocorals	Massive soft corals			11168920
Cnidaria	Corals	Black & Octocorals	Massive soft corals		Alive	11168920
Cnidaria	Corals	Black & Octocorals	Massive soft corals		Recruit	11168920
Cnidaria	Corals	Black & Octocorals	Massive soft corals		Bleached	11168920
Cnidaria	Corals	Black & Octocorals	Massive soft corals		Dead	11168920
Cnidaria	Corals	Black & Octocorals	Massive soft corals		Recently dead	11168920
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)			11201901
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)		Alive	11201901
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)		Recruit	11201901
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)		Bleached	11201901
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)		Dead	11201901
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)		Recently dead	11201901
Cnidaria	Corals	Black & Octocorals	Quill (seapen)			11168918
Cnidaria	Corals	Black & Octocorals	Quill (seapen)		Alive	11168918
Cnidaria	Corals	Black & Octocorals	Quill (seapen)		Recruit	11168918
Cnidaria	Corals	Black & Octocorals	Quill (seapen)		Bleached	11168918
Cnidaria	Corals	Black & Octocorals	Quill (seapen)		Dead	11168918
Cnidaria	Corals	Black & Octocorals	Quill (seapen)		Recently dead	11168918
Cnidaria	Corals	Black & Octocorals	Whip			11168917
Cnidaria	Corals	Black & Octocorals	Whip		Alive	11168917
Cnidaria	Corals	Black & Octocorals	Whip		Recruit	11168917
Cnidaria	Corals	Black & Octocorals	Whip		Bleached	11168917
Cnidaria	Corals	Black & Octocorals	Whip		Dead	11168917
Cnidaria	Corals	Black & Octocorals	Whip		Recently dead	11168917
Cnidaria	Corals	Stony corals				11290000
Cnidaria	Corals	Stony corals			Alive	11290000
Cnidaria	Corals	Stony corals			Recruit	11290000
Cnidaria	Corals	Stony corals			Bleached	11290000
Cnidaria	Corals	Stony corals			Dead	11290000
Cnidaria	Corals	Stony corals			Recently dead	11290000
Cnidaria	Corals	Stony corals	Bottlebrush			11290904
Cnidaria	Corals	Stony corals	Bottlebrush		Alive	11290904
Cnidaria	Corals	Stony corals	Bottlebrush		Recruit	11290904
