campaignid,opcode,family,genus,species,count,caab_code
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Bothidae,Unknown,spp,1,37460922
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Carangidae,Atropus,hedlandensis,1,37337042
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Carangidae,Gnathanodon,speciosus,9,37337012
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Carangidae,Selaroides,leptolepis,58,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Fistulariidae,Fistularia,commersonii,1,37278001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Labridae,Choerodon,cauteroma,1,37384005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Labridae,Choerodon,cephalotes,2,37384004
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Leiognathidae,Unknown,spp,1,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Lethrinidae,Lethrinus,laticaudis,3,37351006
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Mullidae,Parupeneus,heptacanthus,1,37355004
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Mullidae,Upeneus,tragula,7,37355014
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Nemipteridae,Pentapodus,porosus,22,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Pinguipedidae,Parapercis,nebulosa,1,37390005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Scombridae,Scomberomorus,spp,2,37441792
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Siganidae,Siganus,fuscescens,13,37438001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Sphyraenidae,Sphyraena,jello,1,37382004
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-043,Carangidae,Atule,mate,1,37337024
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-043,Carangidae,Selaroides,leptolepis,26,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-043,Carangidae,Turrum,fulvoguttatum,1,37337037
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-043,Haemulidae,Diagramma,pictum,2,37350003
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-043,Leiognathidae,Unknown,spp,6,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-043,Mullidae,Upeneus,tragula,3,37355014
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-043,Nemipteridae,Pentapodus,porosus,9,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-043,Scombridae,Scomberomorus,spp,7,37441792
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Bothidae,Unknown,spp,1,37460922
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Carangidae,Atule,mate,53,37337024
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Carangidae,Selaroides,leptolepis,56,37337015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Carangidae,Turrum,fulvoguttatum,3,37337037
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Leiognathidae,Unknown,spp,1,37341000
