campaignid,opcode,family,genus,species,number,length_mm,range_mm,rms_mm,precision_mm,caab_code
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Fistulariidae,Fistularia,commersonii,1,NA,1463.19475,1.45694,NA,37278001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Labridae,Choerodon,cephalotes,1,NA,1862.86886,1.81575,NA,37384004
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Labridae,Choerodon,cephalotes,1,NA,1873.74401,0.98722,NA,37384004
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-001,Bothidae,Unknown,spp,1,NA,1708.62142,6.52006,NA,37460922
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-043,Haemulidae,Diagramma,pictum,1,NA,1534.34222,1.1977,NA,37350003
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Leiognathidae,Unknown,spp,1,NA,543.39335,3.48041,NA,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Nemipteridae,Pentapodus,porosus,1,NA,367.83711,3.82168,NA,37347007
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Scombridae,Scomberomorus,spp,1,NA,541.20606,2.54799,NA,37441792
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Mullidae,Upeneus,spp,1,NA,1690.88245,6.80324,NA,37355903
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-044,Bothidae,Unknown,spp,1,NA,1276.26561,0.71924,NA,37460922
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Carangidae,Turrum,fulvoguttatum,1,NA,1524.76516,1.14803,NA,37337037
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Carangidae,Turrum,fulvoguttatum,1,NA,1485.35936,1.6544,NA,37337037
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Scombridae,Unknown,spp,6,NA,1861.30912,2.10212,NA,37441000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-045,Bothidae,Unknown,spp,1,NA,904.14058,6.46713,NA,37460922
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Labridae,Choerodon,spp,1,NA,970.6439,0.84377,NA,37384902
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Lethrinidae,Lethrinus,punctulatus,1,NA,1260.93621,0.09719,NA,37351001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Labridae,Choerodon,cauteroma,1,NA,1687.33592,1.36066,NA,37384005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-046,Mullidae,Parupeneus,heptacanthus,1,NA,1479.03411,0.70805,NA,37355004
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Nemipteridae,Nemipterus,furcosus,1,NA,1106.56617,2.08135,NA,37347005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Synodontidae,Saurida,undosquamis,1,NA,1289.81431,0.24199,NA,37118001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Leiognathidae,Unknown,spp,3,NA,1156.40412,0.9708,NA,37341000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Tetraodontidae,Unknown,spp,1,NA,1122.62928,0.49774,NA,37467000
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C01-047,Balistidae,Abalistes,stellatus,1,NA,1794.92042,0.32867,NA,37465011
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Scombridae,Scomberomorus,spp,1,NA,1710.6546,5.99649,NA,37441792
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Sphyrnidae,Sphyrna,lewini,1,NA,1212.10935,0.89477,NA,37019001
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Nemipteridae,Pentapodus,vitta,1,NA,1725.28579,0.92638,NA,37347022
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,Hemiscylliidae,Chiloscyllium,punctatum,1,NA,1078.08283,0.77333,NA,37013008
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Serranidae,Epinephelus,rivulatus,1,NA,842.07427,0.16614,NA,37311022
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Lethrinidae,Lethrinus,atkinsoni,1,NA,1517.40529,2.02151,NA,37351013
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Labridae,Choerodon,cyanodus,2,NA,1322.13933,5.44834,NA,37384072
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Serranidae,Epinephelus,quoyanus,1,NA,983.40959,0.63514,NA,37311040
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Pomacentridae,Pomacentrus,spp,1,NA,1327.69733,1.12681,NA,37372918
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Labridae,Cheilio,inermis,1,NA,1202.77418,0.62781,NA,37384070
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Mullidae,Parupeneus,spilurus,2,NA,1409.54885,0.53158,NA,37355015
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Mullidae,Parupeneus,indicus,2,NA,1360.41218,3.80283,NA,37355005
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,Labridae,Suezichthys,cyanolaemus,1,NA,1303.44958,0.90617,NA,37384161
