campaignid,opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,observer_count,observer_length,juvenile_lethrinids,successful_count,successful_length,drop_lengths_due_to_vis,visibility_m,raw_hdd_number,left_camera,right_camera,forwards_habitat_image_saved,successful_habitat_forward,observer_habitat_forward,maxn_complete_date,maxn_checker,length_complete_date,comment,strata,inclusion_probability,priority,sampling_design
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-048,-21.8,114.54,2024-05-01T08:18:54+08:00,C02,Exmouth Gulf,Fished,1,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,4,1,L002,R001,Yes,Yes,Nidhi Menon,21/05/2024,Alex McLennan,23/07/2024,GPS off,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-049,-21.8,114.53,2024-05-01T08:28:55+08:00,C02,Exmouth Gulf,Fished,1.3,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,4,1,L004,R003,Yes,Yes,Nidhi Menon,29/05/2024,Alex McLennan,23/07/2024,GPS off,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-050,-21.81,114.55,2024-05-01T08:31:54+08:00,C02,Exmouth Gulf,Fished,3.3,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,2,1,L008,R007,Yes,Yes,Nidhi Menon,30/05/2024,Alex McLennan,24/07/2024,GPS off,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-051,-21.78,114.55,2024-05-01T08:40:00+08:00,C02,Exmouth Gulf,Fished,8.7,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L010,R009,Yes,Yes,Nidhi Menon,26/06/2024,Alex McLennan,30/07/2024,GPS off,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-052,-21.77,114.55,2024-05-01T08:51:27+08:00,C02,Exmouth Gulf,Fished,8.5,Bri Beaulieu,Daniel Agnello,,Yes,Yes,Maybe,2,1,L014,R013,Yes,Yes,Nidhi Menon,11/06/2024,Alex McLennan,30/07/2024,GPS off,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C02-002,-21.77,114.55,2024-05-01T08:57:02+08:00,C02,Exmouth Gulf,Fished,9.8,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L016,R015,Yes,Yes,Nidhi Menon,27/06/2024,Alex McLennan,30/07/2024,GPS off,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-001,-21.81,114.54,2024-05-01T09:17:13+08:00,CPO,Exmouth Gulf,Fished,2.9,,,,,No,,2.5,1,L018,R017,,,,,,,"Pre and Post-Cals are bad. Assumed the camera was not placed in the housing correctly. GPS off, captain pick ",,NA,,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C14-111,-21.68,114.47,2024-05-01T09:29:12+08:00,C14,Exmouth Gulf,Fished,15.4,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,2,1,L006,R005,Yes,Yes,Nidhi Menon,11/06/2024,Alex McLennan,30/07/2024,GPS location wrong use sample plan location. Filmed the wrong opcode at the start.,filter_feeders,2.625901012e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C14-112,-21.68,114.48,2024-05-01T09:33:16+08:00,C14,Exmouth Gulf,Fished,14.9,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L024,R023,Yes,Yes,Nidhi Menon,27/06/2024,Alex McLennan,30/07/2024,GPS error not exact spot,filter_feeders,2.625901012e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C14-110,-21.69,114.49,2024-05-01T09:39:03+08:00,C14,Exmouth Gulf,Fished,15.4,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L022,R021,Yes,Yes,Nidhi Menon,28/06/2024,Alex McLennan,6/08/2024,Bait gone on retreival,filter_feeders,2.625901012e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C14-014,-21.7,114.48,2024-05-01T09:46:12+08:00,C14,Exmouth Gulf,Fished,16.3,Ryan Simms,Alex McLennan,,Yes,Yes,Maybe,1,1,L032,R031,Yes,Yes,Ryan Simms,19/08/2024,Alex McLennan,21/08/2024,Filmed the wrong opcode at the start- shows EG-C14-110. Annotated right video as left video partially obstructed,filter_feeders,2.625901012e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C14-108,-21.7,114.47,2024-05-01T09:52:22+08:00,C14,Exmouth Gulf,Fished,13.4,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,2,1,L026,R025,Yes,Yes,Nidhi Menon,13/06/2024,Alex McLennan,6/08/2024,,filter_feeders,2.625901012e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C14-109,-21.69,114.46,2024-05-01T09:58:50+08:00,C14,Exmouth Gulf,Fished,15.6,,,,,No,,2,1,L028,R1201,,,,,,,Bait gone on retreival. Footage was not saved for the right cam,filter_feeders,2.625901012e-08,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C05-065,-21.74,114.54,2024-05-01T10:52:30+08:00,C05,Exmouth Gulf,Fished,5.4,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L002,R001,Yes,Yes,Nidhi Menon,30/05/2024,Ryan Simms,2/08/2024,GPS off ,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C05-063,-21.74,114.53,2024-05-01T10:57:54+08:00,C05,Exmouth Gulf,Fished,6.8,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L004,R003,Yes,Yes,Nidhi Menon,15/06/2024,Alex McLennan,7/08/2024,GPS OFF,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C05-005,-21.74,114.53,2024-05-01T11:02:16+08:00,C05,Exmouth Gulf,Fished,4.8,Bri Beaulieu,Ryan Simms,,Yes,Yes,,4,1,L008,R007,Yes,Yes,Nidhi Menon,31/05/2024,Alex McLennan,2/08/2024,GPS off,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C05-067,-21.74,114.54,2024-05-01T11:06:05+08:00,C05,Exmouth Gulf,Fished,2.7,Bri Beaulieu,,,,No,,3.5,1,L010,R009,,,,,,,"GPS OFF, right camera off on retrieval- maxn not completed (no right cam sync)",coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C05-066,-21.74,114.53,2024-05-01T11:10:13+08:00,C05,Exmouth Gulf,Fished,2.3,,,,,No,,7,1,L014,R013,,,,,,,"GPS OFF, both cameras off on retrieval",coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C05-064,-21.74,114.53,2024-05-01T11:17:45+08:00,C05,Exmouth Gulf,Fished,7,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2.5,1,L016,R015,Yes,Yes,Nidhi Menon,2/06/2024,Alex McLennan,5/08/2024,GPS OFF,coral,3.244777936e-07,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-002,-21.74,114.53,2024-05-01T11:27:04+08:00,CPO,Exmouth Gulf,Fished,3.3,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L018,R017,Yes,Yes,Nidhi Menon,15/07/2024,Ryan Simms,5/08/2024,GPS OFF captains pick from sounder- period moved to when bruv is dragged and dropped again,,NA,,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C25-167,-21.72,114.47,2024-05-01T11:35:30+08:00,C25,Exmouth Gulf,Fished,16.9,,,,,No,,1.5,1,L028,R1201,,,,,,,Footage was not saved for the right cam,sand_sparse,4.265529192e-09,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C25-164,-21.73,114.47,2024-05-01T11:40:13+08:00,C25,Exmouth Gulf,Fished,11.2,Ryan Simms,,,Yes,,,4,1,L026,R025,Yes,Yes,Nidhi Menon,21/08/2024,,,Captains pick (previous waypoint matched C24 deployment location).,sand_sparse,4.265529192e-09,,spatially balanced - moved
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C25-166,-21.74,114.48,2024-05-01T11:47:42+08:00,C25,Exmouth Gulf,Fished,13.1,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L032,R031,Yes,Yes,Nidhi Menon,17/06/2024,Alex McLennan,7/08/2024,,sand_sparse,4.265529192e-09,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C25-025,-21.74,114.46,2024-05-01T11:57:04+08:00,C25,Exmouth Gulf,Fished,14.6,,,,,No,,1.5,1,L022,R021,,,,,,,"Pinnacle on sounder, rCam off on recovery, battery connection issue.",sand_sparse,4.265529192e-09,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C25-165,-21.77,114.47,2024-05-01T12:09:43+08:00,C25,Exmouth Gulf,Fished,13.7,,,,,,,1.5,1,L024,R023,,,,,,,"Whiteboard may be EG-C25-161, location in skippers plotter different to iPad",sand_sparse,4.265529192e-09,,spatially balanced - moved
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-C25-163,-21.78,114.46,2024-05-01T12:15:46+08:00,C25,Exmouth Gulf,Fished,14.2,Bri Beaulieu,Daniel Agnello,,Yes,Yes,Maybe,1,1,L006,R005,Yes,Yes,Nidhi Menon,23/07/2024,Daniel Agnello,12/08/2024,Vis drops drastically at 25 minutes- can get lengths from start,sand_sparse,4.265529192e-09,,spatially balanced
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-003,-21.75,114.57,2024-05-01T12:51:32+08:00,CPO,Exmouth Gulf,Fished,6.5,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,2,1,L002,R001,Yes,Yes,Nidhi Menon,15/07/2024,Daniel Agnello,6/08/2024,"GPS off, spider reef",,NA,,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-004,-21.75,114.57,2024-05-01T12:56:52+08:00,CPO,Exmouth Gulf,Fished,6.6,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,3,1,L004,R003,Yes,Yes,Nidhi Menon,16/07/2024,Daniel Agnello,6/08/2024,"GPS off, spider reef, came up with no bait left",,NA,Leave for next analysis period,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-005,-21.75,114.57,2024-05-01T12:58:32+08:00,CPO,Exmouth Gulf,Fished,4,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,3,1,L008,R007,Yes,Yes,Nidhi Menon,16/07/2024,Daniel Agnello,12/08/2024,"GPS off, spider reef, top of the tides with bust up on surface",,NA,Leave for next analysis period,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-006,-21.75,114.57,2024-05-01T13:07:07+08:00,CPO,Exmouth Gulf,Fished,5.1,,,,,No,,3.5,1,L010,R009,,,,,,,"GPS off, spider reef, right camera off on deployment ",,NA,Leave for next analysis period,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-007,-21.77,114.57,2024-05-01T13:14:36+08:00,CPO,Exmouth Gulf,Fished,11.1,Daniel Agnello,Alex McLennan,,Yes,Yes,Maybe,1,1,L016,R015,Yes,Yes,Nidhi Menon,23/07/2024,Alex McLennan,16/08/2024,"GPS off, web reef, placed on flat ground, couldn’t find interesting site at coordinates given by sally for web reef",,NA,,preferential (captains pick)
2024-05_Exmouth-Gulf_stereo-BRUVs,EG-CPO-008,-21.77,114.57,2024-05-01T13:39:33+08:00,CPO,Exmouth Gulf,Fished,11.3,,,,No,No,,0,1,L018,R017,,,,,,,"Post-Cal is good, Pre-cal is bad. GPS off, flat ground, lats and longs given by sally",,NA,,preferential (captains pick)
