Sample,Genus,Species,Count,Length,Precision,Range,Family
9DAC1-1,Bodianus,frenchii,1,296.4642,4.1025,2906.1156,Labridae
9DAC1-1,Coris,auricularis,1,121.3443,1.7931,1787.1444,Labridae
9DAC1-1,Coris,auricularis,1,91.1271,1.25,1859.3709,Labridae
9DAC1-1,Epinephelides,armatus,1,211.1589,63.4885,7231.8805,Serranidae
9DAC1-1,Ophthalmolepis,lineolatus,1,230.7489,5.7254,2596.9656,Labridae
9DAC1-1,Parma,mccullochi,1,132.2243,12.0726,3693.1588,Pomacentridae
9DAC1-1,Parma,mccullochi,1,215.0923,30.8641,5357.9619,Pomacentridae
9DAC1-1,Parma,mccullochi,1,183.1463,7.3155,3149.3674,Pomacentridae
9DAC1-1,Parma,mccullochi,1,250.45,40.6358,7362.3134,Pomacentridae
9DAC1-10,Chromis,klunzingeri,1,89.6705,1.9851,2457.7603,Pomacentridae
9DAC1-10,Chromis,klunzingeri,2,82.5814,2.6114,2526.8517,Pomacentridae
9DAC1-10,Chromis,klunzingeri,3,76.5534,2.3967,2471.8562,Pomacentridae
9DAC1-10,Chromis,klunzingeri,4,44.0957,2.0325,2482.5991,Pomacentridae
9DAC1-10,Coris,auricularis,1,155.0103,10.7589,3330.1116,Labridae
9DAC1-10,Coris,auricularis,1,133.2254,2.6573,3071.28,Labridae
9DAC1-10,Coris,auricularis,1,146.7365,2.0053,3165.8391,Labridae
9DAC1-10,Coris,auricularis,1,99.3557,1.8356,2127.0149,Labridae
9DAC1-10,Parma,mccullochi,1,133.5516,41.4438,6859.432,Pomacentridae
9DAC1-11,Parma,mccullochi,1,195.7002,27.8174,5925.751,Pomacentridae
9DAC1-11,Parma,mccullochi,1,201.1361,17.8325,5876.4663,Pomacentridae
9DAC1-11,Parma,mccullochi,2,181.7229,12.6852,5687.9609,Pomacentridae
9DAC1-11,Parma,mccullochi,3,257.135,22.6375,5912.2298,Pomacentridae
9DAC1-11,Pempheris,klunzingeri,1,76.2846,1.7065,2098.6421,Pempheridae
9DAC1-11,Pempheris,klunzingeri,2,64.7746,2.3414,2112.8153,Pempheridae
9DAC1-11,Pempheris,klunzingeri,3,89.0917,3.1751,2161.2837,Pempheridae
9DAC1-11,Pempheris,klunzingeri,1,81.1157,2.0613,2036.3082,Pempheridae
9DAC1-11,Pempheris,klunzingeri,2,93.8593,3.6965,1849.821,Pempheridae
9DAC1-11,Pempheris,klunzingeri,3,80.7688,1.682,2458.1021,Pempheridae
9DAC1-11,Pempheris,klunzingeri,4,149.4902,8.3006,2557.2836,Pempheridae
9DAC1-12,Austrolabrus,maculatus,1,62.4801,1.79,2657.3049,Labridae
9DAC1-12,Kyphosus,sydneyanus,1,375.2792,33.2566,5758.9874,Kyphosidae
9DAC1-12,Kyphosus,sydneyanus,1,549.7651,29.8433,6262.0941,Kyphosidae
9DAC1-12,Kyphosus,sydneyanus,1,228.215,14.2365,6138.9476,Kyphosidae
9DAC1-12,Parma,mccullochi,1,218.5494,3.8415,2161.9797,Pomacentridae
9DAC1-12,Parma,mccullochi,1,249.9948,23.5364,5291.2931,Pomacentridae
9DAC1-12,Parma,mccullochi,1,146.7665,7.902,2734.2226,Pomacentridae
9DAC1-12,Parma,mccullochi,1,106.0909,3.5418,2266.6129,Pomacentridae
9DAC1-12,Parma,mccullochi,1,230.8707,3.8587,1933.0978,Pomacentridae
9DAC1-12,Scorpis,georgiana,1,216.0362,9.0944,2952.0036,Scorpididae
9DAC1-2,Austrolabrus,maculatus,1,54.1832,4.4007,2368.2557,Labridae
9DAC1-2,Notolabrus,parilus,1,316.045,16.9878,5017.8685,Labridae
9DAC1-2,Ophthalmolepis,lineolatus,1,73.4623,2.6083,2313.4777,Labridae
9DAC1-2,Parma,mccullochi,1,188.863,2.028,2663.2302,Pomacentridae
9DAC1-2,Parma,mccullochi,1,217.3153,3.0754,1713.9353,Pomacentridae
9DAC1-3,Austrolabrus,maculatus,1,103.2099,4.363,2503.7897,Labridae
9DAC1-3,Coris,auricularis,1,81.8498,6.8402,2916.3836,Labridae
9DAC1-3,Coris,auricularis,1,62.19,5.1258,2715.7422,Labridae
9DAC1-3,Coris,auricularis,1,71.0266,5.5501,2293.191,Labridae
9DAC1-3,Coris,auricularis,1,98.8412,6.6645,2873.6685,Labridae
9DAC1-3,Coris,auricularis,2,86.8938,4.2273,2259.8281,Labridae
9DAC1-3,Coris,auricularis,3,131.723,11.2095,3011.9803,Labridae
9DAC1-3,Coris,auricularis,1,77.6873,3.3706,3143.1806,Labridae
9DAC1-3,Coris,auricularis,1,75.2128,5.1604,2880.2999,Labridae
9DAC1-3,Coris,auricularis,1,67.5357,5.435,2729.2573,Labridae
9DAC1-3,Ophthalmolepis,lineolatus,1,141.9329,6.2541,2780.3551,Labridae
9DAC1-3,Parma,mccullochi,1,206.0254,5.1357,2252.2978,Pomacentridae
9DAC1-3,Parma,mccullochi,1,255.8952,10.1978,2952.497,Pomacentridae
9DAC1-3,Pempheris,klunzingeri,1,25.9628,5.7633,3604.4491,Pempheridae
9DAC1-4,Coris,auricularis,1,60.8712,4.3458,3112.1647,Labridae
9DAC1-4,Coris,auricularis,1,90.1977,8.1268,2999.3887,Labridae
9DAC1-4,Coris,auricularis,1,93.9095,6.9464,2975.0841,Labridae
9DAC1-4,Coris,auricularis,1,56.6354,4.5698,3028.3849,Labridae
9DAC1-4,Coris,auricularis,2,48.5655,4.8313,2088.3301,Labridae
9DAC1-4,Coris,auricularis,3,71.2713,4.1179,2648.6119,Labridae
9DAC1-4,Coris,auricularis,1,48.1362,5.3814,3325.2523,Labridae
9DAC1-4,Kyphosus,sydneyanus,1,624.4666,13.9923,3983.9399,Kyphosidae
9DAC1-4,Ophthalmolepis,lineolatus,1,80.4993,3.3864,2108.7913,Labridae
9DAC1-4,Ophthalmolepis,lineolatus,1,126.2526,5.7927,2818.6341,Labridae
9DAC1-4,Ophthalmolepis,lineolatus,2,71.3919,5.6029,2360.2108,Labridae
9DAC1-4,Ophthalmolepis,lineolatus,3,65.9981,4.3923,2398.4289,Labridae
9DAC1-4,Parma,mccullochi,1,90.081,5.8612,2433.6607,Pomacentridae
