Sample,Family,Genus,Species,Count
10dAC1-10,Labridae,Coris,auricularis,1
10dAC1-10,Labridae,Austrolabrus,maculatus,1
10dAC1-10,Labridae,Coris,auricularis,20
10dAC1-10,Labridae,Coris,auricularis,1
10dAC1-10,Labridae,Pseudolabrus,biserialis,1
10dAC1-10,Pomacentridae,Parma,mccullochi,1
10dAC1-10,Plesiopidae,Trachinops,noarlungae,40
10dAC1-10,Pomacentridae,Parma,mccullochi,1
10dAC1-11,Labridae,Pseudolabrus,biserialis,1
10dAC1-11,Labridae,Coris,auricularis,1
10dAC1-11,Pomacentridae,Parma,mccullochi,1
10dAC1-11,Pomacentridae,Chromis,klunzingeri,1
10dAC1-11,Labridae,Coris,auricularis,10
10dAC1-12,Pomacentridae,Parma,mccullochi,1
10dAC1-12,Enoplosidae,Enoplosus,armatus,1
10dAC1-12,Pomacentridae,Parma,mccullochi,1
10dAC1-12,Pomacentridae,Parma,mccullochi,1
10dAC1-12,Pomacentridae,Parma,mccullochi,1
10dAC1-12,Pomacentridae,Parma,mccullochi,1
10dAC1-1,Pomacentridae,Parma,mccullochi,1
10dAC1-1,Kyphosidae,Kyphosus,sydneyanus,1
10dAC1-1,Kyphosidae,Kyphosus,sydneyanus,1
10dAC1-1,Pomacentridae,Parma,mccullochi,1
10dAC1-1,Labridae,Choerodon,rubescens,1
10dAC1-1,Pomacentridae,Parma,mccullochi,1
10dAC1-1,Labridae,Coris,auricularis,1
10dAC1-1,Labridae,Coris,auricularis,1
10dAC1-1,Labridae,Coris,auricularis,1
10dAC1-1,Labridae,Coris,auricularis,1
10dAC1-1,Scorpididae,Scorpis,georgiana,1
10dAC1-1,Labridae,Coris,auricularis,1
10dAC1-1,Pomacentridae,Chromis,klunzingeri,1
10dAC1-1,Labridae,Coris,auricularis,1
10dAC1-2,Pomacentridae,Parma,mccullochi,1
10dAC1-2,Pomacentridae,Parma,mccullochi,1
10dAC1-3,Monacanthidae,Meuschenia,galii,1
10dAC1-3,Labridae,Austrolabrus,maculatus,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Serranidae,Epinephelides,armatus,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Labridae,Notolabrus,parilus,1
10dAC1-3,Enoplosidae,Enoplosus,armatus,1
10dAC1-3,Enoplosidae,Enoplosus,armatus,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-3,Mullidae,Upeneichthys,vlamingii,1
10dAC1-3,Labridae,Coris,auricularis,1
10dAC1-4,Pomacentridae,Parma,mccullochi,1
10dAC1-4,Mullidae,Upeneichthys,vlamingii,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Notolabrus,parilus,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Coris,auricularis,1
10dAC1-4,Labridae,Austrolabrus,maculatus,1
10dAC1-4,Pomacentridae,Parma,mccullochi,1
