Sample,Latitude,Longitude,Location,Status,Site,Depth,Observer.count,Observer.length,Successful.count,Successful.length,Comment,Date.time
9DAC1-1,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC1-2,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC1-3,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC1-4,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC1-5,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC1-6,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC1-7,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC1-8,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC1-9,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC1-10,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC1-11,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC1-12,-31.98670238,115.5188948,Armstrong,Fished,AC1,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-1,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-2,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-3,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-4,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-5,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-6,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-7,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-8,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-9,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-10,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-11,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC2-12,-31.98670238,115.5188948,Armstrong,Fished,AC2,11,Bryce,Bryce,Yes,Yes,NA,2009-05-18T15:40:00+08:00
9DAC3-1,-31.9927685,115.4984064,Armstrong,Fished,AC3,11,Bryce,Bryce,Yes,Yes,NA,2009-06-08T12:00:00+08:00
9DAC3-2,-31.9927685,115.4984064,Armstrong,Fished,AC3,11,Bryce,Bryce,Yes,Yes,NA,2009-06-08T12:00:00+08:00
