Sample	Genus	Species	Count	Length	Precision	Range	Family
10dAC1-1	Kyphosus	sydneyanus	1	445.5528	28.3503	7418.14	Kyphosidae
10dAC1-1	Kyphosus	sydneyanus	1	348.5446	27.8763	6114.4564	Kyphosidae
10dAC1-1	Choerodon	rubescens	1	463.1363	11.9385	3945.9993	Labridae
10dAC1-1	Parma	mccullochi	1	211.4978	11.3275	4045.8347	Pomacentridae
10dAC1-1	Parma	mccullochi	1	200.6775	3.2184	2233.7686	Pomacentridae
10dAC1-1	Coris	auricularis	1	67.4772	2.2415	2309.8709	Labridae
10dAC1-1	Coris	auricularis	1	79.4114	5.3008	2483.7911	Labridae
10dAC1-1	Coris	auricularis	1	109.6926	3.3481	2305.3663	Labridae
10dAC1-1	Coris	auricularis	1	94.7253	1.6838	1954.2321	Labridae
10dAC1-1	Scorpis	georgiana	1	282.702	10.5744	3490.4418	Scorpididae
10dAC1-1	Coris	auricularis	1	125.8366	6.8321	2890.4199	Labridae
10dAC1-1	Coris	auricularis	1	134.4121	10.4381	2773.1897	Labridae
10dAC1-1	Chromis	klunzingeri	1	75.9617	4.5087	2611.6991	Pomacentridae
10dAC1-2	Parma	mccullochi	1	149.1203	9.2619	5008.2824	Pomacentridae
10dAC1-2	Parma	mccullochi	1	215.6452	1.3784	1919.2643	Pomacentridae
10dAC1-3	Meuschenia	galii	1	117.8811	9.6008	3418.0223	Monacanthidae
10dAC1-3	Austrolabrus	maculatus	1	104.411	2.1551	1745.8691	Labridae
10dAC1-3	Austrolabrus	maculatus	1	110.7587	3.2691	1753.2328	Labridae
10dAC1-3	Coris	auricularis	1	107.234	1.1428	1681.0225	Labridae
10dAC1-3	Epinephelides	armatus	1	205.6858	1.7866	1328.631	Serranidae
10dAC1-3	Coris	auricularis	1	138.5545	7.0681	2763.3105	Labridae
10dAC1-3	Coris	auricularis	1	113.4548	1.9923	3314.6792	Labridae
10dAC1-3	Coris	auricularis	1	84.1245	4.3272	3493.0838	Labridae
10dAC1-3	Coris	auricularis	1	105.6757	3.0566	1988.1148	Labridae
10dAC1-3	Coris	auricularis	1	100.056	8.9305	2702.8959	Labridae
10dAC1-3	Enoplosus	armatus	1	225.7729	4.8242	2703.6329	Enoplosidae
10dAC1-3	Coris	auricularis	1	124.4963	3.8047	1986.6634	Labridae
10dAC1-3	Enoplosus	armatus	1	200.3447	7.4008	2391.7001	Enoplosidae
10dAC1-3	Notolabrus	parilus	1	158.4701	6.9675	2918.0182	Labridae
10dAC1-3	Coris	auricularis	1	66.9324	3.7723	2782.5051	Labridae
10dAC1-3	Coris	auricularis	1	97.9387	26.2185	4852.1303	Labridae
10dAC1-3	Coris	auricularis	1	106.4766	3.0139	3043.6019	Labridae
10dAC1-3	Coris	auricularis	1	96.8069	5.0929	2679.8569	Labridae
10dAC1-3	Coris	auricularis	1	170.625	6.4284	2255.0053	Labridae
10dAC1-3	Upeneichthys	vlamingii	1	145.4959	13.583	3580.2535	Mullidae
10dAC1-3	Coris	auricularis	1	71.6125	1.7986	2318.451	Labridae
10dAC1-4	Coris	auricularis	1	142.093	9.5784	2834.1242	Labridae
10dAC1-4	Coris	auricularis	2	75.6319	9.9896	3181.9619	Labridae
10dAC1-4	Upeneichthys	vlamingii	1	195.6916	19.1214	3983.3776	Mullidae
10dAC1-4	Coris	auricularis	1	136.757	2.0927	1570.2769	Labridae
10dAC1-4	Notolabrus	parilus	1	172.6074	5.1654	3073.4626	Labridae
10dAC1-4	Parma	mccullochi	1	202.3508	2.1567	1633.0339	Pomacentridae
10dAC1-4	Coris	auricularis	1	47.9886	4.9711	2898.3395	Labridae
10dAC1-4	Coris	auricularis	1	55.5727	3.3294	2746.6148	Labridae
10dAC1-4	Coris	auricularis	1	45.0875	2.0242	1890.3041	Labridae
10dAC1-4	Coris	auricularis	1	53.0657	1.5446	1741.5119	Labridae
10dAC1-4	Coris	auricularis	1	76.5107	1.7253	1839.4037	Labridae
10dAC1-4	Coris	auricularis	1	48.9821	2.4946	2241.8665	Labridae
10dAC1-4	Coris	auricularis	1	93.3219	1.4667	1699.0224	Labridae
10dAC1-4	Coris	auricularis	2	111.1732	2.1999	1528.2116	Labridae
10dAC1-4	Coris	auricularis	1	66.5053	1.8552	1656.0316	Labridae
10dAC1-5	Coris	auricularis	1	48.3181	2.0826	1428.5345	Labridae
10dAC1-5	Notolabrus	parilus	1	157.1468	15.094	3639.3386	Labridae
10dAC1-5	Parma	mccullochi	1	188.3804	4.1483	3345.7122	Pomacentridae
10dAC1-6	Notolabrus	parilus	1	75.1377	1.8904	1911.6814	Labridae
10dAC1-7	Coris	auricularis	1	108.9221	4.1138	2148.7733	Labridae
10dAC1-7	Parma	mccullochi	1	185.7555	2.8046	2733.4929	Pomacentridae
10dAC1-7	Coris	auricularis	1	96.3291	2.0109	1664.5203	Labridae
10dAC1-7	Coris	auricularis	1	73.9367	6.1123	2356.9055	Labridae
10dAC1-7	Coris	auricularis	1	62.3128	1.7511	1557.2701	Labridae
10dAC1-7	Coris	auricularis	1	46.7624	1.1744	1596.5301	Labridae
10dAC1-7	Coris	auricularis	1	109.6216	2.2315	1901.7553	Labridae
10dAC1-7	Ophthalmolepis	lineolatus	1	104.904	6.32	2416.5567	Labridae
10dAC1-7	Parma	mccullochi	1	214.9605	24.0073	5031.2243	Pomacentridae
10dAC1-7	Coris	auricularis	1	55.3485	3.8836	1781.5489	Labridae
