Sample,Family,Genus,Species,Count,Length,Transect
3 Mile-01,Labridae,Austrolabrus,maculatus,1,132.757,1
3 Mile-01,Labridae,Coris,auricularis,1,134.102,1
3 Mile-01,Labridae,Coris,auricularis,1,120.772,1
3 Mile-01,Labridae,Coris,auricularis,1,118.868,1
3 Mile-01,Labridae,Coris,auricularis,1,104.315,1
3 Mile-01,Labridae,Coris,auricularis,1,195.797,1
3 Mile-01,Labridae,Coris,auricularis,1,168.53,1
3 Mile-01,Labridae,Coris,auricularis,1,122.497,1
3 Mile-01,Labridae,Coris,auricularis,1,129.748,1
3 Mile-01,Labridae,Coris,auricularis,1,134.094,1
3 Mile-01,Labridae,Coris,auricularis,1,112.643,1
3 Mile-01,Labridae,Coris,auricularis,1,106.401,1
3 Mile-01,Labridae,Coris,auricularis,1,153.022,1
3 Mile-01,Labridae,Coris,auricularis,1,106.812,1
3 Mile-01,Labridae,Coris,auricularis,1,128.285,1
3 Mile-01,Labridae,Coris,auricularis,1,115.499,1
3 Mile-01,Labridae,Coris,auricularis,1,132.047,1
3 Mile-01,Labridae,Coris,auricularis,1,113.267,1
3 Mile-01,Labridae,Coris,auricularis,1,136.179,1
3 Mile-01,Labridae,Coris,auricularis,1,68.22,1
3 Mile-01,Labridae,Coris,auricularis,1,117.684,1
3 Mile-01,Labridae,Coris,auricularis,1,78.243,1
3 Mile-01,Labridae,Coris,auricularis,1,138.452,1
3 Mile-01,Labridae,Coris,auricularis,1,114.95,1
3 Mile-01,Labridae,Coris,auricularis,1,128.346,1
3 Mile-01,Labridae,Coris,auricularis,1,93.296,1
3 Mile-01,Labridae,Coris,auricularis,1,143.492,1
3 Mile-01,Labridae,Coris,auricularis,1,90.986,1
3 Mile-01,Labridae,Coris,auricularis,1,81.576,1
3 Mile-01,Labridae,Coris,auricularis,1,129.138,1
3 Mile-01,Labridae,Notolabrus,parilus,1,131.927,1
3 Mile-01,Labridae,Notolabrus,parilus,1,238.052,1
3 Mile-01,Labridae,Notolabrus,parilus,1,196.526,1
3 Mile-01,Labridae,Notolabrus,parilus,1,162.162,1
3 Mile-01,Labridae,Notolabrus,parilus,1,154.842,1
3 Mile-01,Pomacentridae,Parma,mccullochi,1,263.536,1
3 Mile-01,Pomacentridae,Parma,mccullochi,1,248.944,1
3 Mile-01,Pomacentridae,Parma,mccullochi,1,163.429,1
3 Mile-01,Pomacentridae,Parma,mccullochi,1,270.323,1
3 Mile-01,Pomacentridae,Parma,mccullochi,1,248.906,1
3 Mile-01,Pomacentridae,Parma,mccullochi,1,215.59,1
3 Mile-01,Pomacentridae,Parma,mccullochi,1,217.085,1
3 Mile-01,Pomacentridae,Parma,mccullochi,1,216.265,1
3 Mile-01,Pomacentridae,Parma,occidentalis,1,283.05,1
3 Mile-01,Pomacentridae,Parma,occidentalis,1,127.886,1
3 Mile-01,Pomacentridae,Parma,occidentalis,1,195.133,1
