"Sample","Latitude","Longitude","Date","Time","Location","Status","Site","Successful.count","Successful.length","Depth","Observer","Transect_Length"
"3 Mile-01",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"3 Mile-02",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"3 Mile-03",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"3 Mile-04",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"3 Mile-05",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"3 Mile-06",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"3 Mile-07",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"3 Mile-08",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"3 Mile-09",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"3 Mile-10",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"3 Mile-11",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"3 Mile-12",-31.78333,115.67861,"20170401","11:00:00","Marmion Marine Park","Fished","3 Mile","Yes","Yes",11.5,"Caprice Hyde",25
"Boyinaboat-01",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
"Boyinaboat-02",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
"Boyinaboat-03",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
"Boyinaboat-04",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
"Boyinaboat-05",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
"Boyinaboat-06",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
"Boyinaboat-07",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
"Boyinaboat-08",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
"Boyinaboat-09",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
