OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
BP_SZ_20170428_DOV	0	0	700.27357	438.31873	565.95009	478.04819
BP_SZ_20170428_DOV	0	1	977.88355	514.04710	817.63216	543.69989
BP_SZ_20170428_DOV	1	0	1118.94085	577.32202	862.88725	604.83680
BP_SZ_20170428_DOV	1	1	1469.60628	614.85214	1240.36969	642.24863
BP_SZ_20170428_DOV	2	0	1639.63031	415.20263	1641.99630	425.84885
BP_SZ_20170428_DOV	2	1	1870.31423	418.75137	1863.21627	421.11720
BP_SZ_20170428_DOV	3	0	1737.81885	385.62979	1809.98152	384.44688
BP_SZ_20170428_DOV	4	0	1686.95009	262.60679	1632.53235	255.50931
BP_SZ_20170428_DOV	5	0	1673.93715	319.38664	1414.86137	320.56955
BP_SZ_20170428_DOV	6	0	785.07721	541.77827	777.96170	567.85950
BP_SZ_20170428_DOV	7	0	611.93329	1044.43469	370.00618	1052.73326
BP_SZ_20170428_DOV	8	0	473.19778	933.31873	100.55453	948.69660
BP_SZ_20170428_DOV	9	0	571.61211	787.17892	444.71896	788.36443
BP_SZ_20170428_DOV	9	1	780.33354	757.54116	640.39531	772.95280
BP_SZ_20170428_DOV	10	0	481.48240	622.39297	69.96912	665.07135
BP_SZ_20170428_DOV	10	1	920.27177	633.06257	536.03459	665.07135
BP_SZ_20170428_DOV	11	0	1541.69240	182.56861	1485.95429	189.68167
BP_SZ_20170428_DOV	12	0	933.31686	553.63337	785.07721	584.45664
BP_SZ_20170428_DOV	13	0	479.11056	75.87267	257.34404	130.40615
BP_SZ_20170428_DOV	13	1	818.28289	187.31065	608.37554	234.73106
BP_SZ_20170428_DOV	14	0	1072.06918	997.01427	505.20074	1007.68386
BP_SZ_20170428_DOV	15	0	873.76652	716.07574	876.50093	740.96268
BP_SZ_20170428_DOV	15	1	1052.24707	694.44018	1060.61458	719.03074
BP_SZ_20170428_DOV	16	0	734.84867	699.73216	711.72329	730.70033
BP_SZ_20170428_DOV	16	1	893.46510	694.39737	876.86226	717.36334
BP_SZ_20170428_DOV	17	0	1158.64114	455.23600	897.01853	484.12075
BP_SZ_20170428_DOV	17	1	1496.62755	448.12294	1251.14268	465.90560
BP_SZ_20170428_DOV	18	0	1362.64670	359.18002	1107.31624	382.22283
BP_SZ_20170428_DOV	18	1	1704.45954	345.18222	1454.78999	350.80681
BP_SZ_20170428_DOV	19	0	337.98641	365.13721	147.05374	417.29967
BP_SZ_20170428_DOV	20	0	205.16368	636.61910	148.23965	666.25686
BP_SZ_20170428_DOV	21	0	362.89067	322.45884	200.87400	375.25686
BP_SZ_20170428_DOV	21	1	698.42001	339.95609	539.45337	382.66630
BP_SZ_20170428_DOV	22	0	1155.98765	326.62569	1205.16924	349.77717
BP_SZ_20170428_DOV	22	1	1321.71958	327.21844	1378.90611	344.44237
BP_SZ_20170428_DOV	23	0	1486.36566	104.62130	1206.07783	113.80900
BP_SZ_20170428_DOV	23	1	1871.08091	36.15807	1605.57999	31.11965
BP_SZ_20170428_DOV	24	0	1068.51143	336.68496	1096.97344	361.58068
BP_SZ_20170428_DOV	25	0	1504.05930	209.40395	1301.05806	215.18441
BP_SZ_20170428_DOV	25	1	1910.80914	155.65971	1676.96232	142.26125
BP_SZ_20170428_DOV	26	0	1570.52563	377.29528	1351.38481	392.02854
BP_SZ_20170428_DOV	26	1	1903.39716	348.29089	1657.87585	343.40615
BP_SZ_20170428_DOV	27	0	816.60099	685.63447	703.89747	719.74753
BP_SZ_20170428_DOV	27	1	894.18159	638.99012	775.64546	669.36334
BP_SZ_20170428_DOV	28	0	1634.19395	514.51153	1752.78567	529.92316
BP_SZ_20170428_DOV	29	0	242.85732	296.18661	119.77764	367.50823
BP_SZ_20170428_DOV	29	1	503.46263	279.58946	385.42310	327.20088
BP_SZ_20170428_DOV	30	0	1542.58184	64.90670	1378.95429	64.90670
BP_SZ_20170428_DOV	30	1	1876.71402	89.50604	1723.16677	73.79802
BP_SZ_20170428_DOV	31	0	1394.63867	723.16136	451.83447	742.12953
BP_SZ_20170428_DOV	32	0	957.03521	861.86608	653.44040	879.64874
BP_SZ_20170428_DOV	33	0	263.27363	687.59605	27.27610	723.16136
BP_SZ_20170428_DOV	33	1	336.80049	675.74094	126.89314	705.37870
BP_SZ_20170428_DOV	34	0	432.85979	886.76180	71.15503	904.54446
BP_SZ_20170428_DOV	35	0	77.08462	513.32602	84.20012	559.56092
BP_SZ_20170428_DOV	36	0	145.86782	478.94621	180.25942	526.36663
BP_SZ_20170428_DOV	37	0	1258.25818	917.58507	1153.89747	944.85181
BP_SZ_20170428_DOV	38	0	1296.20754	938.92426	914.34219	961.44896
BP_SZ_20170428_DOV	39	0	1585.72491	764.80176	1711.82156	789.77974
BP_SZ_20170428_DOV	40	0	1826.02230	743.39207	1753.45725	769.55947
BP_SZ_20170428_DOV	41	0	1004.01487	922.99559	340.22305	940.83700
BP_SZ_20170428_DOV	42	0	1434.64684	314.00881	1510.78067	322.33480
BP_SZ_20170428_DOV	43	0	1161.79182	214.29295	1220.80669	233.61894
BP_SZ_20170428_DOV	43	1	1312.11896	239.07489	1378.42751	245.51322
BP_SZ_20170428_DOV	44	0	1123.30855	177.56828	1193.20074	199.32379
BP_SZ_20170428_DOV	44	1	1263.68030	192.73348	1340.11524	205.86564
BP_SZ_20170428_DOV	45	0	967.13755	265.24229	1057.54647	296.16740
BP_SZ_20170428_DOV	46	0	1037.51673	196.48678	1123.03346	220.77974
