OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
BP_SZ_20170428_DOV	0	T1	Becher Point SZ_20170428_LEFT110.avi	16883	11.25533	Becher Point SZ_20170428_LEFT110.avi	18942	12.62800	1
BP_SZ_20170428_DOV	1	T2	Becher Point SZ_20170428_LEFT110.avi	19942	13.29467	Becher Point SZ_20170428_LEFT110.avi	22156	14.77067	1
BP_SZ_20170428_DOV	2	T3	Becher Point SZ_20170428_LEFT110.avi	23253	15.50200	Becher Point SZ_20170428_LEFT110.avi	25286	16.85733	1
BP_SZ_20170428_DOV	3	T4	Becher Point SZ_20170428_LEFT110.avi	26081	17.38733	Becher Point SZ_20170428_LEFT110.avi	28496	18.99733	1
BP_SZ_20170428_DOV	4	T5	Becher Point SZ_20170428_LEFT110.avi	29615	19.74333	Becher Point SZ_20170428_LEFT110.avi	32108	21.40533	1
BP_SZ_20170428_DOV	5	T6	Becher Point SZ_20170428_LEFT110.avi	33425	22.28333	Becher Point SZ_20170428_LEFT110.avi	35452	23.63467	1
BP_SZ_20170428_DOV	6	T7	Becher Point SZ_20170428_LEFT110.avi	36910	24.60667	Becher Point SZ_20170428_LEFT110.avi	38848	25.89867	1
BP_SZ_20170428_DOV	7	T8	Becher Point SZ_20170428_LEFT110.avi	39482	26.32133	Becher Point SZ_20170428_LEFT110.avi	41839	27.89267	1
BP_SZ_20170428_DOV	8	T9	Becher Point SZ_20170428_LEFT110.avi	42728	28.48533	Becher Point SZ_20170428_LEFT110.avi	44982	29.98800	1
BP_SZ_20170428_DOV	9	T10	Becher Point SZ_20170428_LEFT110.avi	46621	31.08067	Becher Point SZ_20170428_LEFT110.avi	48782	32.52133	1
BP_SZ_20170428_DOV	10	T11	Becher Point SZ_20170428_LEFT110.avi	50315	33.54333	Becher Point SZ_20170428_LEFT110.avi	52433	34.95533	1
BP_SZ_20170428_DOV	11	T12	Becher Point SZ_20170428_LEFT110.avi	53756	35.83733	Becher Point SZ_20170428_LEFT110.avi	55852	37.23467	1
SIMP_FirstRock_S1_20170427_DOV	0	T1	First Rock Site1_20170427_Left110.avi	21325	14.21667	First Rock Site1_20170427_Left110.avi	23006	15.33733	1
SIMP_FirstRock_S1_20170427_DOV	1	T2	First Rock Site1_20170427_Left110.avi	24015	16.01000	First Rock Site1_20170427_Left110.avi	26093	17.39533	1
SIMP_FirstRock_S1_20170427_DOV	2	T3	First Rock Site1_20170427_Left110.avi	27058	18.03867	First Rock Site1_20170427_Left110.avi	29109	19.40600	1
SIMP_FirstRock_S1_20170427_DOV	3	T4	First Rock Site1_20170427_Left110.avi	30100	20.06667	First Rock Site1_20170427_Left110.avi	31987	21.32467	1
SIMP_FirstRock_S1_20170427_DOV	4	T5	First Rock Site1_20170427_Left110.avi	33119	22.07933	First Rock Site1_20170427_Left110.avi	34908	23.27200	1
SIMP_FirstRock_S1_20170427_DOV	5	T6	First Rock Site1_20170427_Left110.avi	35627	23.75133	First Rock Site1_20170427_Left110.avi	37413	24.94200	1
SIMP_FirstRock_S1_20170427_DOV	6	T7	First Rock Site1_20170427_Left110.avi	38248	25.49867	First Rock Site1_20170427_Left110.avi	40010	26.67333	1
SIMP_FirstRock_S1_20170427_DOV	7	T8	First Rock Site1_20170427_Left110.avi	40731	27.15400	First Rock Site1_20170427_Left110.avi	42675	28.45000	1
SIMP_FirstRock_S1_20170427_DOV	8	T9	First Rock Site1_20170427_Left110.avi	43481	28.98733	First Rock Site1_20170427_Left110.avi	45596	30.39733	1
SIMP_FirstRock_S1_20170427_DOV	9	T10	First Rock Site1_20170427_Left110.avi	46591	31.06067	First Rock Site1_20170427_Left110.avi	48557	32.37133	1
SIMP_FirstRock_S1_20170427_DOV	10	T11	First Rock Site1_20170427_Left110.avi	49363	32.90867	First Rock Site1_20170427_Left110.avi	51511	34.34067	1
SIMP_FirstRock_S1_20170427_DOV	11	T12	First Rock Site1_20170427_Left110.avi	52302	34.86800	First Rock Site1_20170427_Left110.avi	54133	36.08867	1
SIMP_Murry Reef_Ctrl2_20170428_DOV	0	T1	Murray Reef_Ctrl2_20170428_Left110.avi	25770	17.18000	Murray Reef_Ctrl2_20170428_Left110.avi	27387	18.25800	1
SIMP_Murry Reef_Ctrl2_20170428_DOV	1	T2	Murray Reef_Ctrl2_20170428_Left110.avi	28539	19.02600	Murray Reef_Ctrl2_20170428_Left110.avi	30134	20.08933	1
SIMP_Murry Reef_Ctrl2_20170428_DOV	2	T3	Murray Reef_Ctrl2_20170428_Left110.avi	31112	20.74133	Murray Reef_Ctrl2_20170428_Left110.avi	32755	21.83667	1
SIMP_Murry Reef_Ctrl2_20170428_DOV	3	T4	Murray Reef_Ctrl2_20170428_Left110.avi	36416	24.27733	Murray Reef_Ctrl2_20170428_Left110.avi	38427	25.61800	1
SIMP_Murry Reef_Ctrl2_20170428_DOV	4	T5	Murray Reef_Ctrl2_20170428_Left110.avi	39191	26.12733	Murray Reef_Ctrl2_20170428_Left110.avi	40793	27.19533	1
SIMP_Murry Reef_Ctrl2_20170428_DOV	5	T6	Murray Reef_Ctrl2_20170428_Left110.avi	41447	27.63133	Murray Reef_Ctrl2_20170428_Left110.avi	43316	28.87733	1
