OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
01	0	0	606.62329	385.49627	528.30010	433.91791
01	0	1	769.81322	370.38433	685.44596	421.32463
01	1	0	639.64218	286.30597	566.15320	338.07463
01	1	1	772.10808	274.72015	713.72928	326.99254
01	2	0	122.89612	384.85075	14.10283	433.20896
01	2	1	334.43861	435.22388	207.51312	479.55224
01	3	0	1444.53305	364.70149	1265.22560	423.13433
01	3	1	1656.07555	276.04478	1470.72403	330.44776
01	4	0	78.57293	499.70149	6.04407	533.95522
01	5	0	935.58657	288.51866	776.23085	343.59701
01	5	1	1089.20672	310.17910	950.50157	362.73881
01	6	0	32.23505	550.07463	0.00000	576.26866
01	6	1	181.32214	477.53731	151.10178	513.80597
01	7	0	1194.71144	316.34328	1147.57188	365.51119
01	7	1	1339.76915	282.08955	1271.47534	333.27239
01	8	0	900.80063	267.23881	804.60965	316.08955
01	8	1	1100.25498	236.00746	996.50892	283.85075
01	9	0	1462.66527	304.25373	1337.75446	358.65672
01	9	1	1672.19307	294.17910	1515.04722	348.58209
01	10	0	1617.79643	241.79104	1388.12172	296.19403
01	10	1	1857.54460	135.00000	1561.38510	191.41791
01	11	0	1320.06506	173.00000	1317.11962	212.05224
01	11	1	1445.47954	154.36194	1424.40189	189.38433
01	12	0	727.69675	372.57836	629.10913	422.86194
01	12	1	875.27282	327.24254	785.75131	376.01493
01	13	0	857.24869	379.42164	820.09444	427.82836
01	13	1	1008.35047	392.51866	967.16684	441.93284
01	14	0	1015.40399	818.05970	612.46590	876.49254
01	15	0	1245.74502	515.81716	954.31165	570.00000
01	15	1	1331.87303	484.08209	1069.14900	551.36194
01	16	0	487.20776	788.82836	199.95803	814.02985
01	16	1	400.07240	754.07090	138.00630	781.79104
01	17	0	362.70829	196.15672	641.13851	243.41418
01	17	1	585.83526	234.44030	838.07450	278.17164
01	18	0	1578.74502	207.03358	1781.99370	234.73881
01	18	1	1678.97587	194.44030	1889.27597	219.12313
01	19	0	787.51731	399.66418	752.45121	453.04478
01	19	1	876.16369	356.84701	839.58657	409.22015
01	20	0	1137.71287	585.37294	800.87129	645.46865
01	20	1	969.60396	644.05061	606.77228	696.41364
01	21	0	1311.56348	509.77612	924.74292	580.29851
01	21	1	1500.94439	483.58209	1093.97692	560.14925
01	22	0	1680.25184	556.11940	1617.79643	634.70149
01	22	1	1865.60336	564.17910	1851.50052	660.89552
01	23	0	395.66002	164.52612	630.44701	206.77985
01	23	1	475.24029	150.42164	698.94648	199.22388
