OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
01	0	01_L372.avi	20192	01_R371.avi	19713	13.46133	1	1.16733	148.27940	3.26269	9.57235	2006.93166	22.98761	38.77412	1.09990	772.25374	133.87046	-1847.55989	Serranidae	Caesioperca	sp1		1	AD	Passing			
01	1	01_L372.avi	20195	01_R371.avi	19716	13.46333	1	1.16933	126.92704	2.41002	13.32467	2044.65261	24.22379	16.17201	2.93987	809.37821	220.68338	-1864.62062	Serranidae	Caesioperca	sp1		1	AD	Passing			
01	2	01_L372.avi	20207	01_R371.avi	19728	13.47133	1	1.17733	170.07629	2.20599	9.77332	1989.82356	11.84331	32.95731	16.52062	389.77898	121.85698	-1947.46529	Serranidae	Caesioperca	sp1		1	AD	Passing			
01	3	01_L372.avi	20210	01_R371.avi	19731	13.47333	1	1.17933	166.58498	2.68187	11.05811	1582.90659	43.69455	71.30075	15.12835	1088.36689	105.76075	-1144.49353	Serranidae	Caesioperca	sp1		1	AD	Passing			
01	5	01_L372.avi	20220	01_R371.avi	19741	13.48000	1	1.18600	132.54113	2.53607	12.64087	1793.68479	30.80762	27.49258	9.98366	903.29887	167.23004	-1540.58119	Serranidae	Caesioperca	sp1		1	AD	Passing			
01	6	01_L372.avi	20220	01_R371.avi	19741	13.48000	1	1.18600	134.20839	1.41015	5.72781	2186.99994	9.57013	13.62969	23.76833	360.00246	51.01347	-2156.56314	Serranidae	Caesioperca	sp1		1	AD	Passing			
01	7	01_L372.avi	20235	01_R371.avi	19756	13.49000	1	1.19600	153.69180	4.22498	12.28508	1927.16031	38.11209	78.33750	3.89422	1177.98877	164.70097	-1516.29908	Serranidae	Caesioperca	sp1		1	AD	Passing			
01	8	01_L372.avi	20242	01_R371.avi	19763	13.49467	1	1.20067	181.08339	3.62589	13.08282	1903.05278	31.26920	51.71439	2.77461	963.33973	218.45286	-1626.61144	Serranidae	Caesioperca	sp1		1	AD	Passing			
01	9	01_L372.avi	20246	01_R371.avi	19767	13.49733	1	1.20333	186.08155	3.01613	10.70972	1650.85178	44.51742	87.54097	4.45690	1150.70954	124.78044	-1177.11894	Serranidae	Caesioperca	sp1		1	AD	Passing			
01	10	01_L372.avi	20257	01_R371.avi	19778	13.50467	1	1.21067	195.43343	2.15547	20.07599	1420.98125	47.67890	82.50102	8.30068	1038.23479	161.03836	-956.72508	Serranidae	Caesioperca	sp1		1	AD	Passing			
