Sample,Latitude,Longitude,Date,Time,Time.out,Planned.or.exploratory,Site,Location,Status,Commonwealth.zone,Depth,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Successful.length,FishnClip,Observer,Left.cam,Right.cam,Rear.cam,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Video.notes,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes
01,-34.128599,114.930865,20200602,09:10,10:31,MBH,c1,South-west,No-take,National Park Zone,46.7,Hayley ,8.10.20,Brooke/Rachel,Yes,Yes,Y,Hayley ,372,371,422,1,,,,,,Rachel,20210211,
02,-34.125316,114.928838,20200602,09:18,10:41,MBH,c1,South-west,No-take,National Park Zone,44.4,Hayley ,23.10.20,Brooke,Yes,No,Y,Hayley ,378,377,439,1,,,"missing first 7mins R video, got half of chromis",,,Rachel,20210222,
03,-34.126906,114.925945,20200602,09:27,10:51,MBH,c1,South-west,No-take,National Park Zone,39.3,Hayley ,23.10.20,Brooke,Yes,Yes,Y,Hayley ,367,368,441,1,,,,,,Rachel,20210211,missing backwards habitat image - Claude
04,-34.122634,114.920337,20200602,09:44,11:00,MBH,c2,South-west,No-take,National Park Zone,44.1,Hayley ,23.10.20,Brooke,Yes,Yes,Y,Hayley ,373,374,423,1,,,,,,Rachel,20210211,
05,-34.131497,114.915753,20200602,09:57,11:09,MBH,c3,South-west,No-take,National Park Zone,44.1,Hayley ,3.11.20,Brooke/Rachel,Yes,Yes,Y,Hayley ,375,376,416,1,,,only measured half the bullseye school,,,Rachel ,20210222,
06,-34.132842,114.912405,20200602,10:06,11:18,MBH,c3,South-west,No-take,National Park Zone,43.2,Hayley ,11.11.20,Brooke,Yes,Yes,Y,Hayley ,369,370,440,1,,,,,,Rachel,20210211,
07,-34.134771,114.910241,20200602,10:16,11:22,MBH,c3,South-west,No-take,National Park Zone,43.9,Hayley,07.12.20,Brooke,Yes,No,,Hayley,564,561,420,1,,,,,,upside down + 2k,,
08,-34.129352,114.911755,20200602,13:48,14:48,MBH,c3,South-west,No-take,National Park Zone,39.6,Hayley,12.11.20,Brooke,Yes,Yes,Y,Hayley,564/367,561/368,420,1,,,RE-DO - goes to 58 minutes,,,Rachel,20210225,
09,-34.119541,114.916105,20200602,11:45,12:49,MBH,c2,South-west,No-take,National Park Zone,43.8,Hayley,13.11.20,Brooke,Yes,Yes,Y,Hayley,369,370,440,1,,,,,,Rachel,20210215,
10,-34.117294,114.918685,20200602,11:51,12:57,MBH,c2,South-west,No-take,National Park Zone,45.7,Hayley,13.11.20,Brooke,Yes,Yes,Y,Hayley,375,376,416,1,,,Only goes to 53 minutes ,,,Rachel,20210218,
11,-34.117752,114.92306,20200602,13:55,14:57,MBH,c2,South-west,No-take,National Park Zone,45.08,Hayley,13.11.20,Brooke,Yes,Yes,Y,Hayley,373,374,423,1,,,RE-DO,,,Rachel,20210218,
