Dot Point Measurements

Generated: Tuesday 16 November 2021 09:09:55

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
01.jpg	      0		789	894													Sponges	Erect forms		Open		10000912			9.4
01.jpg	      0		572	1548													Sponges	Small mixed		Open		10000000			69.7
01.jpg	      0		979	278													Macroalgae	Erect fine branching	Red	Open		90300910			75.3
01.jpg	      0		941	347													Sponges	Massive forms		Open		10000903			67.3
01.jpg	      0		832	378													Sponges	Massive forms		Open		10000903			63.1
01.jpg	      0		933	1002													Macroalgae	Erect fine branching	Red	Open		90300910			10.6
01.jpg	      0		763	1084													Unknown			Open					15.7
01.jpg	      0		838	297													Macroalgae	Erect fine branching	Red	Open		90300910			71.9
01.jpg	      0		1069	1122													Macroalgae	Erect fine branching	Red	Open		90300910			29.9
01.jpg	      0		933	461													Sponges	Massive forms		Open		10000903			55.0
01.jpg	      0		901	314													Sponges	Massive forms		Open		10000903			70.2
01.jpg	      0		932	1291													Consolidated	Rock	Turf mat	Open		82001002			36.8
01.jpg	      0		972	1841													Unknown			Limited					95.9
01.jpg	      0		1019	1871													Consolidated	Rock	Turf mat	Open		82001002			100.0
01.jpg	      0		677	1412													Unknown			Limited					51.7
01.jpg	      0		593	1188													Unknown			Limited					36.4
01.jpg	      0		845	964													Macroalgae	Erect fine branching	Red	Open		90300910			0.3
01.jpg	      0		761	1296													Unknown			Limited					37.2
01.jpg	      0		669	1245													Unknown			Limited					35.8
01.jpg	      0		845	408													Sponges	Massive forms		Open		10000903			59.8
02.jpg	      0		760	815													Unknown			Open					44.9
02.jpg	      0		843	711													Macroalgae	Erect fine branching	Red	Open		90300910			56.2
02.jpg	      0		977	1562													Macroalgae	Erect fine branching	Red	Open		90300910			47.3
02.jpg	      0		761	627													Unknown			Open					66.8
02.jpg	      0		596	723													Open Water			Open					62.0
02.jpg	      0		872	1472													Sponges	Massive forms		Open		10000903			34.0
02.jpg	      0		848	1784													Unknown			Open					70.8
02.jpg	      0		842	1742													Unknown			Open					65.8
02.jpg	      0		772	1537													Unknown			Limited					42.4
02.jpg	      0		745	370													Unknown			Open					97.2
02.jpg	      0		938	1320													Sponges	Massive forms		Open		10000903			19.5
02.jpg	      0		708	733													Unknown			Open					55.8
02.jpg	      0		953	1479													Macroalgae	Erect fine branching	Red	Open		90300910			37.1
