OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
FH50	0	FH50_L1205 (1).MP4	5650	FH50_R1206 (1).MP4	4191	1.57101		-1.00000	-8.28572	-18.53975	-880.76501	0.46005	0.44183	1.18223	5.66147	880.99908	1.59756								sync		
FH50	1	FH50_L1205 (1).MP4	62423	FH50_R1206 (1).MP4	60964	17.35706	1	9.82593	1074.16326	233.10912	-1824.83165	2.54498	1.04834	4.45474	7.96791	2130.29978	31.00019	Carangidae	Carangoides	sp10		1	AD	Passing			
FH50	2	FH50_L1205 (1).MP4	62423	FH50_R1206 (1).MP4	60964	17.35706	1	9.82593	1114.94673	259.76123	-1861.84895	2.66650	1.10291	4.60358	6.57320	2185.64947	31.51993	Carangidae	Carangoides	sp10		1	AD	Passing			
FH50	3	FH50_L1205 (5).MP4	140	FH50_R1206 (1).MP4	79922	22.62844	1	15.09730	359.20460	98.33923	-1619.28880	1.10776	0.83052	3.82623	5.65718	1661.56395	12.87674	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
FH50	5	FH50_L1205 (5).MP4	38065	FH50_R1206 (2).MP4	36605	33.17370	1	25.64256	-794.12750	656.32193	-2663.78832	3.06602	2.79050	10.04497	5.73379	2856.07514	20.95568	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH50	6	FH50_L1205 (5).MP4	38065	FH50_R1206 (2).MP4	36605	33.17370	1	25.64256	-861.16132	467.16461	-2163.72595	2.62447	1.76474	6.61102	2.07858	2375.19505	24.21977	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH50	10	FH50_L1205 (5).MP4	78155	FH50_R1206 (2).MP4	76695	44.32094	1	36.78981	-1505.42604	147.92366	-2725.46577	5.27599	1.41364	10.05663	1.82064	3117.10645	29.00320	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
FH50	11	FH50_L1205 (6).MP4	424	FH50_R1206 (2).MP4	80085	45.26355	1	37.73242	-241.72478	88.60697	-2171.35644	1.27425	1.10019	6.78371	7.25917	2186.56599	6.66513	Platycephalidae	Platycephalus	spp		1	AD	Passing			
FH50	24	FH50_L1205 (6).MP4	68912	FH50_R1206 (3).MP4	67331	64.30702	1	56.77589	257.68299	567.58276	-2868.33768	1.71361	2.72294	11.70289	4.99845	2935.28734	11.98991	Triglidae	Chelidonichthys	kumu	37288001	1	AD	Passing			
FHC	0	FHC_L1203 (1).MP4	6005	FHC_R1204 (1).MP4	4842	1.66972		-1.00000	-45.78994	101.61663	-961.16443	0.50058	0.50395	1.46037	0.17040	967.60515	6.26315								sync		
FHC	2	FHC_L1203 (1).MP4	78687	FHC_R1204 (1).MP4	77524	21.87936	1	14.95911	-260.19758	11.54305	-1861.62363	1.13184	0.91004	5.24444	6.37591	1879.75492	7.95655	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
FHC	14	FHC_L1203 (2).MP4	7887	FHC_R1204 (2).MP4	6724	24.74945	1	17.82920	1228.86775	600.08934	-7686.97415	14.04740	8.21194	86.66154	10.45647	7807.67537	9.92372	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
FHC	16	FHC_L1203 (2).MP4	8261	FHC_R1204 (2).MP4	7098	24.85344	1	17.93319	2589.43796	521.30867	-5005.49095	17.73686	4.57306	35.61944	4.55474	5659.67237	27.74646	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
FHC	20	FHC_L1203 (2).MP4	40644	FHC_R1204 (2).MP4	39481	33.85771	1	26.93747	334.01894	-126.77623	-4245.64333	2.87797	2.14248	26.67218	2.08452	4260.64880	4.96083	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
FHC	21	FHC_L1203 (2).MP4	69621	FHC_R1204 (2).MP4	68458	41.91493	1	34.99468	282.18580	-31.69891	-1763.36553	1.11263	0.86474	4.75474	0.00915	1786.08276	9.19926	Serranidae	Othos	dentex	37311005	1	AD	Passing			
FHC	28	FHC_L1203 (3).MP4	5367	FHC_R1204 (3).MP4	4264	46.60517	1	39.68492	-845.96621	381.36195	-1459.23267	1.63954	1.01556	2.90336	5.94972	1729.29343	32.29546	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
FHC	48	FHC_L1203 (3).MP4	6203	FHC_R1204 (3).MP4	5100	46.83762	1	39.91738	3231.74747	775.58529	-6336.40237	28.06202	7.86789	56.81365	8.15322	7155.11839	27.58942	Labridae	Bodianus	frenchii	37384057	1	AD	Passing			
FHC	54	FHC_L1203 (3).MP4	35088	FHC_R1204 (3).MP4	33985	54.86926	1	47.94901	1639.00641	335.24180	-3637.06599	8.41849	2.57423	19.36370	2.80957	4003.37084	24.62608	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
FHC	63	FHC_L1203 (3).MP4	35497	FHC_R1204 (3).MP4	34394	54.98298	1	48.06274	2026.46110	580.22696	-5946.30029	17.34530	6.09270	51.90256	2.25798	6308.85846	19.41555	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
IO72	0	IO72_L367.avi	2570	IO72_R368.avi	2080	1.71333		-1.00000	-14.07453	-112.90658	-767.26651	0.27391	0.28333	0.63792	2.78623	775.65706	7.56577								sync		
IO72	1	IO72_L367.avi	8766	IO72_R368.avi	8276	5.84400	1	0.84733	1118.84215	-61.78155	-3033.19247	3.16926	1.04721	8.94632	13.85671	3233.55552	20.24544	Labridae	Eupetrichthys	angustipes	37384105	1	AD	Passing			
IO72	5	IO72_L367.avi	14129	IO72_R368.avi	13639	9.41933	1	4.42267	-798.28694	91.80062	-2099.36961	1.61459	0.70272	4.29323	9.69069	2247.89727	21.06207	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
IO72	10	IO72_L367.avi	23695	IO72_R368.avi	23205	15.79667	1	10.80000	-820.14607	472.13720	-7506.97040	6.43718	3.72633	56.24234	35.38153	7566.38340	7.65992	Ostraciidae	Anoplocapros	lenticularis	37466010	1	AD	Passing			
IO72	18	IO72_L367.avi	44340	IO72_R368.avi	43850	29.56000	1	24.56333	104.01820	198.28113	-986.29458	0.36073	0.38643	1.04773	1.00656	1011.39121	13.57301	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
IO72	23	IO72_L367.avi	54499	IO72_R368.avi	54009	36.33267	1	31.33600	-415.55210	28.58636	-2612.69111	1.34690	0.87799	6.97057	12.95512	2645.68622	9.15997	Odacidae	Siphonognathus	caninis	37385011	1	AD	Passing			
IO72	25	IO72_L367.avi	56254	IO72_R368.avi	55764	37.50267	1	32.50600	1052.15703	1048.79929	-4397.04201	4.53755	4.43981	19.20678	14.52386	4641.22750	19.29693	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
FHA	4	FHA_L372.avi	15812	FHA_R371.avi	15471	10.54133	1	6.23533	5146.46129	-137.06446	-5416.14554	37.50422	2.76303	40.04523	19.09142	7472.58208	43.53180	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing	high error		
FHA	6	FHA_L372.avi	29149	FHA_R371.avi	28808	19.43267	1	15.12667	3351.35082	-19.56103	-4212.46594	17.54123	1.71891	22.31440	10.64114	5383.01071	38.50824	Labridae	Suezichthys	bifurcatus	37384160	1	AD	Passing	high error		
FHA	16	FHA_L372.avi	67222	FHA_R371.avi	66881	44.81467	1	40.50867	1198.14572	-56.14992	-2436.00019	2.94677	0.87625	5.96102	1.73044	2715.29058	26.18847	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing	not flat		
FHA	19	FHA_L372.avi	71873	FHA_R371.avi	71532	47.91533	1	43.60933	805.47653	-117.94153	-1378.93590	1.18518	0.54071	2.15786	7.25754	1601.30162	30.44541	Labridae	Coris	auricularis	37384088	3	AD	Passing	not in this frame		
IO65	0	IO65_L378.avi	1615	IO65_R377.avi	1273	1.07667		-1.00000	1.61733	-97.13368	-781.59562	0.27891	0.28416	0.67276	0.84791	787.60985	6.43399								sync		
IO65	2	IO65_L378.avi	19969	IO65_R377.avi	19627	13.31267	1	6.56867	1211.37681	31.32774	-5278.15085	6.36585	1.77122	28.00686	11.54185	5415.46781	12.96307	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
IO65	7	IO65_L378.avi	49748	IO65_R377.avi	49406	33.16533	1	26.42133	-28.50114	-143.05076	-1310.44619	0.45714	0.49519	1.84398	1.55339	1318.53899	5.71401	Labridae	Coris	auricularis	37384088	1	AD	Passing			
IO65	10	IO65_L378.avi	78236	IO65_R377.avi	77894	52.15733	1	45.41333	862.29958	42.89726	-2025.21711	1.62621	0.66160	3.93623	0.24975	2201.56878	23.12994	Monacanthidae	Meuschenia	flavolineata	37465035	1	AD	Passing			
FH5	3	FH5_L369.avi	7053	FH5_R370.avi	7384	4.70200	1	0.65400	-490.20483	-239.39570	-1465.33991	0.80997	0.62538	2.11425	4.12750	1563.59589	19.86557	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing	not in both frames		
FH5	4	FH5_L369.avi	7061	FH5_R370.avi	7392	4.70733	1	0.65933	-623.81833	-272.15306	-1632.91961	1.03392	0.71938	2.54854	55.61049	1769.07972	22.12160	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing	high error		
FH5	6	FH5_L369.avi	8257	FH5_R370.avi	8588	5.50467	1	1.45667	-466.24391	-908.12157	-4054.89288	2.23462	4.24429	16.35449	4.47483	4181.41417	12.94957	Labridae	Eupetrichthys	angustipes	37384105	1	AD	Passing	high error		
FH5	7	FH5_L369.avi	12371	FH5_R370.avi	12702	8.24733	1	4.19933	378.14857	-819.06165	-3609.95384	1.75454	3.45422	13.03550	0.24713	3720.97099	12.82335	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing	high error		
FH5	11	FH5_L369.avi	12784	FH5_R370.avi	13115	8.52267	1	4.47467	927.39080	-88.41349	-2201.68398	1.86703	0.77715	4.55631	1.28260	2390.66581	22.84418	Serranidae	Caesioperca	rasor	37311003	1	AD	Passing	not in both frames		
FH5	16	FH5_L369.avi	26830	FH5_R370.avi	27161	17.88667	1	13.83867	-1385.18307	-368.38489	-5650.65638	7.59124	3.40094	31.34035	0.63956	5829.61037	13.94731	Labridae	Coris	auricularis	37384088	1	AD	Passing	high error		
FH5	17	FH5_L369.avi	26835	FH5_R370.avi	27166	17.89000	1	13.84200	-1176.13376	98.06912	-5257.60943	6.11504	1.85404	27.42889	0.95098	5388.44737	12.83243	Labridae	Coris	auricularis	37384088	1	AD	Passing			
FH5	22	FH5_L369.avi	26941	FH5_R370.avi	27272	17.96067	1	13.91267	-557.05322	-194.41086	-1496.05270	0.88850	0.59668	2.17146	4.48039	1608.19078	21.11656	Labridae	Coris	auricularis	37384088	1	AD	Passing	not straight		
FH5	23	FH5_L369.avi	26955	FH5_R370.avi	27286	17.97000	1	13.92200	-359.70195	97.09216	-1251.27542	0.59725	0.43183	1.60506	0.23505	1305.56599	16.97959	Labridae	Coris	auricularis	37384088	1	AD	Passing	not in both frames		
FH5	24	FH5_L369.avi	26958	FH5_R370.avi	27289	17.97200	1	13.92400	-631.06966	-285.36574	-1617.47018	1.02605	0.72183	2.48106	0.15933	1759.51480	22.65801	Labridae	Coris	auricularis	37384088	1	AD	Passing	not in both frames		
FH5	30	FH5_L369.avi	59631	FH5_R370.avi	59962	39.75400	1	35.70600	-844.23949	-262.18412	-3698.49956	3.17953	1.79326	13.63931	0.90081	3802.68062	13.10593	Glaucosomatidae	Glaucosoma	hebraicum	37320004	1	AD	Passing	obstructed		
FH5	32	FH5_L369.avi	59770	FH5_R370.avi	60101	39.84667	1	35.79867	-466.64458	-31.76294	-1403.41546	0.76233	0.48121	1.97720	4.89562	1479.30423	18.38796	Glaucosomatidae	Glaucosoma	hebraicum	37320004	1	AD	Passing	not in both frames		
FH5	36	FH5_L369.avi	60204	FH5_R370.avi	60535	40.13600	1	36.08800	-8.70325	-953.07787	-4969.35006	1.63967	5.55239	24.64426	0.78202	5059.92818	9.51394	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing	not flat		
FH5	37	FH5_L369.avi	60402	FH5_R370.avi	60733	40.26800	1	36.22000	16.18065	-491.76303	-2187.82507	0.73905	1.40267	4.88498	5.22757	2242.46989	11.33187	Glaucosomatidae	Glaucosoma	hebraicum	37320004	1	AD	Passing	not clear		
FH5	41	FH5_L369.avi	69594	FH5_R370.avi	69925	46.39600	1	42.34800	-583.53399	-5.23235	-1766.06273	1.10689	0.59901	3.12538	4.00957	1859.97764	18.32062	Carangidae	Pseudocaranx	spp		1	AD	Passing	not straight		
FH5	46	FH5_L369.avi	88076	FH5_R370.avi	88407	58.71733	1	54.66933	214.46097	-74.61033	-959.15208	0.38509	0.34095	0.95207	1.52594	985.66369	12.93872	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH5	61	FH5_L369.avi	88266	FH5_R370.avi	88597	58.84400	1	54.79600	-485.80486	-94.95584	-1580.75038	0.88188	0.57160	2.52181	6.06985	1656.44038	17.17886	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH5	70	FH5_L369.avi	88361	FH5_R370.avi	88692	58.90733	1	54.85933	-181.91629	-309.93219	-1390.44691	0.53278	0.67317	1.99916	5.51258	1436.13861	13.34986	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
