Dot Point Measurements

Generated: Tuesday 26 October 2021 08:30:34

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
FH10.JPG	      0		1012	1495													Consolidated	Rock	Turf mat	Open		82001002			86.0
FH10.JPG	      0		857	75													Consolidated	Rock	Turf mat	Open		82001002			93.7
FH10.JPG	      0		671	337													Consolidated	Rock	Turf mat	Open		82001002			62.0
FH10.JPG	      0		1038	759													Consolidated	Rock	Turf mat	Open		82001002			34.6
FH10.JPG	      0		681	1219													Macroalgae	Erect fine branching	Red	Open		90300910			48.0
FH10.JPG	      0		550	1168													Consolidated	Rock	Turf mat	Open		82001002			48.4
FH10.JPG	      0		942	1093													Consolidated	Rock	Turf mat	Open		82001002			38.2
FH10.JPG	      0		595	1277													Macroalgae	Erect course branching	Brown	Open		80300904			57.7
FH10.JPG	      0		728	147													Macroalgae	Erect course branching	Brown	Open		80300904			84.2
FH10.JPG	      0		729	627													Macroalgae	Erect course branching	Brown	Open		80300904			26.0
FH10.JPG	      0		1069	1596													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			100.0
FH10.JPG	      0		643	724													Macroalgae	Erect course branching	Brown	Open		80300904			20.3
FH10.JPG	      0		694	1314													Consolidated	Rock	Turf mat	Open		82001002			59.1
FH10.JPG	      0		677	63													Consolidated	Rock	Turf mat	Open		82001002			95.0
FH10.JPG	      0		719	792													Macroalgae	Erect course branching	Brown	Open		80300904			7.8
FH10.JPG	      0		858	442													Sponges	Massive forms		Open		10000903			49.4
FH10.JPG	      0		928	1461													Consolidated	Rock	Turf mat	Open		82001002			78.9
FH10.JPG	      0		681	293													Consolidated	Rock	Turf mat	Open		82001002			67.1
FH10.JPG	      0		689	498													Consolidated	Rock	Turf mat	Open		82001002			42.3
FH10.JPG	      0		548	1337													Macroalgae	Erect course branching	Brown	Open		80300904			66.7
FH102.JPG	      0		714	1543													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			62.6
FH102.JPG	      0		633	452													Open Water			Open					71.5
FH102.JPG	      0		1068	1230													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			37.2
FH102.JPG	      0		765	727													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			36.1
FH102.JPG	      0		731	1252													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			29.0
FH102.JPG	      0		850	206													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			96.9
FH102.JPG	      0		1056	1137													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			29.9
FH102.JPG	      0		606	1839													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			99.4
FH102.JPG	      0		781	447													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			68.6
