"campaignid","opcode","family","genus","species","count"
"2022-05_PtCloates_stereo-BRUVS",1,"Balistidae","Abalistes","filamentosus",3
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Decapterus","spp",4
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",18
"2022-05_PtCloates_stereo-BRUVS",1,"Lethrinidae","Gymnocranius","sp1",2
"2022-05_PtCloates_stereo-BRUVS",1,"Lethrinidae","Lethrinus","rubrioperculatus",1
"2022-05_PtCloates_stereo-BRUVS",1,"Lutjanidae","Pristipomoides","sp1",9
"2022-05_PtCloates_stereo-BRUVS",1,"Sparidae","Argyrops","spinifer",3
"2022-05_PtCloates_stereo-BRUVS",1,"Sus","Sus","sus",2
"2022-05_PtCloates_stereo-BRUVS",2,"Acanthuridae","Naso","fageni",20
"2022-05_PtCloates_stereo-BRUVS",2,"Balistidae","Pseudobalistes","fuscus",1
"2022-05_PtCloates_stereo-BRUVS",2,"Balistidae","Sufflamen","fraenatum",1
"2022-05_PtCloates_stereo-BRUVS",2,"Carangidae","Decapterus","spp",4
"2022-05_PtCloates_stereo-BRUVS",2,"Carangidae","Platycaranx","chrysophrys",1
"2022-05_PtCloates_stereo-BRUVS",2,"Carcharhinidae","Carcharhinus","albimarginatus",1
"2022-05_PtCloates_stereo-BRUVS",2,"Chaetodontidae","Heniochus","acuminatus",2
"2022-05_PtCloates_stereo-BRUVS",2,"Cirrhitidae","Paracirrhites","forsteri",2
"2022-05_PtCloates_stereo-BRUVS",2,"Haemulidae","Diagramma","pictum",1
"2022-05_PtCloates_stereo-BRUVS",2,"Labridae","Bodianus","solatus",2
"2022-05_PtCloates_stereo-BRUVS",2,"Labridae","Scarus","ghobban",1
"2022-05_PtCloates_stereo-BRUVS",2,"Labridae","Unknown","spp",1
"2022-05_PtCloates_stereo-BRUVS",2,"Lethrinidae","Gymnocranius","euanus",1
"2022-05_PtCloates_stereo-BRUVS",2,"Lethrinidae","Gymnocranius","sp1",1
"2022-05_PtCloates_stereo-BRUVS",2,"Lethrinidae","Lethrinus","miniatus",2
"2022-05_PtCloates_stereo-BRUVS",2,"Lethrinidae","Lethrinus","rubrioperculatus",7
"2022-05_PtCloates_stereo-BRUVS",2,"Malacanthidae","Malacanthus","brevirostris",1
"2022-05_PtCloates_stereo-BRUVS",2,"Malacanthidae","Malacanthus","latovittatus",2
"2022-05_PtCloates_stereo-BRUVS",2,"Pomacanthidae","Apolemichthys","trimaculatus",1
"2022-05_PtCloates_stereo-BRUVS",2,"Pomacanthidae","Pomacanthus","imperator",1
"2022-05_PtCloates_stereo-BRUVS",2,"Pomacanthidae","Pomacanthus","semicirculatus",1
"2022-05_PtCloates_stereo-BRUVS",2,"Scaridae","Scarus","sp3",3
"2022-05_PtCloates_stereo-BRUVS",2,"Serranidae","Plectropomus","spp",1
"2022-05_PtCloates_stereo-BRUVS",2,"Serranidae","Pseudanthias","georgei",14
"2022-05_PtCloates_stereo-BRUVS",2,"Serranidae","Variola","louti",1
"2022-05_PtCloates_stereo-BRUVS",2,"Tetraodontidae","Arothron","stellatus",1
"2022-05_PtCloates_stereo-BRUVS",3,"Carangidae","Carangoides","spp",1
"2022-05_PtCloates_stereo-BRUVS",3,"Carangidae","Decapterus","spp",3
"2022-05_PtCloates_stereo-BRUVS",3,"Lethrinidae","Gymnocranius","euanus",2
"2022-05_PtCloates_stereo-BRUVS",3,"Lethrinidae","Gymnocranius","sp1",3
"2022-05_PtCloates_stereo-BRUVS",3,"Lethrinidae","Lethrinus","rubrioperculatus",1
"2022-05_PtCloates_stereo-BRUVS",3,"Microdesmidae","Ptereleotris","spp",1
"2022-05_PtCloates_stereo-BRUVS",3,"Nemipteridae","Pentapodus","nagasakiensis",6
"2022-05_PtCloates_stereo-BRUVS",3,"Sus","Sus","sus",3
"2022-05_PtCloates_stereo-BRUVS",4,"Balistidae","Abalistes","filamentosus",2
"2022-05_PtCloates_stereo-BRUVS",4,"Carangidae","Seriolina","nigrofasciata",1
"2022-05_PtCloates_stereo-BRUVS",4,"Carangidae","Turrum","fulvoguttatum",2
"2022-05_PtCloates_stereo-BRUVS",4,"Carcharhinidae","Carcharhinus","spp",1
"2022-05_PtCloates_stereo-BRUVS",4,"Lethrinidae","Gymnocranius","sp1",1
"2022-05_PtCloates_stereo-BRUVS",4,"Lethrinidae","Lethrinus","miniatus",2
"2022-05_PtCloates_stereo-BRUVS",4,"Lethrinidae","Lethrinus","nebulosus",1
"2022-05_PtCloates_stereo-BRUVS",4,"Lethrinidae","Lethrinus","rubrioperculatus",7
"2022-05_PtCloates_stereo-BRUVS",4,"Lutjanidae","Lutjanus","sebae",1
"2022-05_PtCloates_stereo-BRUVS",4,"Lutjanidae","Pristipomoides","sp1",2
"2022-05_PtCloates_stereo-BRUVS",4,"Nemipteridae","Pentapodus","nagasakiensis",5
"2022-05_PtCloates_stereo-BRUVS",4,"Scombridae","Scomberomorus","spp",1
"2022-05_PtCloates_stereo-BRUVS",4,"Serranidae","Epinephelus","areolatus",1
"2022-05_PtCloates_stereo-BRUVS",5,"Carangidae","Platycaranx","chrysophrys",1
"2022-05_PtCloates_stereo-BRUVS",5,"Carangidae","Turrum","fulvoguttatum",4
"2022-05_PtCloates_stereo-BRUVS",5,"Carcharhinidae","Carcharhinus","albimarginatus",1
"2022-05_PtCloates_stereo-BRUVS",5,"Lethrinidae","Gymnocranius","euanus",1
"2022-05_PtCloates_stereo-BRUVS",5,"Lethrinidae","Gymnocranius","sp1",3
"2022-05_PtCloates_stereo-BRUVS",5,"Lethrinidae","Lethrinus","miniatus",2
"2022-05_PtCloates_stereo-BRUVS",5,"Lethrinidae","Lethrinus","nebulosus",1
"2022-05_PtCloates_stereo-BRUVS",5,"Lethrinidae","Lethrinus","rubrioperculatus",4
"2022-05_PtCloates_stereo-BRUVS",5,"Lutjanidae","Aphareus","rutilans",1
"2022-05_PtCloates_stereo-BRUVS",5,"Lutjanidae","Pristipomoides","sp1",1
"2022-05_PtCloates_stereo-BRUVS",5,"Pinguipedidae","Parapercis","nebulosa",2
"2022-05_PtCloates_stereo-BRUVS",5,"Sphyraenidae","Sphyraena","qenie",4
"2022-05_PtCloates_stereo-BRUVS",5,"Sus","Sus","sus",3
"2022-05_PtCloates_stereo-BRUVS",6,"Balistidae","Abalistes","stellatus",2
"2022-05_PtCloates_stereo-BRUVS",6,"Balistidae","Sufflamen","fraenatum",1
"2022-05_PtCloates_stereo-BRUVS",6,"Carangidae","Decapterus","spp",11
"2022-05_PtCloates_stereo-BRUVS",6,"Carangidae","Platycaranx","chrysophrys",1
"2022-05_PtCloates_stereo-BRUVS",6,"Carangidae","Turrum","fulvoguttatum",4
"2022-05_PtCloates_stereo-BRUVS",6,"Carangidae","Turrum","gymnostethus",2
"2022-05_PtCloates_stereo-BRUVS",6,"Lethrinidae","Gymnocranius","sp1",3
"2022-05_PtCloates_stereo-BRUVS",6,"Lethrinidae","Lethrinus","rubrioperculatus",5
"2022-05_PtCloates_stereo-BRUVS",6,"Lutjanidae","Aphareus","rutilans",1
"2022-05_PtCloates_stereo-BRUVS",6,"Lutjanidae","Pristipomoides","sp1",3
"2022-05_PtCloates_stereo-BRUVS",6,"Pinguipedidae","Parapercis","nebulosa",3
"2022-05_PtCloates_stereo-BRUVS",6,"Scombridae","Scomberomorus","spp",1
"2022-05_PtCloates_stereo-BRUVS",6,"Sus","Sus","sus",1
"2022-05_PtCloates_stereo-BRUVS",7,"Balistidae","Abalistes","filamentosus",1
"2022-05_PtCloates_stereo-BRUVS",7,"Carangidae","Decapterus","spp",6
"2022-05_PtCloates_stereo-BRUVS",7,"Carangidae","Platycaranx","chrysophrys",1
"2022-05_PtCloates_stereo-BRUVS",7,"Carangidae","Turrum","fulvoguttatum",1
"2022-05_PtCloates_stereo-BRUVS",7,"Carcharhinidae","Galeocerdo","cuvier",1
"2022-05_PtCloates_stereo-BRUVS",7,"Lethrinidae","Gymnocranius","sp1",1
"2022-05_PtCloates_stereo-BRUVS",7,"Lethrinidae","Lethrinus","miniatus",2
"2022-05_PtCloates_stereo-BRUVS",7,"Lethrinidae","Lethrinus","rubrioperculatus",3
"2022-05_PtCloates_stereo-BRUVS",7,"Lutjanidae","Lutjanus","sebae",1
"2022-05_PtCloates_stereo-BRUVS",7,"Lutjanidae","Pristipomoides","sp1",7
"2022-05_PtCloates_stereo-BRUVS",7,"Pinguipedidae","Parapercis","nebulosa",2
"2022-05_PtCloates_stereo-BRUVS",7,"Sparidae","Argyrops","spinifer",1
"2022-05_PtCloates_stereo-BRUVS",7,"Sus","Sus","sus",2
"2022-05_PtCloates_stereo-BRUVS",8,"Balistidae","Abalistes","filamentosus",2
"2022-05_PtCloates_stereo-BRUVS",8,"Carangidae","Decapterus","spp",8
"2022-05_PtCloates_stereo-BRUVS",8,"Carangidae","Platycaranx","chrysophrys",2
"2022-05_PtCloates_stereo-BRUVS",8,"Carangidae","Seriolina","nigrofasciata",1
"2022-05_PtCloates_stereo-BRUVS",8,"Carangidae","Turrum","gymnostethus",6
"2022-05_PtCloates_stereo-BRUVS",8,"Carcharhinidae","Loxodon","macrorhinus",1
"2022-05_PtCloates_stereo-BRUVS",8,"Lethrinidae","Gymnocranius","sp1",6
"2022-05_PtCloates_stereo-BRUVS",8,"Lethrinidae","Lethrinus","rubrioperculatus",5
"2022-05_PtCloates_stereo-BRUVS",8,"Lutjanidae","Pristipomoides","sp1",3
"2022-05_PtCloates_stereo-BRUVS",8,"Sparidae","Argyrops","spinifer",6
"2022-05_PtCloates_stereo-BRUVS",9,"Acanthuridae","Naso","fageni",6
